cell,stage,B,kind,level_pct,metric,estimate,ci_lo,ci_hi,n_runs,unit,run_values
stage_a_B0_mlx,a,0,none,nan,fg_p50_resp_s,2.014,1.935,2.12,1,s,2.014
stage_a_B0_mlx,a,0,none,nan,fg_throughput_qps,0.2482,nan,nan,1,1/s,0.2482
stage_a_B0_mlx,a,0,none,nan,amc_cpu_gbps,2.225,nan,nan,1,GB/s,2.225
stage_a_B0_mlx,a,0,none,nan,amc_gpu_gbps,7.123,nan,nan,1,GB/s,7.123
stage_a_B0_mlx,a,0,none,nan,amc_ane_gbps,0.00996,nan,nan,1,GB/s,0.00996
stage_a_B0_mlx,a,0,none,nan,amc_total_gbps,9.723,nan,nan,1,GB/s,9.723
stage_a_B1_mlx,a,1,indexer,nan,fg_p50_resp_s,2.034,1.89,2.122,1,s,2.034
stage_a_B1_mlx,a,1,indexer,nan,fg_throughput_qps,0.2403,nan,nan,1,1/s,0.2403
stage_a_B1_mlx,a,1,indexer,nan,bg_realized_qps,6.423,nan,nan,1,1/s,6.423
stage_a_B1_mlx,a,1,indexer,nan,amc_cpu_gbps,3.585,nan,nan,1,GB/s,3.585
stage_a_B1_mlx,a,1,indexer,nan,amc_gpu_gbps,9.281,nan,nan,1,GB/s,9.281
stage_a_B1_mlx,a,1,indexer,nan,amc_ane_gbps,0.01858,nan,nan,1,GB/s,0.01858
stage_a_B1_mlx,a,1,indexer,nan,amc_total_gbps,13.35,nan,nan,1,GB/s,13.35
stage_a_B2_mlx,a,2,indexer,nan,fg_p50_resp_s,2.139,1.98,2.275,1,s,2.139
stage_a_B2_mlx,a,2,indexer,nan,fg_throughput_qps,0.2193,nan,nan,1,1/s,0.2193
stage_a_B2_mlx,a,2,indexer,nan,bg_realized_qps,15.19,nan,nan,1,1/s,15.19
stage_a_B2_mlx,a,2,indexer,nan,amc_cpu_gbps,3.546,nan,nan,1,GB/s,3.546
stage_a_B2_mlx,a,2,indexer,nan,amc_gpu_gbps,8.541,nan,nan,1,GB/s,8.541
stage_a_B2_mlx,a,2,indexer,nan,amc_ane_gbps,0.01275,nan,nan,1,GB/s,0.01275
stage_a_B2_mlx,a,2,indexer,nan,amc_total_gbps,12.55,nan,nan,1,GB/s,12.55
stage_b_L100_mlx,b,nan,indexer,100,fg_p50_resp_s,2.185,2.045,2.278,1,s,2.185
stage_b_L100_mlx,b,nan,indexer,100,fg_throughput_qps,0.2522,nan,nan,1,1/s,0.2522
stage_b_L100_mlx,b,nan,indexer,100,bg_realized_qps,8.277,nan,nan,1,1/s,8.277
stage_b_L100_mlx,b,nan,indexer,100,amc_cpu_gbps,3.464,nan,nan,1,GB/s,3.464
stage_b_L100_mlx,b,nan,indexer,100,amc_gpu_gbps,7.75,nan,nan,1,GB/s,7.75
stage_b_L100_mlx,b,nan,indexer,100,amc_ane_gbps,0.008323,nan,nan,1,GB/s,0.008323
stage_b_L100_mlx,b,nan,indexer,100,amc_total_gbps,11.69,nan,nan,1,GB/s,11.69
stage_b_L25_mlx,b,nan,indexer,25,fg_p50_resp_s,2.197,2.015,2.288,1,s,2.197
stage_b_L25_mlx,b,nan,indexer,25,fg_throughput_qps,0.2353,nan,nan,1,1/s,0.2353
stage_b_L25_mlx,b,nan,indexer,25,bg_realized_qps,2.291,nan,nan,1,1/s,2.291
stage_b_L25_mlx,b,nan,indexer,25,amc_cpu_gbps,3.544,nan,nan,1,GB/s,3.544
stage_b_L25_mlx,b,nan,indexer,25,amc_gpu_gbps,7.251,nan,nan,1,GB/s,7.251
stage_b_L25_mlx,b,nan,indexer,25,amc_ane_gbps,0.01384,nan,nan,1,GB/s,0.01384
stage_b_L25_mlx,b,nan,indexer,25,amc_total_gbps,11.28,nan,nan,1,GB/s,11.28
stage_b_L50_mlx,b,nan,indexer,50,fg_p50_resp_s,2.221,2.096,2.377,1,s,2.221
stage_b_L50_mlx,b,nan,indexer,50,fg_throughput_qps,0.2411,nan,nan,1,1/s,0.2411
stage_b_L50_mlx,b,nan,indexer,50,bg_realized_qps,4.571,nan,nan,1,1/s,4.571
stage_b_L50_mlx,b,nan,indexer,50,amc_cpu_gbps,2.693,nan,nan,1,GB/s,2.693
stage_b_L50_mlx,b,nan,indexer,50,amc_gpu_gbps,8.918,nan,nan,1,GB/s,8.918
stage_b_L50_mlx,b,nan,indexer,50,amc_ane_gbps,0.01155,nan,nan,1,GB/s,0.01155
stage_b_L50_mlx,b,nan,indexer,50,amc_total_gbps,12.02,nan,nan,1,GB/s,12.02
stage_b_L75_mlx,b,nan,indexer,75,fg_p50_resp_s,2.26,2.174,2.425,1,s,2.26
stage_b_L75_mlx,b,nan,indexer,75,fg_throughput_qps,0.2254,nan,nan,1,1/s,0.2254
stage_b_L75_mlx,b,nan,indexer,75,bg_realized_qps,6.938,nan,nan,1,1/s,6.938
stage_b_L75_mlx,b,nan,indexer,75,amc_cpu_gbps,2.248,nan,nan,1,GB/s,2.248
stage_b_L75_mlx,b,nan,indexer,75,amc_gpu_gbps,6.442,nan,nan,1,GB/s,6.442
stage_b_L75_mlx,b,nan,indexer,75,amc_ane_gbps,0.0133,nan,nan,1,GB/s,0.0133
stage_b_L75_mlx,b,nan,indexer,75,amc_total_gbps,9.068,nan,nan,1,GB/s,9.068
stage_c_clipane_L100_mlx,c,nan,clipane,100,fg_p50_resp_s,2.252,2.146,2.361,1,s,2.252
stage_c_clipane_L100_mlx,c,nan,clipane,100,fg_throughput_qps,0.2273,nan,nan,1,1/s,0.2273
stage_c_clipane_L100_mlx,c,nan,clipane,100,bg_realized_qps,19.89,nan,nan,1,1/s,19.89
stage_c_clipane_L100_mlx,c,nan,clipane,100,amc_cpu_gbps,2.189,nan,nan,1,GB/s,2.189
stage_c_clipane_L100_mlx,c,nan,clipane,100,amc_gpu_gbps,6.498,nan,nan,1,GB/s,6.498
stage_c_clipane_L100_mlx,c,nan,clipane,100,amc_ane_gbps,0.03323,nan,nan,1,GB/s,0.03323
stage_c_clipane_L100_mlx,c,nan,clipane,100,amc_total_gbps,9.082,nan,nan,1,GB/s,9.082
stage_c_clipane_L25_mlx,c,nan,clipane,25,fg_p50_resp_s,2.331,2.241,2.505,1,s,2.331
stage_c_clipane_L25_mlx,c,nan,clipane,25,fg_throughput_qps,0.1922,nan,nan,1,1/s,0.1922
stage_c_clipane_L25_mlx,c,nan,clipane,25,bg_realized_qps,5.013,nan,nan,1,1/s,5.013
stage_c_clipane_L25_mlx,c,nan,clipane,25,amc_cpu_gbps,3.166,nan,nan,1,GB/s,3.166
stage_c_clipane_L25_mlx,c,nan,clipane,25,amc_gpu_gbps,6.048,nan,nan,1,GB/s,6.048
stage_c_clipane_L25_mlx,c,nan,clipane,25,amc_ane_gbps,0.9107,nan,nan,1,GB/s,0.9107
stage_c_clipane_L25_mlx,c,nan,clipane,25,amc_total_gbps,10.6,nan,nan,1,GB/s,10.6
stage_c_clipane_L50_mlx,c,nan,clipane,50,fg_p50_resp_s,2.462,2.372,2.635,1,s,2.462
stage_c_clipane_L50_mlx,c,nan,clipane,50,fg_throughput_qps,0.289,nan,nan,1,1/s,0.289
stage_c_clipane_L50_mlx,c,nan,clipane,50,bg_realized_qps,10.02,nan,nan,1,1/s,10.02
stage_c_clipane_L50_mlx,c,nan,clipane,50,amc_cpu_gbps,2.709,nan,nan,1,GB/s,2.709
stage_c_clipane_L50_mlx,c,nan,clipane,50,amc_gpu_gbps,8.199,nan,nan,1,GB/s,8.199
stage_c_clipane_L50_mlx,c,nan,clipane,50,amc_ane_gbps,1.879,nan,nan,1,GB/s,1.879
stage_c_clipane_L50_mlx,c,nan,clipane,50,amc_total_gbps,13.15,nan,nan,1,GB/s,13.15
stage_c_clipane_L75_mlx,c,nan,clipane,75,fg_p50_resp_s,2.064,2.005,2.246,1,s,2.064
stage_c_clipane_L75_mlx,c,nan,clipane,75,fg_throughput_qps,0.2208,nan,nan,1,1/s,0.2208
stage_c_clipane_L75_mlx,c,nan,clipane,75,bg_realized_qps,15.03,nan,nan,1,1/s,15.03
stage_c_clipane_L75_mlx,c,nan,clipane,75,amc_cpu_gbps,2.083,nan,nan,1,GB/s,2.083
stage_c_clipane_L75_mlx,c,nan,clipane,75,amc_gpu_gbps,6.318,nan,nan,1,GB/s,6.318
stage_c_clipane_L75_mlx,c,nan,clipane,75,amc_ane_gbps,0.009245,nan,nan,1,GB/s,0.009245
stage_c_clipane_L75_mlx,c,nan,clipane,75,amc_total_gbps,8.779,nan,nan,1,GB/s,8.779
stage_c_clipgpu_L100_mlx,c,nan,clipgpu,100,fg_p50_resp_s,2.073,1.873,2.199,1,s,2.073
