cell,stage,B,kind,level_pct,run,pipeline,role,scheduler,n_queries,n_completed,n_used,span_s,anchor,match_frac,blocked_puts,p50_resp_s,p95_resp_s,mean_resp_s,throughput_qps,offered_qps,realized_qps,offered_bytes_ps,realized_bytes_ps,gen_dur_s_med,tok_per_s_med,per_token_s_med,ttft_s_med,amc_cpu_gbps,amc_gpu_gbps,amc_ane_gbps,amc_other_gbps,amc_total_gbps,notes
stage_a_B0_mlx,a,0,none,nan,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,402.9,intended,1,0,2.014,3.327,2.158,0.2482,0.2243,,,,,,,,2.225,7.123,0.00996,0.3788,9.723,
stage_a_B1_mlx,a,1,indexer,nan,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,416.2,intended,1,0,2.034,3.122,2.123,0.2403,0.2243,,,,,,,,3.585,9.281,0.01858,0.4914,13.35,
stage_a_B1_mlx,a,1,indexer,nan,1,BG indexer 0,bg,SaturatingOfflineScheduler,100,100,71,14.74,,nan,nan,,,,6.423,nan,6.423,nan,nan,,,,,6.21,57.45,0.02574,0.4903,64.15,no model-based traffic estimate (use counters); 
stage_a_B2_mlx,a,2,indexer,nan,1,BG indexer 0,bg,SaturatingOfflineScheduler,100,100,76,11.54,,nan,nan,,,,8.779,nan,8.779,nan,nan,,,,,25.56,64.02,0.01781,0.5144,90.07,no model-based traffic estimate (use counters); 
stage_a_B2_mlx,a,2,indexer,nan,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,455.9,intended,1,1,2.139,3.696,2.316,0.2193,0.2243,,,,,,,,3.546,8.541,0.01275,0.4936,12.55,
stage_a_B2_mlx,a,2,indexer,nan,1,BG indexer 1,bg,SaturatingOfflineScheduler,100,100,73,15.18,,nan,nan,,,,6.413,nan,6.413,nan,nan,,,,,5.531,60.47,0.007656,0.5387,66.46,no model-based traffic estimate (use counters); 
stage_b_L100_mlx,b,nan,indexer,100,1,BG indexer 0,bg,MultiStreamScheduler,100,100,75,12.08,,nan,nan,,,,8.277,9.099,8.277,nan,nan,,,,,27.87,62.17,0.02059,0.4976,90.46,no model-based traffic estimate (use counters); 
stage_b_L100_mlx,b,nan,indexer,100,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,396.5,intended,1,0,2.185,4.04,2.324,0.2522,0.2243,,,,,,,,3.464,7.75,0.008323,0.4859,11.69,
stage_b_L25_mlx,b,nan,indexer,25,1,BG indexer 0,bg,MultiStreamScheduler,100,100,75,43.64,,nan,nan,,,,2.291,2.275,2.291,nan,nan,,,,,27.08,18.67,0.005601,0.498,46.24,no model-based traffic estimate (use counters); 
stage_b_L25_mlx,b,nan,indexer,25,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,424.9,intended,1,1,2.197,4.056,2.418,0.2353,0.2243,,,,,,,,3.544,7.251,0.01384,0.4782,11.28,
stage_b_L50_mlx,b,nan,indexer,50,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,414.8,intended,1,0,2.221,4.091,2.405,0.2411,0.2243,,,,,,,,2.693,8.918,0.01155,0.4121,12.02,
stage_b_L50_mlx,b,nan,indexer,50,1,BG indexer 0,bg,MultiStreamScheduler,100,100,75,21.88,,nan,nan,,,,4.571,4.55,4.571,nan,nan,,,,,3.487,40.21,0.0121,0.375,44.06,no model-based traffic estimate (use counters); 
stage_b_L75_mlx,b,nan,indexer,75,1,BG indexer 0,bg,MultiStreamScheduler,100,100,76,14.61,,nan,nan,,,,6.938,6.826,6.938,nan,nan,,,,,25.46,52.12,0.007387,0.4058,77.97,no model-based traffic estimate (use counters); 
stage_b_L75_mlx,b,nan,indexer,75,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,443.6,intended,1,2,2.26,3.657,2.433,0.2254,0.2243,,,,,,,,2.248,6.442,0.0133,0.3768,9.068,
stage_c_clipane_L100_mlx,c,nan,clipane,100,1,BG co-runner clipane,bg,MultiStreamScheduler,1000,1000,749,50.21,,nan,nan,,,,19.89,20.04,19.89,nan,nan,,,,,8.568,0.1787,18.69,0.3836,27.8,no model-based traffic estimate (use counters); 
stage_c_clipane_L100_mlx,c,nan,clipane,100,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,440,intended,1,0,2.252,3.676,2.4,0.2273,0.2243,,,,,,,,2.189,6.498,0.03323,0.3744,9.082,
stage_c_clipane_L25_mlx,c,nan,clipane,25,1,BG co-runner clipane,bg,MultiStreamScheduler,1000,1000,750,199.5,,nan,nan,,,,5.013,5.01,5.013,nan,nan,,,,,8.739,3.669,4.778,0.5086,17.67,no model-based traffic estimate (use counters); 
stage_c_clipane_L25_mlx,c,nan,clipane,25,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,520.3,intended,1,3,2.331,4.149,2.518,0.1922,0.2243,,,,,,,,3.166,6.048,0.9107,0.4967,10.6,
stage_c_clipane_L50_mlx,c,nan,clipane,50,1,BG co-runner clipane,bg,MultiStreamScheduler,1000,1000,750,99.76,,nan,nan,,,,10.02,10.02,10.02,nan,nan,,,,,10.42,4.417,9.648,0.4066,24.87,no model-based traffic estimate (use counters); 
stage_c_clipane_L50_mlx,c,nan,clipane,50,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,346,intended,1,1,2.462,5.339,2.842,0.289,0.2243,,,,,,,,2.709,8.199,1.879,0.3868,13.15,
stage_c_clipane_L75_mlx,c,nan,clipane,75,1,BG co-runner clipane,bg,MultiStreamScheduler,1000,1000,750,66.52,,nan,nan,,,,15.03,15.03,15.03,nan,nan,,,,,8.726,0.1947,14.13,0.3889,23.42,no model-based traffic estimate (use counters); 
stage_c_clipane_L75_mlx,c,nan,clipane,75,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,452.9,intended,1,0,2.064,3.953,2.332,0.2208,0.2243,,,,,,,,2.083,6.318,0.009245,0.3799,8.779,
stage_c_clipgpu_L100_mlx,c,nan,clipgpu,100,1,BG co-runner clipgpu,bg,MultiStreamScheduler,1000,1000,756,54.37,,nan,nan,,,,18.54,18.42,18.54,nan,nan,,,,,3.884,41.12,0.02488,0.4,45.4,no model-based traffic estimate (use counters); 
stage_c_clipgpu_L100_mlx,c,nan,clipgpu,100,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,407.3,intended,1,0,2.073,4.054,2.302,0.2455,0.2243,,,,,,,,2.229,7.003,0.01928,0.3804,9.619,
stage_c_clipgpu_L25_mlx,c,nan,clipgpu,25,1,BG co-runner clipgpu,bg,MultiStreamScheduler,1000,1000,750,217.2,,nan,nan,,,,4.604,4.604,4.604,nan,nan,,,,,7.032,16.89,0.02966,0.3929,24.33,no model-based traffic estimate (use counters); 
stage_c_clipgpu_L25_mlx,c,nan,clipgpu,25,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,442,intended,1,2,2.6,4.768,2.91,0.2262,0.2243,,,,,,,,2.635,11.1,0.01971,0.3852,14.13,
stage_c_clipgpu_L50_mlx,c,nan,clipgpu,50,1,BG co-runner clipgpu,bg,MultiStreamScheduler,1000,1000,747,110.2,,nan,nan,,,,9.041,9.208,9.041,nan,nan,,,,,12.18,25.01,0.06148,0.3823,37.59,no model-based traffic estimate (use counters); 
stage_c_clipgpu_L50_mlx,c,nan,clipgpu,50,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,432.4,intended,1,0,2.462,3.731,2.585,0.2313,0.2243,,,,,,,,2.942,10.3,0.01383,0.4227,13.66,
