arm	depth	run	rc	seconds	csv_rows	spans
off	1	1	0	6	406	
nolog	1	1	0	5	204	
proc	1	1	0	5	407	710
spans	1	1	0	6	205	710
nolog	1	2	0	4	204	
proc	1	2	0	5	407	710
spans	1	2	0	5	205	710
off	1	2	0	4	406	
proc	1	3	0	5	407	710
spans	1	3	0	5	205	710
off	1	3	0	5	406	
nolog	1	3	0	4	204	
spans	1	4	0	5	205	710
off	1	4	0	4	406	
nolog	1	4	0	4	204	
proc	1	4	0	6	407	710
off	1	5	0	4	406	
nolog	1	5	0	4	204	
proc	1	5	0	5	407	710
spans	1	5	0	5	205	710
nolog	1	6	0	4	204	
proc	1	6	0	5	407	710
spans	1	6	0	5	205	710
off	1	6	0	4	406	
proc	1	7	0	5	407	710
spans	1	7	0	5	205	710
off	1	7	0	4	406	
nolog	1	7	0	5	204	
spans	1	8	0	4	205	710
off	1	8	0	4	406	
nolog	1	8	0	4	204	
proc	1	8	0	5	407	710
off	1	9	0	4	406	
nolog	1	9	0	5	204	
proc	1	9	0	5	407	710
spans	1	9	0	5	205	710
nolog	1	10	0	5	204	
proc	1	10	0	5	407	710
spans	1	10	0	5	205	710
off	1	10	0	4	406	
proc	1	11	0	5	407	710
spans	1	11	0	5	205	710
off	1	11	0	4	406	
nolog	1	11	0	4	204	
off	2	1	0	4	608	
nolog	2	1	0	5	204	
proc	2	1	0	6	609	1014
spans	2	1	0	5	205	1014
nolog	2	2	0	4	204	
proc	2	2	0	5	609	1014
spans	2	2	0	5	205	1014
off	2	2	0	4	608	
proc	2	3	0	5	609	1014
spans	2	3	0	5	205	1014
off	2	3	0	4	608	
nolog	2	3	0	4	204	
spans	2	4	0	6	205	1014
off	2	4	0	4	608	
nolog	2	4	0	4	204	
proc	2	4	0	6	609	1014
off	2	5	0	4	608	
nolog	2	5	0	4	204	
proc	2	5	0	5	609	1014
spans	2	5	0	5	205	1014
nolog	2	6	0	4	204	
proc	2	6	0	5	609	1014
spans	2	6	0	5	205	1014
off	2	6	0	5	608	
proc	2	7	0	5	609	1014
spans	2	7	0	5	205	1014
off	2	7	0	4	608	
nolog	2	7	0	4	204	
spans	2	8	0	5	205	1014
off	2	8	0	4	608	
nolog	2	8	0	4	204	
proc	2	8	0	5	609	1014
off	2	9	0	4	608	
nolog	2	9	0	4	204	
proc	2	9	0	4	609	1014
spans	2	9	0	4	205	1014
nolog	2	10	0	4	204	
