1782444476.504639, NoOp Chain Depth 10 Size 0 Mode copy, pipeline, prepare, start, 135078505494583
1782444476.545248, NoOp Chain Depth 10 Size 0 Mode copy, pipeline, prepare, end, 135078546050833
1782444476.545920, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, start, 317043746062775633422570115631832743450, 1782444476.545891, 1, 1, 135078546714458
1782444476.546019, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, start, 135078546810541
1782444476.546099, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, end, 135078546888250
1782444476.546130, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, start, 135078546918708
1782444476.546219, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, end, 135078547008250
1782444476.546256, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, start, 135078547042875
1782444476.546315, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, end, 135078547103958
1782444476.546346, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, start, 135078547136791
1782444476.546436, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, end, 135078547224166
1782444476.546470, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, start, 135078547262833
1782444476.546580, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, end, 135078547370000
1782444476.546610, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, start, 135078547399916
1782444476.546684, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, end, 135078547472000
1782444476.546721, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, start, 135078547508750
1782444476.546766, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, end, 135078547553958
1782444476.546790, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, start, 135078547577500
1782444476.546857, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, end, 135078547644500
1782444476.546890, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, start, 135078547677333
1782444476.546933, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, end, 135078547720041
1782444476.546967, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, start, 135078547754000
1782444476.547006, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, end, 135078547792833
