1782445010.231092, NoOp Chain Depth 8 Size 0 Mode ref, pipeline, prepare, start, 135612217487708
1782445010.231909, NoOp Chain Depth 8 Size 0 Mode ref, pipeline, prepare, end, 135612218246291
1782445010.324636, NoOp Chain Depth 8 Size 0 Mode ref, pipeline - train, run, start, 314005853043028490054766614822554457561, 1782445010.324424, 1, 1, 135612310971833
1782445010.325226, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 0, run, start, 135612311561083
1782445010.325775, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 0, run, end, 135612312110250
1782445010.325939, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 1, run, start, 135612312274958
1782445010.326451, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 1, run, end, 135612312787583
1782445010.326617, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 2, run, start, 135612312952416
1782445010.327110, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 2, run, end, 135612313445583
1782445010.327265, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 3, run, start, 135612313600250
1782445010.328203, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 3, run, end, 135612314538166
1782445010.328354, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 4, run, start, 135612314688333
1782445010.328839, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 4, run, end, 135612315173083
1782445010.328986, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 5, run, start, 135612315319375
1782445010.329471, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 5, run, end, 135612315805166
1782445010.329615, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 6, run, start, 135612315948416
1782445010.330097, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 6, run, end, 135612316431791
1782445010.330248, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 7, run, start, 135612316581083
1782445010.330686, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 7, run, end, 135612317018916
1782445010.330875, NoOp Chain Depth 8 Size 0 Mode ref, pipeline - train, run, end, 314005853043028490054766614822554457561, 1782445010.324424, 1, 1, 135612317207750
1782445010.331376, NoOp Chain Depth 8 Size 0 Mode ref, pipeline - train, run, start, 26514338988910094091416802855092939508, 1782445010.331275, 2, 1, 135612317709958
1782445010.331791, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 0, run, start, 135612318124500
1782445010.332280, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 0, run, end, 135612318613791
1782445010.332420, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 1, run, start, 135612318752708
1782445010.332922, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 1, run, end, 135612319256458
1782445010.333068, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 2, run, start, 135612319400541
1782445010.333544, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 2, run, end, 135612319876916
1782445010.333683, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 3, run, start, 135612320016125
1782445010.334153, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 3, run, end, 135612320486291
1782445010.334293, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 4, run, start, 135612320625750
1782445010.334697, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 4, run, end, 135612321030208
1782445010.334892, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 5, run, start, 135612321225291
1782445010.335400, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 5, run, end, 135612321734250
1782445010.335548, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 6, run, start, 135612321880750
1782445010.336472, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 6, run, end, 135612322806833
1782445010.336671, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 7, run, start, 135612323005958
1782445010.337666, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 7, run, end, 135612324001833
1782445010.338384, NoOp Chain Depth 8 Size 0 Mode ref, pipeline - train, run, end, 26514338988910094091416802855092939508, 1782445010.331275, 2, 1, 135612324718791
1782445010.339917, NoOp Chain Depth 8 Size 0 Mode ref, pipeline - train, run, start, 162862913241266355936200173019282787354, 1782445010.339381, 3, 1, 135612326253500
1782445010.341394, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 0, run, start, 135612327728791
1782445010.342554, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 0, run, end, 135612328888500
1782445010.343141, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 1, run, start, 135612329477833
1782445010.344836, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 1, run, end, 135612331170916
1782445010.345371, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 2, run, start, 135612331705458
1782445010.347627, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 2, run, end, 135612333962708
1782445010.347893, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 3, run, start, 135612334229375
1782445010.349786, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 3, run, end, 135612336121541
1782445010.350185, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 4, run, start, 135612336526041
1782445010.352032, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 4, run, end, 135612338368500
1782445010.352233, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 5, run, start, 135612338568500
1782445010.353007, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 5, run, end, 135612339344500
1782445010.353493, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 6, run, start, 135612339830958
1782445010.354130, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 6, run, end, 135612340467541
1782445010.354287, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 7, run, start, 135612340620458
1782445010.355121, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 7, run, end, 135612341456250
1782445010.355454, NoOp Chain Depth 8 Size 0 Mode ref, pipeline - train, run, end, 162862913241266355936200173019282787354, 1782445010.339381, 3, 1, 135612341791458
1782445010.357279, NoOp Chain Depth 8 Size 0 Mode ref, pipeline - train, run, start, 45837009200057477031375261720987909801, 1782445010.356890, 4, 1, 135612343617125
1782445010.358693, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 0, run, start, 135612345030916
1782445010.359252, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 0, run, end, 135612345586416
1782445010.359621, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 1, run, start, 135612345956083
1782445010.360782, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 1, run, end, 135612347116375
1782445010.361175, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 2, run, start, 135612347510541
1782445010.362520, NoOp Chain Depth 8 Size 0 Mode ref, Ref Stage 2, run, end, 135612348857625
