# E2 collection
# started      : 2026-08-28 18:09:59 +0200
# machine      : gb10
# git_commit   : a64f8e2f497dac51297c190384fa5d4cb93ff32b
# git_dirty    : yes
# host         : spark-cc0d
# platform     : Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39
# python       : 3.10.19
# torch        : 2.10.0+cu130
# radt         : 0.2.29
# mlflow       : 3.15.1
# pin          : 5-9,15-19
# runs         : 11
[08-28 18:10:01] pinning workload to core(s) [5-9,15-19]
[08-28 18:10:01] E2 collection: 9 cell(s) x 3 configurations x 11 runs on gb10
[08-28 18:11:13]   mod_meffv2l_b8_monolith_gb10_r1 rc=0 72s rows=605 spans=n/a
[08-28 18:12:29]   mod_meffv2l_b8_choreo_gb10_r1 rc=0 76s rows=602 spans=n/a
[08-28 18:13:43]   mod_meffv2l_b8_choreo-traced_gb10_r1 rc=0 74s rows=603 spans=2401
[08-28 18:14:56]   mod_meffv2l_b8_choreo_gb10_r2 rc=0 73s rows=602 spans=n/a
[08-28 18:16:10]   mod_meffv2l_b8_choreo-traced_gb10_r2 rc=0 74s rows=603 spans=2401
[08-28 18:17:22]   mod_meffv2l_b8_monolith_gb10_r2 rc=0 72s rows=605 spans=n/a
[08-28 18:18:36]   mod_meffv2l_b8_choreo-traced_gb10_r3 rc=0 74s rows=603 spans=2401
[08-28 18:19:48]   mod_meffv2l_b8_monolith_gb10_r3 rc=0 72s rows=605 spans=n/a
[08-28 18:21:02]   mod_meffv2l_b8_choreo_gb10_r3 rc=0 74s rows=602 spans=n/a
[08-28 18:22:14]   mod_meffv2l_b8_monolith_gb10_r4 rc=0 72s rows=605 spans=n/a
[08-28 18:23:27]   mod_meffv2l_b8_choreo_gb10_r4 rc=0 73s rows=602 spans=n/a
[08-28 18:24:41]   mod_meffv2l_b8_choreo-traced_gb10_r4 rc=0 74s rows=603 spans=2401
[08-28 18:25:54]   mod_meffv2l_b8_choreo_gb10_r5 rc=0 73s rows=602 spans=n/a
