# E2 collection
# started      : 2026-08-28 18:51:50 +0200
# machine      : m2pro
# git_commit   : d242d80917d7efd10b759e41aea271892ef949ae
# git_dirty    : yes
# host         : mac623807 
# platform     : macOS-26.5.2-arm64-arm-64bit
# python       : 3.10.20
# torch        : 2.10.0
# radt         : 0.2.29
# mlflow       : 3.15.1
# pin          : none
# runs         : 11
[08-28 18:51:54] E2 collection: 9 cell(s) x 3 configurations x 11 runs on m2pro
[08-28 18:54:44]   mod_meffv2l_b8_monolith_m2pro_r1 rc=0 170s rows=605 spans=n/a
[08-28 18:57:33]   mod_meffv2l_b8_choreo_m2pro_r1 rc=0 169s rows=602 spans=n/a
[08-28 19:00:16]   mod_meffv2l_b8_choreo-traced_m2pro_r1 rc=0 163s rows=603 spans=2401
[08-28 19:03:00]   mod_meffv2l_b8_choreo_m2pro_r2 rc=0 164s rows=602 spans=n/a
[08-28 19:05:42]   mod_meffv2l_b8_choreo-traced_m2pro_r2 rc=0 162s rows=603 spans=2401
[08-28 19:08:23]   mod_meffv2l_b8_monolith_m2pro_r2 rc=0 161s rows=605 spans=n/a
[08-28 19:11:07]   mod_meffv2l_b8_choreo-traced_m2pro_r3 rc=0 164s rows=603 spans=2401
[08-28 19:13:48]   mod_meffv2l_b8_monolith_m2pro_r3 rc=0 161s rows=605 spans=n/a
[08-28 19:16:29]   mod_meffv2l_b8_choreo_m2pro_r3 rc=0 161s rows=602 spans=n/a
[08-28 19:19:09]   mod_meffv2l_b8_monolith_m2pro_r4 rc=0 160s rows=605 spans=n/a
[08-28 19:21:51]   mod_meffv2l_b8_choreo_m2pro_r4 rc=0 161s rows=602 spans=n/a
[08-28 19:24:33]   mod_meffv2l_b8_choreo-traced_m2pro_r4 rc=0 162s rows=603 spans=2401
[08-28 19:27:14]   mod_meffv2l_b8_choreo_m2pro_r5 rc=0 161s rows=602 spans=n/a
[08-28 19:29:55]   mod_meffv2l_b8_choreo-traced_m2pro_r5 rc=0 161s rows=603 spans=2401
[08-28 19:32:36]   mod_meffv2l_b8_monolith_m2pro_r5 rc=0 161s rows=605 spans=n/a
[08-28 19:35:19]   mod_meffv2l_b8_choreo-traced_m2pro_r6 rc=0 163s rows=603 spans=2401
[08-28 19:38:01]   mod_meffv2l_b8_monolith_m2pro_r6 rc=0 162s rows=605 spans=n/a
[08-28 19:40:45]   mod_meffv2l_b8_choreo_m2pro_r6 rc=0 164s rows=602 spans=n/a
[08-28 19:43:27]   mod_meffv2l_b8_monolith_m2pro_r7 rc=0 162s rows=605 spans=n/a
[08-28 19:46:09]   mod_meffv2l_b8_choreo_m2pro_r7 rc=0 162s rows=602 spans=n/a
[08-28 19:48:51]   mod_meffv2l_b8_choreo-traced_m2pro_r7 rc=0 162s rows=603 spans=2401
[08-28 19:51:32]   mod_meffv2l_b8_choreo_m2pro_r8 rc=0 160s rows=602 spans=n/a
[08-28 19:54:14]   mod_meffv2l_b8_choreo-traced_m2pro_r8 rc=0 162s rows=603 spans=2401
[08-28 19:56:57]   mod_meffv2l_b8_monolith_m2pro_r8 rc=0 163s rows=605 spans=n/a
[08-28 19:59:40]   mod_meffv2l_b8_choreo-traced_m2pro_r9 rc=0 163s rows=603 spans=2401
[08-28 20:02:22]   mod_meffv2l_b8_monolith_m2pro_r9 rc=0 162s rows=605 spans=n/a
[08-28 20:05:06]   mod_meffv2l_b8_choreo_m2pro_r9 rc=0 164s rows=602 spans=n/a
[08-28 20:07:46]   mod_meffv2l_b8_monolith_m2pro_r10 rc=0 160s rows=605 spans=n/a
[08-28 20:10:27]   mod_meffv2l_b8_choreo_m2pro_r10 rc=0 161s rows=602 spans=n/a
[08-28 20:13:11]   mod_meffv2l_b8_choreo-traced_m2pro_r10 rc=0 164s rows=603 spans=2401
[08-28 20:15:52]   mod_meffv2l_b8_choreo_m2pro_r11 rc=0 161s rows=602 spans=n/a
[08-28 20:18:35]   mod_meffv2l_b8_choreo-traced_m2pro_r11 rc=0 163s rows=603 spans=2401
[08-28 20:21:15]   mod_meffv2l_b8_monolith_m2pro_r11 rc=0 160s rows=605 spans=n/a
[08-28 20:22:51]   mod_meffv2m_b8_monolith_m2pro_r1 rc=0 96s rows=605 spans=n/a
[08-28 20:24:28]   mod_meffv2m_b8_choreo_m2pro_r1 rc=0 96s rows=602 spans=n/a
[08-28 20:26:03]   mod_meffv2m_b8_choreo-traced_m2pro_r1 rc=0 95s rows=603 spans=2401
[08-28 20:27:38]   mod_meffv2m_b8_choreo_m2pro_r2 rc=0 95s rows=602 spans=n/a
[08-28 20:29:15]   mod_meffv2m_b8_choreo-traced_m2pro_r2 rc=0 97s rows=603 spans=2401
[08-28 20:30:50]   mod_meffv2m_b8_monolith_m2pro_r2 rc=0 95s rows=605 spans=n/a
[08-28 20:32:27]   mod_meffv2m_b8_choreo-traced_m2pro_r3 rc=0 97s rows=603 spans=2401
[08-28 20:34:01]   mod_meffv2m_b8_monolith_m2pro_r3 rc=0 94s rows=605 spans=n/a
[08-28 20:35:35]   mod_meffv2m_b8_choreo_m2pro_r3 rc=0 94s rows=602 spans=n/a
[08-28 20:37:08]   mod_meffv2m_b8_monolith_m2pro_r4 rc=0 93s rows=605 spans=n/a
[08-28 20:38:42]   mod_meffv2m_b8_choreo_m2pro_r4 rc=0 94s rows=602 spans=n/a
[08-28 20:40:18]   mod_meffv2m_b8_choreo-traced_m2pro_r4 rc=0 95s rows=603 spans=2401
[08-28 20:41:52]   mod_meffv2m_b8_choreo_m2pro_r5 rc=0 94s rows=602 spans=n/a
[08-28 20:43:27]   mod_meffv2m_b8_choreo-traced_m2pro_r5 rc=0 95s rows=603 spans=2401
[08-28 20:45:01]   mod_meffv2m_b8_monolith_m2pro_r5 rc=0 94s rows=605 spans=n/a
[08-28 20:46:37]   mod_meffv2m_b8_choreo-traced_m2pro_r6 rc=0 96s rows=603 spans=2401
[08-28 20:48:12]   mod_meffv2m_b8_monolith_m2pro_r6 rc=0 95s rows=605 spans=n/a
[08-28 20:49:46]   mod_meffv2m_b8_choreo_m2pro_r6 rc=0 94s rows=602 spans=n/a
[08-28 20:51:19]   mod_meffv2m_b8_monolith_m2pro_r7 rc=0 93s rows=605 spans=n/a
[08-28 20:52:53]   mod_meffv2m_b8_choreo_m2pro_r7 rc=0 94s rows=602 spans=n/a
[08-28 20:54:28]   mod_meffv2m_b8_choreo-traced_m2pro_r7 rc=0 95s rows=603 spans=2401
[08-28 20:56:03]   mod_meffv2m_b8_choreo_m2pro_r8 rc=0 95s rows=602 spans=n/a
[08-28 20:57:39]   mod_meffv2m_b8_choreo-traced_m2pro_r8 rc=0 96s rows=603 spans=2401
[08-28 20:59:12]   mod_meffv2m_b8_monolith_m2pro_r8 rc=0 93s rows=605 spans=n/a
[08-28 21:00:47]   mod_meffv2m_b8_choreo-traced_m2pro_r9 rc=0 95s rows=603 spans=2401
[08-28 21:02:19]   mod_meffv2m_b8_monolith_m2pro_r9 rc=0 92s rows=605 spans=n/a
[08-28 21:03:53]   mod_meffv2m_b8_choreo_m2pro_r9 rc=0 94s rows=602 spans=n/a
[08-28 21:05:25]   mod_meffv2m_b8_monolith_m2pro_r10 rc=0 92s rows=605 spans=n/a
[08-28 21:06:59]   mod_meffv2m_b8_choreo_m2pro_r10 rc=0 94s rows=602 spans=n/a
[08-28 21:08:35]   mod_meffv2m_b8_choreo-traced_m2pro_r10 rc=0 96s rows=603 spans=2401
[08-28 21:10:09]   mod_meffv2m_b8_choreo_m2pro_r11 rc=0 94s rows=602 spans=n/a
[08-28 21:11:45]   mod_meffv2m_b8_choreo-traced_m2pro_r11 rc=0 96s rows=603 spans=2401
[08-28 21:13:18]   mod_meffv2m_b8_monolith_m2pro_r11 rc=0 93s rows=605 spans=n/a
[08-28 21:14:37]   mod_meffv2s_b16_monolith_m2pro_r1 rc=0 79s rows=605 spans=n/a
[08-28 21:15:57]   mod_meffv2s_b16_choreo_m2pro_r1 rc=0 80s rows=602 spans=n/a
[08-28 21:17:17]   mod_meffv2s_b16_choreo-traced_m2pro_r1 rc=0 80s rows=603 spans=2401
[08-28 21:18:37]   mod_meffv2s_b16_choreo_m2pro_r2 rc=0 80s rows=602 spans=n/a
[08-28 21:19:58]   mod_meffv2s_b16_choreo-traced_m2pro_r2 rc=0 81s rows=603 spans=2401
[08-28 21:21:15]   mod_meffv2s_b16_monolith_m2pro_r2 rc=0 77s rows=605 spans=n/a
[08-28 21:22:36]   mod_meffv2s_b16_choreo-traced_m2pro_r3 rc=0 81s rows=603 spans=2401
[08-28 21:23:55]   mod_meffv2s_b16_monolith_m2pro_r3 rc=0 79s rows=605 spans=n/a
[08-28 21:25:15]   mod_meffv2s_b16_choreo_m2pro_r3 rc=0 80s rows=602 spans=n/a
[08-28 21:26:32]   mod_meffv2s_b16_monolith_m2pro_r4 rc=0 77s rows=605 spans=n/a
[08-28 21:27:52]   mod_meffv2s_b16_choreo_m2pro_r4 rc=0 80s rows=602 spans=n/a
[08-28 21:29:13]   mod_meffv2s_b16_choreo-traced_m2pro_r4 rc=0 81s rows=603 spans=2401
[08-28 21:30:33]   mod_meffv2s_b16_choreo_m2pro_r5 rc=0 80s rows=602 spans=n/a
[08-28 21:31:54]   mod_meffv2s_b16_choreo-traced_m2pro_r5 rc=0 81s rows=603 spans=2401
[08-28 21:33:13]   mod_meffv2s_b16_monolith_m2pro_r5 rc=0 79s rows=605 spans=n/a
[08-28 21:34:35]   mod_meffv2s_b16_choreo-traced_m2pro_r6 rc=0 82s rows=603 spans=2401
[08-28 21:35:53]   mod_meffv2s_b16_monolith_m2pro_r6 rc=0 78s rows=605 spans=n/a
[08-28 21:37:15]   mod_meffv2s_b16_choreo_m2pro_r6 rc=0 81s rows=602 spans=n/a
[08-28 21:38:33]   mod_meffv2s_b16_monolith_m2pro_r7 rc=0 78s rows=605 spans=n/a
[08-28 21:39:53]   mod_meffv2s_b16_choreo_m2pro_r7 rc=0 80s rows=602 spans=n/a
[08-28 21:41:15]   mod_meffv2s_b16_choreo-traced_m2pro_r7 rc=0 82s rows=603 spans=2401
[08-28 21:42:35]   mod_meffv2s_b16_choreo_m2pro_r8 rc=0 79s rows=602 spans=n/a
[08-28 21:43:57]   mod_meffv2s_b16_choreo-traced_m2pro_r8 rc=0 82s rows=603 spans=2401
[08-28 21:45:15]   mod_meffv2s_b16_monolith_m2pro_r8 rc=0 78s rows=605 spans=n/a
[08-28 21:46:37]   mod_meffv2s_b16_choreo-traced_m2pro_r9 rc=0 82s rows=603 spans=2401
[08-28 21:47:55]   mod_meffv2s_b16_monolith_m2pro_r9 rc=0 78s rows=605 spans=n/a
[08-28 21:49:16]   mod_meffv2s_b16_choreo_m2pro_r9 rc=0 81s rows=602 spans=n/a
[08-28 21:50:34]   mod_meffv2s_b16_monolith_m2pro_r10 rc=0 77s rows=605 spans=n/a
[08-28 21:51:53]   mod_meffv2s_b16_choreo_m2pro_r10 rc=0 79s rows=602 spans=n/a
[08-28 21:53:14]   mod_meffv2s_b16_choreo-traced_m2pro_r10 rc=0 81s rows=603 spans=2401
[08-28 21:54:34]   mod_meffv2s_b16_choreo_m2pro_r11 rc=0 80s rows=602 spans=n/a
[08-28 21:55:56]   mod_meffv2s_b16_choreo-traced_m2pro_r11 rc=0 82s rows=603 spans=2401
[08-28 21:57:15]   mod_meffv2s_b16_monolith_m2pro_r11 rc=0 79s rows=605 spans=n/a
[08-28 21:57:30]   mod_meffv2s_b1_monolith_m2pro_r1 rc=0 15s rows=605 spans=n/a
[08-28 21:57:46]   mod_meffv2s_b1_choreo_m2pro_r1 rc=0 16s rows=602 spans=n/a
[08-28 21:58:03]   mod_meffv2s_b1_choreo-traced_m2pro_r1 rc=0 17s rows=603 spans=2401
[08-28 21:58:19]   mod_meffv2s_b1_choreo_m2pro_r2 rc=0 16s rows=602 spans=n/a
[08-28 21:58:36]   mod_meffv2s_b1_choreo-traced_m2pro_r2 rc=0 17s rows=603 spans=2401
[08-28 21:58:51]   mod_meffv2s_b1_monolith_m2pro_r2 rc=0 14s rows=605 spans=n/a
[08-28 21:59:08]   mod_meffv2s_b1_choreo-traced_m2pro_r3 rc=0 17s rows=603 spans=2401
[08-28 21:59:23]   mod_meffv2s_b1_monolith_m2pro_r3 rc=0 15s rows=605 spans=n/a
[08-28 21:59:40]   mod_meffv2s_b1_choreo_m2pro_r3 rc=0 17s rows=602 spans=n/a
[08-28 21:59:55]   mod_meffv2s_b1_monolith_m2pro_r4 rc=0 15s rows=605 spans=n/a
[08-28 22:00:11]   mod_meffv2s_b1_choreo_m2pro_r4 rc=0 16s rows=602 spans=n/a
[08-28 22:00:29]   mod_meffv2s_b1_choreo-traced_m2pro_r4 rc=0 18s rows=603 spans=2401
[08-28 22:00:44]   mod_meffv2s_b1_choreo_m2pro_r5 rc=0 15s rows=602 spans=n/a
[08-28 22:01:02]   mod_meffv2s_b1_choreo-traced_m2pro_r5 rc=0 17s rows=603 spans=2401
[08-28 22:01:16]   mod_meffv2s_b1_monolith_m2pro_r5 rc=0 14s rows=605 spans=n/a
[08-28 22:01:33]   mod_meffv2s_b1_choreo-traced_m2pro_r6 rc=0 17s rows=603 spans=2401
[08-28 22:01:48]   mod_meffv2s_b1_monolith_m2pro_r6 rc=0 15s rows=605 spans=n/a
[08-28 22:02:04]   mod_meffv2s_b1_choreo_m2pro_r6 rc=0 16s rows=602 spans=n/a
[08-28 22:02:19]   mod_meffv2s_b1_monolith_m2pro_r7 rc=0 15s rows=605 spans=n/a
[08-28 22:02:35]   mod_meffv2s_b1_choreo_m2pro_r7 rc=0 16s rows=602 spans=n/a
[08-28 22:02:53]   mod_meffv2s_b1_choreo-traced_m2pro_r7 rc=0 18s rows=603 spans=2401
[08-28 22:03:09]   mod_meffv2s_b1_choreo_m2pro_r8 rc=0 16s rows=602 spans=n/a
[08-28 22:03:27]   mod_meffv2s_b1_choreo-traced_m2pro_r8 rc=0 18s rows=603 spans=2401
[08-28 22:03:41]   mod_meffv2s_b1_monolith_m2pro_r8 rc=0 14s rows=605 spans=n/a
[08-28 22:03:58]   mod_meffv2s_b1_choreo-traced_m2pro_r9 rc=0 17s rows=603 spans=2401
[08-28 22:04:13]   mod_meffv2s_b1_monolith_m2pro_r9 rc=0 15s rows=605 spans=n/a
[08-28 22:04:30]   mod_meffv2s_b1_choreo_m2pro_r9 rc=0 17s rows=602 spans=n/a
