config	cell	run	rc	seconds	csv_rows	spans
monolith	meffv2l_b8	1	0	170	605	
choreo	meffv2l_b8	1	0	169	602	
choreo-traced	meffv2l_b8	1	0	163	603	2401
choreo	meffv2l_b8	2	0	164	602	
choreo-traced	meffv2l_b8	2	0	162	603	2401
monolith	meffv2l_b8	2	0	161	605	
choreo-traced	meffv2l_b8	3	0	164	603	2401
monolith	meffv2l_b8	3	0	161	605	
choreo	meffv2l_b8	3	0	161	602	
monolith	meffv2l_b8	4	0	160	605	
choreo	meffv2l_b8	4	0	161	602	
choreo-traced	meffv2l_b8	4	0	162	603	2401
choreo	meffv2l_b8	5	0	161	602	
choreo-traced	meffv2l_b8	5	0	161	603	2401
monolith	meffv2l_b8	5	0	161	605	
choreo-traced	meffv2l_b8	6	0	163	603	2401
monolith	meffv2l_b8	6	0	162	605	
choreo	meffv2l_b8	6	0	164	602	
monolith	meffv2l_b8	7	0	162	605	
choreo	meffv2l_b8	7	0	162	602	
choreo-traced	meffv2l_b8	7	0	162	603	2401
choreo	meffv2l_b8	8	0	160	602	
choreo-traced	meffv2l_b8	8	0	162	603	2401
monolith	meffv2l_b8	8	0	163	605	
choreo-traced	meffv2l_b8	9	0	163	603	2401
monolith	meffv2l_b8	9	0	162	605	
choreo	meffv2l_b8	9	0	164	602	
monolith	meffv2l_b8	10	0	160	605	
choreo	meffv2l_b8	10	0	161	602	
choreo-traced	meffv2l_b8	10	0	164	603	2401
choreo	meffv2l_b8	11	0	161	602	
choreo-traced	meffv2l_b8	11	0	163	603	2401
monolith	meffv2l_b8	11	0	160	605	
monolith	meffv2m_b8	1	0	96	605	
choreo	meffv2m_b8	1	0	96	602	
choreo-traced	meffv2m_b8	1	0	95	603	2401
choreo	meffv2m_b8	2	0	95	602	
choreo-traced	meffv2m_b8	2	0	97	603	2401
monolith	meffv2m_b8	2	0	95	605	
choreo-traced	meffv2m_b8	3	0	97	603	2401
monolith	meffv2m_b8	3	0	94	605	
choreo	meffv2m_b8	3	0	94	602	
monolith	meffv2m_b8	4	0	93	605	
choreo	meffv2m_b8	4	0	94	602	
choreo-traced	meffv2m_b8	4	0	95	603	2401
choreo	meffv2m_b8	5	0	94	602	
choreo-traced	meffv2m_b8	5	0	95	603	2401
monolith	meffv2m_b8	5	0	94	605	
choreo-traced	meffv2m_b8	6	0	96	603	2401
monolith	meffv2m_b8	6	0	95	605	
choreo	meffv2m_b8	6	0	94	602	
monolith	meffv2m_b8	7	0	93	605	
choreo	meffv2m_b8	7	0	94	602	
