1782435930.219494, baseline_finetune, system, setup, start, device=cuda, 4554996057570144
1782435930.632533, baseline_finetune, model, info, trainable_params=12810, total_params=20190298, 4554996470620970
1782435930.632623, baseline_finetune, system, setup, end, 4554996470684618
1782435930.632638, baseline_finetune, training_loop, run, start, 4554996470698394
1782435930.668122, baseline_finetune, training_step, run, start, 4554996506212648
1782435931.069509, baseline_finetune, training_step, run, end, 4554996907600691
1782435931.093494, baseline_finetune, training_step, run, start, 4554996931580882
1782435931.132116, baseline_finetune, training_step, run, end, 4554996970209065
1782435931.155687, baseline_finetune, training_step, run, start, 4554996993773000
1782435931.194573, baseline_finetune, training_step, run, end, 4554997032662063
1782435931.227644, baseline_finetune, training_step, run, start, 4554997065726774
1782435931.264613, baseline_finetune, training_step, run, end, 4554997102694089
1782435931.286692, baseline_finetune, training_step, run, start, 4554997124769875
1782435931.324167, baseline_finetune, training_step, run, end, 4554997162288695
1782435931.350568, baseline_finetune, training_step, run, start, 4554997188649469
1782435931.388998, baseline_finetune, training_step, run, end, 4554997227091762
1782435931.414990, baseline_finetune, training_step, run, start, 4554997253068759
1782435931.453908, baseline_finetune, training_step, run, end, 4554997291991407
1782435931.478712, baseline_finetune, training_step, run, start, 4554997316793600
1782435931.517879, baseline_finetune, training_step, run, end, 4554997355963192
1782435931.551736, baseline_finetune, training_step, run, start, 4554997389821090
1782435931.590193, baseline_finetune, training_step, run, end, 4554997428275192
1782435931.617899, baseline_finetune, training_step, run, start, 4554997455982161
1782435931.656452, baseline_finetune, training_step, run, end, 4554997494548056
1782435931.687999, baseline_finetune, training_step, run, start, 4554997526084651
1782435931.726297, baseline_finetune, training_step, run, end, 4554997564381729
1782435931.753820, baseline_finetune, training_step, run, start, 4554997591900746
1782435931.792576, baseline_finetune, training_step, run, end, 4554997630655489
1782435931.833314, baseline_finetune, training_step, run, start, 4554997671414765
1782435931.873312, baseline_finetune, training_step, run, end, 4554997711402935
1782435931.895587, baseline_finetune, training_step, run, start, 4554997733672290
1782435931.934855, baseline_finetune, training_step, run, end, 4554997772949738
1782435932.017774, baseline_finetune, training_step, run, start, 4554997855862454
1782435932.055968, baseline_finetune, training_step, run, end, 4554997894053867
1782435932.081866, baseline_finetune, training_step, run, start, 4554997919947216
1782435932.121357, baseline_finetune, training_step, run, end, 4554997959452984
1782435932.146922, baseline_finetune, training_step, run, start, 4554997985007772
1782435932.185127, baseline_finetune, training_step, run, end, 4554998023209538
1782435932.224457, baseline_finetune, training_step, run, start, 4554998062535321
1782435932.262528, baseline_finetune, training_step, run, end, 4554998100620494
1782435932.287222, baseline_finetune, training_step, run, start, 4554998125307568
1782435932.325633, baseline_finetune, training_step, run, end, 4554998163717158
1782435932.349215, baseline_finetune, training_step, run, start, 4554998187294676
1782435932.387560, baseline_finetune, training_step, run, end, 4554998225655065
1782435932.418026, baseline_finetune, training_step, run, start, 4554998256109082
1782435932.456797, baseline_finetune, training_step, run, end, 4554998294893041
1782435932.492212, baseline_finetune, training_step, run, start, 4554998330303086
1782435932.529950, baseline_finetune, training_step, run, end, 4554998368034098
1782435932.555294, baseline_finetune, training_step, run, start, 4554998393382229
1782435932.592281, baseline_finetune, training_step, run, end, 4554998430374135
1782435932.615906, baseline_finetune, training_step, run, start, 4554998453995158
1782435932.654989, baseline_finetune, training_step, run, end, 4554998493099645
1782435932.691718, baseline_finetune, training_step, run, start, 4554998529809582
1782435932.730157, baseline_finetune, training_step, run, end, 4554998568251556
1782435932.751564, baseline_finetune, training_step, run, start, 4554998589655293
1782435932.790027, baseline_finetune, training_step, run, end, 4554998628116947
1782435932.813638, baseline_finetune, training_step, run, start, 4554998651728417
1782435932.852760, baseline_finetune, training_step, run, end, 4554998690856489
1782435932.876539, baseline_finetune, training_step, run, start, 4554998714630024
1782435932.915040, baseline_finetune, training_step, run, end, 4554998753133998
1782435932.947773, baseline_finetune, training_step, run, start, 4554998785868788
1782435932.987206, baseline_finetune, training_step, run, end, 4554998825301581
1782435933.026448, baseline_finetune, training_step, run, start, 4554998864546005
1782435933.066493, baseline_finetune, training_step, run, end, 4554998904589246
1782435933.089154, baseline_finetune, training_step, run, start, 4554998927244554
1782435933.127923, baseline_finetune, training_step, run, end, 4554998966027265
1782435933.152092, baseline_finetune, training_step, run, start, 4554998990183328
1782435933.192111, baseline_finetune, training_step, run, end, 4554999030233082
1782435933.221462, baseline_finetune, training_step, run, start, 4554999059552440
1782435933.259654, baseline_finetune, training_step, run, end, 4554999097749485
1782435933.282017, baseline_finetune, training_step, run, start, 4554999120108888
1782435933.320552, baseline_finetune, training_step, run, end, 4554999158649198
1782435933.356266, baseline_finetune, training_step, run, start, 4554999194367244
1782435933.396733, baseline_finetune, training_step, run, end, 4554999234819271
1782435933.427172, baseline_finetune, training_step, run, start, 4554999265262439
1782435933.464289, baseline_finetune, training_step, run, end, 4554999302375369
1782435933.486823, baseline_finetune, training_step, run, start, 4554999324914997
1782435933.524383, baseline_finetune, training_step, run, end, 4554999362503832
1782435933.553373, baseline_finetune, training_step, run, start, 4554999391469509
1782435933.591622, baseline_finetune, training_step, run, end, 4554999429744538
1782435933.624280, baseline_finetune, training_step, run, start, 4554999462377968
1782435933.665768, baseline_finetune, training_step, run, end, 4554999503889886
1782435933.693019, baseline_finetune, training_step, run, start, 4554999531103526
1782435933.731769, baseline_finetune, training_step, run, end, 4554999569875340
1782435933.754419, baseline_finetune, training_step, run, start, 4554999592495560
1782435933.793064, baseline_finetune, training_step, run, end, 4554999631163982
1782435933.814492, baseline_finetune, training_step, run, start, 4554999652567655
1782435933.853737, baseline_finetune, training_step, run, end, 4554999691856799
1782435933.892235, baseline_finetune, training_step, run, start, 4554999730329380
1782435933.932363, baseline_finetune, training_step, run, end, 4554999770448654
1782435933.966516, baseline_finetune, training_step, run, start, 4554999804608424
1782435934.004457, baseline_finetune, training_step, run, end, 4554999842579341
1782435934.028917, baseline_finetune, training_step, run, start, 4554999867016461
1782435934.066097, baseline_finetune, training_step, run, end, 4554999904185807
1782435934.090587, baseline_finetune, training_step, run, start, 4554999928678464
1782435934.128152, baseline_finetune, training_step, run, end, 4554999966243219
1782435934.161099, baseline_finetune, training_step, run, start, 4554999999191306
1782435934.199398, baseline_finetune, training_step, run, end, 4555000037493791
1782435934.224800, baseline_finetune, training_step, run, start, 4555000062890914
1782435934.263469, baseline_finetune, training_step, run, end, 4555000101565048
1782435934.287997, baseline_finetune, training_step, run, start, 4555000126088201
1782435934.326430, baseline_finetune, training_step, run, end, 4555000164525950
1782435934.363860, baseline_finetune, training_step, run, start, 4555000201947297
1782435934.401844, baseline_finetune, training_step, run, end, 4555000239945077
1782435934.427653, baseline_finetune, training_step, run, start, 4555000265730937
1782435934.465772, baseline_finetune, training_step, run, end, 4555000303874302
1782435934.492755, baseline_finetune, training_step, run, start, 4555000330835429
1782435934.531490, baseline_finetune, training_step, run, end, 4555000369570619
1782435934.554150, baseline_finetune, training_step, run, start, 4555000392226519
1782435934.592746, baseline_finetune, training_step, run, end, 4555000430824780
1782435934.618247, baseline_finetune, training_step, run, start, 4555000456323440
1782435934.657841, baseline_finetune, training_step, run, end, 4555000495936456
