1782436294.758781, EfficientNetv2 S Imagenette training, pipeline, prepare, start, 4555360596975730
1782436294.759009, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, start, 4555360597071507
1782436294.759969, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, end, 4555360598031076
1782436294.759989, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, start, 4555360598048596
1782436295.208881, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, end, 4555361046965038
1782436295.208977, EfficientNetv2 S Imagenette training, pipeline, prepare, end, 4555361047043614
1782436295.210109, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 108829803049928604792283170893920477273, 1782436295.210054, 1, 1, 4555361048199728
1782436295.210520, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555361048602881
1782436295.261757, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555361099842467
1782436295.261864, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555361099940532
1782436295.695081, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555361533166985
1782436295.695818, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 108829803049928604792283170893920477273, 1782436295.210054, 1, 1, 4555361533939946
1782436295.696389, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 238951841884213910230409006663543256334, 1782436295.696325, 1, 2, 4555361534466571
1782436295.696728, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555361534809819
1782436295.741039, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555361579125589
1782436295.741150, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555361579219317
1782436295.780085, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555361618187384
1782436295.780682, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 238951841884213910230409006663543256334, 1782436295.696325, 1, 2, 4555361618803593
1782436295.781869, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 274017009254335988200105191944705309363, 1782436295.781724, 1, 3, 4555361619945898
1782436295.782460, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555361620547787
1782436295.828546, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555361666625111
1782436295.828629, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555361666697415
1782436295.867464, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555361705543866
1782436295.867665, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 274017009254335988200105191944705309363, 1782436295.781724, 1, 3, 4555361705750042
1782436295.868149, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 197670825085389995087182420659745540597, 1782436295.868095, 1, 4, 4555361706227147
1782436295.868601, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555361706710811
1782436295.916214, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555361754297033
1782436295.916308, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555361754377530
1782436295.954997, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555361793068220
1782436295.955371, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 197670825085389995087182420659745540597, 1782436295.868095, 1, 4, 4555361793462108
1782436295.956365, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 41660561620745349273991685501932309083, 1782436295.955964, 1, 5, 4555361794445421
1782436295.956852, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555361794952734
1782436296.005208, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555361843289790
1782436296.005299, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555361843368158
1782436296.043834, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555361881904704
1782436296.043941, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 41660561620745349273991685501932309083, 1782436295.955964, 1, 5, 4555361882051584
1782436296.044593, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 279379427568109803230033030446057181134, 1782436296.044456, 1, 6, 4555361882671841
1782436296.045068, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555361883168930
1782436296.089206, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555361927288251
1782436296.089296, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555361927363851
1782436296.128239, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555361966324494
1782436296.128386, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 279379427568109803230033030446057181134, 1782436296.044456, 1, 6, 4555361966484574
1782436296.128985, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 129109655304614526880970496389292152727, 1782436296.128913, 1, 7, 4555361967071679
1782436296.129552, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555361967639040
1782436296.171735, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555362009816711
1782436296.171823, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555362009891959
1782436296.210796, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555362048897753
