1782456488.381016, EfficientNetv2 S Imagenette training, pipeline, prepare, start, 147090290489708
1782456488.381247, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, start, 147090290613375
1782456488.381493, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, end, 147090290858458
1782456488.381519, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, start, 147090290882583
1782456488.859544, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, end, 147090768917166
1782456488.859633, EfficientNetv2 S Imagenette training, pipeline, prepare, end, 147090768997208
1782456488.860742, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 177643808809625898684333341977237686534, 1782456488.860550, 1, 1, 147090770106500
1782456488.861461, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 147090770823000
1782456488.913799, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 147090823175291
1782456488.913887, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 147090823254250
1782456489.362386, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 147091271753708
1782456489.362594, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 177643808809625898684333341977237686534, 1782456488.860550, 1, 1, 147091271953083
1782456489.363255, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 110476082082580250585188137255272578783, 1782456489.363167, 1, 2, 147091272612375
1782456489.363669, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 147091273026458
1782456489.397214, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 147091306575708
1782456489.397392, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 147091306749791
1782456489.489677, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 147091399042375
1782456489.489781, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 110476082082580250585188137255272578783, 1782456489.363167, 1, 2, 147091399140166
1782456489.490544, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 333726345998136588389115664429578880795, 1782456489.490435, 1, 3, 147091399900875
1782456489.491018, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 147091400375166
1782456489.543556, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 147091452918250
1782456489.543743, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 147091453099000
1782456489.643242, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 333726345998136588389115664429578880795, 1782456489.490435, 1, 3, 147091552605833
1782456489.643309, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 147091552668916
1782456489.644138, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 220965951072249784640409926043350298, 1782456489.644001, 1, 4, 147091553494375
1782456489.644571, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 147091553925875
1782456489.677285, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 147091586644916
1782456489.677480, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 147091586836583
1782456489.770058, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 147091679418958
1782456489.770634, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 220965951072249784640409926043350298, 1782456489.644001, 1, 4, 147091679990416
1782456489.772449, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 285112161037403978949543656147093983770, 1782456489.772267, 1, 5, 147091681805541
1782456489.773885, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 147091683243541
1782456489.828458, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 147091737822291
1782456489.828649, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 147091738013458
1782456489.926290, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 147091835654500
1782456489.926648, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 285112161037403978949543656147093983770, 1782456489.772267, 1, 5, 147091836000583
1782456489.927350, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 156469441140024350744366753227149564407, 1782456489.927244, 1, 6, 147091836706166
1782456489.927876, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 147091837229208
