1783986076.496825, VQA MPS Monolith, pipeline, prepare, start, 77945898574708
1783986076.497143, VQA MPS Monolith, VQA dataloader, prepare, start, 77945898702041
1783986078.711573, VQA MPS Monolith, VQA dataloader, prepare, end, 77948113179291
1783986078.711732, VQA MPS Monolith, CLIP vision encoder, prepare, start, 77948113295708
1783986080.536176, VQA MPS Monolith, CLIP vision encoder, prepare, end, 77949937759625
1783986080.536281, VQA MPS Monolith, FAISS retriever, prepare, start, 77949937849708
1783986094.522318, VQA MPS Monolith, FAISS retriever, prepare, end, 77963923945125
1783986094.522398, VQA MPS Monolith, VQA formatter, prepare, start, 77963924008833
1783986094.522590, VQA MPS Monolith, VQA formatter, prepare, end, 77963924202083
1783986094.522615, VQA MPS Monolith, LLM generator, prepare, start, 77963924223666
1783986099.568980, VQA MPS Monolith, LLM generator, prepare, end, 77968970631708
1783986099.569343, VQA MPS Monolith, pipeline, prepare, end, 77968970974958
1783986099.569704, VQA MPS Monolith, pipeline - val, run, start, 111028543404672316585387490349181287003, 1783986099.569672, 1, 1, 77968971334666
1783986099.569792, VQA MPS Monolith, VQA dataloader, run, start, 77968971418416
1783986099.884995, VQA MPS Monolith, VQA dataloader, run, end, 77969286636083
1783986099.885070, VQA MPS Monolith, CLIP vision encoder, run, start, 77969286703291
1783986100.883630, VQA MPS Monolith, CLIP vision encoder, run, end, 77970285282750
1783986100.883725, VQA MPS Monolith, FAISS retriever, run, start, 77970285359500
1783986100.976291, VQA MPS Monolith, FAISS retriever, run, end, 77970377936875
1783986100.976363, VQA MPS Monolith, VQA formatter, run, start, 77970377996583
1783986100.991043, VQA MPS Monolith, VQA formatter, run, end, 77970392684208
1783986100.991098, VQA MPS Monolith, LLM generator, run, start, 77970392729208
1783986106.637723, VQA MPS Monolith, LLM generator, run, end, 77976039389208
1783986106.637801, VQA MPS Monolith, End stage, run, start, 77976039451458
1783986106.638595, VQA MPS Monolith, End stage, run, end, 77976040244958
1783986106.638631, VQA MPS Monolith, pipeline - val, run, end, 111028543404672316585387490349181287003, 1783986099.569672, 1, 1, 77976040278625
1783986106.638802, VQA MPS Monolith, pipeline - val, run, start, 93139814616748261496349742411984000823, 1783986106.638764, 1, 2, 77976040452333
1783986106.638870, VQA MPS Monolith, VQA dataloader, run, start, 77976040518083
1783986106.641256, VQA MPS Monolith, VQA dataloader, run, end, 77976042905083
1783986106.641292, VQA MPS Monolith, CLIP vision encoder, run, start, 77976042938916
1783986106.849307, VQA MPS Monolith, CLIP vision encoder, run, end, 77976250970041
1783986106.849380, VQA MPS Monolith, FAISS retriever, run, start, 77976251031458
1783986106.850418, VQA MPS Monolith, FAISS retriever, run, end, 77976252070291
1783986106.850465, VQA MPS Monolith, VQA formatter, run, start, 77976252116625
1783986106.850770, VQA MPS Monolith, VQA formatter, run, end, 77976252419625
1783986106.850798, VQA MPS Monolith, LLM generator, run, start, 77976252446125
1783986112.112382, VQA MPS Monolith, LLM generator, run, end, 77981514123125
1783986112.112627, VQA MPS Monolith, End stage, run, start, 77981514300708
1783986112.115221, VQA MPS Monolith, End stage, run, end, 77981516890208
1783986112.115276, VQA MPS Monolith, pipeline - val, run, end, 93139814616748261496349742411984000823, 1783986106.638764, 1, 2, 77981516942541
1783986112.115527, VQA MPS Monolith, pipeline - val, run, start, 312052117053882117809740406659684050187, 1783986112.115481, 1, 3, 77981517193958
1783986112.115650, VQA MPS Monolith, VQA dataloader, run, start, 77981517315208
1783986112.119327, VQA MPS Monolith, VQA dataloader, run, end, 77981520995666
1783986112.119389, VQA MPS Monolith, CLIP vision encoder, run, start, 77981521056500
1783986112.631753, VQA MPS Monolith, CLIP vision encoder, run, end, 77982033464083
1783986112.631901, VQA MPS Monolith, FAISS retriever, run, start, 77982033571916
1783986112.633164, VQA MPS Monolith, FAISS retriever, run, end, 77982034834666
1783986112.633230, VQA MPS Monolith, VQA formatter, run, start, 77982034908791
1783986112.633754, VQA MPS Monolith, VQA formatter, run, end, 77982035420291
1783986112.633800, VQA MPS Monolith, LLM generator, run, start, 77982035466958
1783986114.244572, VQA MPS Monolith, LLM generator, run, end, 77983646279541
1783986114.244732, VQA MPS Monolith, End stage, run, start, 77983646411708
1783986114.246391, VQA MPS Monolith, End stage, run, end, 77983648066708
1783986114.246454, VQA MPS Monolith, pipeline - val, run, end, 312052117053882117809740406659684050187, 1783986112.115481, 1, 3, 77983648130416
1783986114.246719, VQA MPS Monolith, pipeline - val, run, start, 14310012009585665513170054708069653815, 1783986114.246660, 1, 4, 77983648402958
