1783989952.313468, CLIP GPU encode pilot, pipeline, prepare, start, 81821666397208
1783989952.313748, CLIP GPU encode pilot, VQA dataloader, prepare, start, 81821666524541
1783989954.497437, CLIP GPU encode pilot, VQA dataloader, prepare, end, 81823850228500
1783989954.497574, CLIP GPU encode pilot, CLIP vision encoder, prepare, start, 81823850335500
1783989956.260297, CLIP GPU encode pilot, CLIP vision encoder, prepare, end, 81825613059583
1783989956.260369, CLIP GPU encode pilot, pipeline, prepare, end, 81825613121708
1783989956.260745, CLIP GPU encode pilot, pipeline - val, run, start, 93194851447470745067266918604346617956, 1783989956.260709, 1, 1, 81825613498916
1783989956.260834, CLIP GPU encode pilot, VQA dataloader, run, start, 81825613583625
1783989956.281483, CLIP GPU encode pilot, VQA dataloader, run, end, 81825634238458
1783989956.281527, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81825634276375
1783989956.473086, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81825825849875
1783989956.473155, CLIP GPU encode pilot, pipeline - val, run, end, 93194851447470745067266918604346617956, 1783989956.260709, 1, 1, 81825825907875
1783989956.473376, CLIP GPU encode pilot, pipeline - val, run, start, 159650292282118000665068789511659917957, 1783989956.473346, 1, 2, 81825826126000
1783989956.473458, CLIP GPU encode pilot, VQA dataloader, run, start, 81825826205500
1783989956.475497, CLIP GPU encode pilot, VQA dataloader, run, end, 81825828247250
1783989956.475536, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81825828284625
1783989956.526451, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81825879210500
1783989956.526517, CLIP GPU encode pilot, pipeline - val, run, end, 159650292282118000665068789511659917957, 1783989956.473346, 1, 2, 81825879268500
1783989956.526704, CLIP GPU encode pilot, pipeline - val, run, start, 103270438890049638536471006811097772697, 1783989956.526675, 1, 3, 81825879452500
1783989956.526791, CLIP GPU encode pilot, VQA dataloader, run, start, 81825879540666
1783989956.528462, CLIP GPU encode pilot, VQA dataloader, run, end, 81825881211875
1783989956.528504, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81825881253458
1783989956.578650, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81825931400250
1783989956.578693, CLIP GPU encode pilot, pipeline - val, run, end, 103270438890049638536471006811097772697, 1783989956.526675, 1, 3, 81825931441250
1783989956.578842, CLIP GPU encode pilot, pipeline - val, run, start, 59333915812574623837055652426359091763, 1783989956.578820, 1, 4, 81825931589916
1783989956.578901, CLIP GPU encode pilot, VQA dataloader, run, start, 81825931648000
1783989956.580938, CLIP GPU encode pilot, VQA dataloader, run, end, 81825933686125
1783989956.580972, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81825933719333
1783989956.630915, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81825983665583
1783989956.630957, CLIP GPU encode pilot, pipeline - val, run, end, 59333915812574623837055652426359091763, 1783989956.578820, 1, 4, 81825983705291
1783989956.631105, CLIP GPU encode pilot, pipeline - val, run, start, 34170095359437971780494011943605554841, 1783989956.631085, 1, 5, 81825983852625
1783989956.631161, CLIP GPU encode pilot, VQA dataloader, run, start, 81825983908041
1783989956.633293, CLIP GPU encode pilot, VQA dataloader, run, end, 81825986040458
1783989956.633349, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81825986095166
1783989956.683375, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826036126458
1783989956.683420, CLIP GPU encode pilot, pipeline - val, run, end, 34170095359437971780494011943605554841, 1783989956.631085, 1, 5, 81826036167041
1783989956.683568, CLIP GPU encode pilot, pipeline - val, run, start, 101743619467088315452102366555299326906, 1783989956.683546, 1, 6, 81826036314916
1783989956.683623, CLIP GPU encode pilot, VQA dataloader, run, start, 81826036369750
1783989956.685981, CLIP GPU encode pilot, VQA dataloader, run, end, 81826038728666
1783989956.686032, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826038777833
1783989956.736221, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826088974125
1783989956.736265, CLIP GPU encode pilot, pipeline - val, run, end, 101743619467088315452102366555299326906, 1783989956.683546, 1, 6, 81826089011791
1783989956.736394, CLIP GPU encode pilot, pipeline - val, run, start, 232006822317334573369657718758099798482, 1783989956.736378, 1, 7, 81826089140541
1783989956.736447, CLIP GPU encode pilot, VQA dataloader, run, start, 81826089194000
1783989956.738241, CLIP GPU encode pilot, VQA dataloader, run, end, 81826090988291
1783989956.738292, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826091037458
1783989956.788016, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826140766958
1783989956.788059, CLIP GPU encode pilot, pipeline - val, run, end, 232006822317334573369657718758099798482, 1783989956.736378, 1, 7, 81826140806083
1783989956.788187, CLIP GPU encode pilot, pipeline - val, run, start, 65520136695550171309183608569701595613, 1783989956.788171, 1, 8, 81826140933250
1783989956.788251, CLIP GPU encode pilot, VQA dataloader, run, start, 81826140996541
1783989956.790940, CLIP GPU encode pilot, VQA dataloader, run, end, 81826143686750
1783989956.790989, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826143733833
1783989956.840722, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826193472208
1783989956.840770, CLIP GPU encode pilot, pipeline - val, run, end, 65520136695550171309183608569701595613, 1783989956.788171, 1, 8, 81826193516958
1783989956.840907, CLIP GPU encode pilot, pipeline - val, run, start, 290172272739328853911674506568418879074, 1783989956.840890, 1, 9, 81826193652875
1783989956.840961, CLIP GPU encode pilot, VQA dataloader, run, start, 81826193707166
1783989956.842899, CLIP GPU encode pilot, VQA dataloader, run, end, 81826195645083
1783989956.842944, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826195689250
1783989956.892747, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826245499208
1783989956.892794, CLIP GPU encode pilot, pipeline - val, run, end, 290172272739328853911674506568418879074, 1783989956.840890, 1, 9, 81826245540875
1783989956.892925, CLIP GPU encode pilot, pipeline - val, run, start, 185296630660899847027799427888748591249, 1783989956.892906, 1, 10, 81826245670625
1783989956.892979, CLIP GPU encode pilot, VQA dataloader, run, start, 81826245724541
1783989956.895232, CLIP GPU encode pilot, VQA dataloader, run, end, 81826247977458
1783989956.895278, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826248022500
