1783989976.044223, CLIP ANE encode pilot, pipeline, prepare, start, 81845397014583
1783989976.044535, CLIP ANE encode pilot, VQA dataloader, prepare, start, 81845397144291
1783989977.665248, CLIP ANE encode pilot, VQA dataloader, prepare, end, 81847017875958
1783989977.665376, CLIP ANE encode pilot, CLIP vision encoder (CoreML), prepare, start, 81847017972791
1784016914.161608, CLIP ANE encode pilot, pipeline, prepare, start, 108783532598541
1784016914.161901, CLIP ANE encode pilot, VQA dataloader, prepare, start, 108783532679291
1784016916.158799, CLIP ANE encode pilot, VQA dataloader, prepare, end, 108785529612958
1784016916.158930, CLIP ANE encode pilot, CLIP vision encoder (CoreML), prepare, start, 108785529714458
1784016925.840391, CLIP ANE encode pilot, CLIP vision encoder (CoreML), prepare, end, 108795211229375
1784016925.840656, CLIP ANE encode pilot, pipeline, prepare, end, 108795211475625
1784016925.841068, CLIP ANE encode pilot, pipeline - val, run, start, 94858080039775046281535329947041467712, 1784016925.841031, 1, 1, 108795211888833
1784016925.841173, CLIP ANE encode pilot, VQA dataloader, run, start, 108795211987791
1784016925.879542, CLIP ANE encode pilot, VQA dataloader, run, end, 108795250368625
1784016925.879596, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 108795250413708
1784020806.349093, CLIP ANE encode pilot, pipeline, prepare, start, 112675690482083
1784020806.349871, CLIP ANE encode pilot, VQA dataloader, prepare, start, 112675690908666
1784020808.435110, CLIP ANE encode pilot, VQA dataloader, prepare, end, 112677776158500
1784020808.435241, CLIP ANE encode pilot, CLIP vision encoder (CoreML), prepare, start, 112677776256916
1784020818.273536, CLIP ANE encode pilot, CLIP vision encoder (CoreML), prepare, end, 112687614502375
1784020818.273785, CLIP ANE encode pilot, pipeline, prepare, end, 112687614722958
1784020818.274200, CLIP ANE encode pilot, pipeline - val, run, start, 249545132727198050133481078829026149577, 1784020818.274159, 1, 1, 112687615132625
1784020818.274309, CLIP ANE encode pilot, VQA dataloader, run, start, 112687615235541
1784020818.291542, CLIP ANE encode pilot, VQA dataloader, run, end, 112687632476583
1784020818.291590, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112687632518000
1784020818.392636, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112687733622791
1784020818.392807, CLIP ANE encode pilot, pipeline - val, run, end, 249545132727198050133481078829026149577, 1784020818.274159, 1, 1, 112687733736333
1784020818.393063, CLIP ANE encode pilot, pipeline - val, run, start, 64078725851623250469283018297745324710, 1784020818.393013, 1, 2, 112687733991291
1784020818.393191, CLIP ANE encode pilot, VQA dataloader, run, start, 112687734117625
1784020818.395991, CLIP ANE encode pilot, VQA dataloader, run, end, 112687736918958
1784020818.396038, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112687736964625
1784020818.444054, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112687784990666
1784020818.444112, CLIP ANE encode pilot, pipeline - val, run, end, 64078725851623250469283018297745324710, 1784020818.393013, 1, 2, 112687785039833
1784020818.444276, CLIP ANE encode pilot, pipeline - val, run, start, 214323454483711297055180773857271778930, 1784020818.444252, 1, 3, 112687785202000
1784020818.444347, CLIP ANE encode pilot, VQA dataloader, run, start, 112687785274125
1784020818.445762, CLIP ANE encode pilot, VQA dataloader, run, end, 112687786689125
1784020818.445798, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112687786722958
1784020818.490312, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112687831248125
1784020818.490381, CLIP ANE encode pilot, pipeline - val, run, end, 214323454483711297055180773857271778930, 1784020818.444252, 1, 3, 112687831310041
1784020818.490590, CLIP ANE encode pilot, pipeline - val, run, start, 322139761187825201889018528175378014548, 1784020818.490560, 1, 4, 112687831515208
1784020818.490667, CLIP ANE encode pilot, VQA dataloader, run, start, 112687831591625
1784020818.492783, CLIP ANE encode pilot, VQA dataloader, run, end, 112687833709333
1784020818.492826, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112687833752375
1784020818.538000, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112687878933750
1784020818.538050, CLIP ANE encode pilot, pipeline - val, run, end, 322139761187825201889018528175378014548, 1784020818.490560, 1, 4, 112687878976958
1784020818.538215, CLIP ANE encode pilot, pipeline - val, run, start, 140215690967724371716789284404237062868, 1784020818.538190, 1, 5, 112687879141250
1784020818.538287, CLIP ANE encode pilot, VQA dataloader, run, start, 112687879211583
1784020818.540866, CLIP ANE encode pilot, VQA dataloader, run, end, 112687881792958
1784020818.540901, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112687881825166
1784020818.585851, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112687926787791
1784020818.585917, CLIP ANE encode pilot, pipeline - val, run, end, 140215690967724371716789284404237062868, 1784020818.538190, 1, 5, 112687926844625
1784020818.586115, CLIP ANE encode pilot, pipeline - val, run, start, 256067122637101980263702114283325879657, 1784020818.586086, 1, 6, 112687927043916
1784020818.586198, CLIP ANE encode pilot, VQA dataloader, run, start, 112687927123833
1784020818.589812, CLIP ANE encode pilot, VQA dataloader, run, end, 112687930738416
1784020818.589855, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112687930779333
1784020818.635985, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112687976912041
1784020818.636028, CLIP ANE encode pilot, pipeline - val, run, end, 256067122637101980263702114283325879657, 1784020818.586086, 1, 6, 112687976953750
1784020818.636161, CLIP ANE encode pilot, pipeline - val, run, start, 304554732836957634872511146374653100779, 1784020818.636144, 1, 7, 112687977086541
1784020818.636223, CLIP ANE encode pilot, VQA dataloader, run, start, 112687977146291
1784020818.638067, CLIP ANE encode pilot, VQA dataloader, run, end, 112687978991916
1784020818.638115, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112687979037583
1784020818.683364, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112688024303625
1784020818.683434, CLIP ANE encode pilot, pipeline - val, run, end, 304554732836957634872511146374653100779, 1784020818.636144, 1, 7, 112688024361291
1784020818.683645, CLIP ANE encode pilot, pipeline - val, run, start, 78725870212454535532211149303882262929, 1784020818.683617, 1, 8, 112688024569750
1784020818.683724, CLIP ANE encode pilot, VQA dataloader, run, start, 112688024648041
1784020818.687290, CLIP ANE encode pilot, VQA dataloader, run, end, 112688028217875
1784020818.687335, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112688028258583
1784020818.733398, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112688074329791
1784020818.733460, CLIP ANE encode pilot, pipeline - val, run, end, 78725870212454535532211149303882262929, 1784020818.683617, 1, 8, 112688074387583
1784020818.733684, CLIP ANE encode pilot, pipeline - val, run, start, 81531874247600098896719782897598933055, 1784020818.733651, 1, 9, 112688074609250
1784020818.733788, CLIP ANE encode pilot, VQA dataloader, run, start, 112688074713833
1784020818.737459, CLIP ANE encode pilot, VQA dataloader, run, end, 112688078386041
1784020818.737505, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112688078428791
1784020818.784229, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112688125167791
1784020818.784308, CLIP ANE encode pilot, pipeline - val, run, end, 81531874247600098896719782897598933055, 1784020818.733651, 1, 9, 112688125236166
1784020818.784534, CLIP ANE encode pilot, pipeline - val, run, start, 233814077446194591114046074186346917429, 1784020818.784500, 1, 10, 112688125458125
1784020818.784612, CLIP ANE encode pilot, VQA dataloader, run, start, 112688125534541
1784020818.789572, CLIP ANE encode pilot, VQA dataloader, run, end, 112688130498041
1784020818.789618, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112688130544916
1784020818.835679, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112688176608375
1784020818.835743, CLIP ANE encode pilot, pipeline - val, run, end, 233814077446194591114046074186346917429, 1784020818.784500, 1, 10, 112688176668291
1784020818.835935, CLIP ANE encode pilot, pipeline - val, run, start, 18220674416897197816187365996227104393, 1784020818.835901, 1, 11, 112688176862000
1784020818.836041, CLIP ANE encode pilot, VQA dataloader, run, start, 112688176964750
1784020818.840836, CLIP ANE encode pilot, VQA dataloader, run, end, 112688181761125
1784020818.840886, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112688181812750
1784020818.886557, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112688227489208
1784020818.886628, CLIP ANE encode pilot, pipeline - val, run, end, 18220674416897197816187365996227104393, 1784020818.835901, 1, 11, 112688227556583
1784020818.886860, CLIP ANE encode pilot, pipeline - val, run, start, 253793801726846187308558580746252856986, 1784020818.886824, 1, 12, 112688227783500
1784020818.887015, CLIP ANE encode pilot, VQA dataloader, run, start, 112688227954125
1784020818.890364, CLIP ANE encode pilot, VQA dataloader, run, end, 112688231293250
1784020818.890442, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112688231380166
1784020818.937128, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112688278064583
1784020818.937210, CLIP ANE encode pilot, pipeline - val, run, end, 253793801726846187308558580746252856986, 1784020818.886824, 1, 12, 112688278136208
1784020818.937438, CLIP ANE encode pilot, pipeline - val, run, start, 48284914653386935190924631517707135283, 1784020818.937402, 1, 13, 112688278362375
1784020818.937541, CLIP ANE encode pilot, VQA dataloader, run, start, 112688278463291
1784020818.942023, CLIP ANE encode pilot, VQA dataloader, run, end, 112688282947291
1784020818.942069, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112688282990541
1784020818.987545, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112688328484583
1784020818.987657, CLIP ANE encode pilot, pipeline - val, run, end, 48284914653386935190924631517707135283, 1784020818.937402, 1, 13, 112688328578333
1784020818.987856, CLIP ANE encode pilot, pipeline - val, run, start, 263367798967020020874785340679408066799, 1784020818.987829, 1, 14, 112688328776166
1784020818.987935, CLIP ANE encode pilot, VQA dataloader, run, start, 112688328853625
1784020818.990234, CLIP ANE encode pilot, VQA dataloader, run, end, 112688331159625
1784020818.990282, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112688331202333
1784020819.035306, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112688376232125
1784020819.035356, CLIP ANE encode pilot, pipeline - val, run, end, 263367798967020020874785340679408066799, 1784020818.987829, 1, 14, 112688376278750
1784020819.035534, CLIP ANE encode pilot, pipeline - val, run, start, 267143254810953752183072856699866862076, 1784020819.035505, 1, 15, 112688376457000
1784020819.035608, CLIP ANE encode pilot, VQA dataloader, run, start, 112688376529083
1784020819.038030, CLIP ANE encode pilot, VQA dataloader, run, end, 112688378951958
1784020819.038060, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112688378979833
1784020819.083536, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112688424466833
1784020819.083594, CLIP ANE encode pilot, pipeline - val, run, end, 267143254810953752183072856699866862076, 1784020819.035505, 1, 15, 112688424517458
1784020819.083800, CLIP ANE encode pilot, pipeline - val, run, start, 204335759005310133182895056678757145003, 1784020819.083769, 1, 16, 112688424724041
1784020819.083895, CLIP ANE encode pilot, VQA dataloader, run, start, 112688424813958
1784020819.086820, CLIP ANE encode pilot, VQA dataloader, run, end, 112688427741458
1784020819.086882, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112688427802250
1784020819.132321, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112688473247958
1784020819.132384, CLIP ANE encode pilot, pipeline - val, run, end, 204335759005310133182895056678757145003, 1784020819.083769, 1, 16, 112688473307666
1784020819.132581, CLIP ANE encode pilot, pipeline - val, run, start, 148881211803118104673346100082775901280, 1784020819.132551, 1, 17, 112688473504208
1784020819.132676, CLIP ANE encode pilot, VQA dataloader, run, start, 112688473598083
1784020819.138262, CLIP ANE encode pilot, VQA dataloader, run, end, 112688479184541
1784020819.138304, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112688479223041
1784020819.183722, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112688524652916
1784020819.183778, CLIP ANE encode pilot, pipeline - val, run, end, 148881211803118104673346100082775901280, 1784020819.132551, 1, 17, 112688524700000
1784020819.183978, CLIP ANE encode pilot, pipeline - val, run, start, 8333302101249877696358953698786624009, 1784020819.183948, 1, 18, 112688524897208
1784020819.184057, CLIP ANE encode pilot, VQA dataloader, run, start, 112688524979541
1784020819.189025, CLIP ANE encode pilot, VQA dataloader, run, end, 112688529946583
1784020819.189063, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112688529982583
1784020819.236538, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112688577465375
1784020819.236590, CLIP ANE encode pilot, pipeline - val, run, end, 8333302101249877696358953698786624009, 1784020819.183948, 1, 18, 112688577512125
1784020819.236783, CLIP ANE encode pilot, pipeline - val, run, start, 150192214547646845975288119382096121786, 1784020819.236756, 1, 19, 112688577702625
1784020819.236866, CLIP ANE encode pilot, VQA dataloader, run, start, 112688577785541
1784020819.240780, CLIP ANE encode pilot, VQA dataloader, run, end, 112688581700416
1784020819.240844, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112688581762208
1784020819.285187, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112688626114083
1784020819.285298, CLIP ANE encode pilot, pipeline - val, run, end, 150192214547646845975288119382096121786, 1784020819.236756, 1, 19, 112688626221250
