1784081424.631201, Decode 9B pilot, pipeline, prepare, start, 6200490469292676
1784081424.631565, Decode 9B pilot, Mock dataloader, prepare, start, 6200490469632037
1784081424.632395, Decode 9B pilot, Mock dataloader, prepare, end, 6200490470457862
1784081424.632420, Decode 9B pilot, Decode LLM, prepare, start, 6200490470480166
1784081502.341287, Decode 9B pilot, Decode LLM, prepare, end, 6200568179367198
1784081502.341372, Decode 9B pilot, pipeline, prepare, end, 6200568179653166
1784081502.343636, Decode 9B pilot, pipeline - train, run, start, 123086613528898754535448117891404939278, 1784081502.343470, 1, 1, 6200568181717840
1784081502.344314, Decode 9B pilot, Mock dataloader, run, start, 6200568182386513
1784081502.344495, Decode 9B pilot, Mock dataloader, run, end, 6200568182562081
1784081502.344601, Decode 9B pilot, Decode LLM, run, start, 6200568182674097
1784081502.347541, Decode 9B pilot, Decode LLM, first_token, start, 6200568185613813
1784081503.177214, Decode 9B pilot, Decode LLM, first_token, end, 6200569015314022
1784081517.725640, Decode 9B pilot, Decode LLM, n_generated_tokens, 256, 6200583563731654
1784081517.727232, Decode 9B pilot, Decode LLM, run, end, 6200583565313559
1784081517.727332, Decode 9B pilot, pipeline - train, run, end, 123086613528898754535448117891404939278, 1784081502.343470, 1, 1, 6200583565406552
1784081517.728573, Decode 9B pilot, pipeline - train, run, start, 292471717417123544319204855179126082994, 1784081517.728356, 1, 2, 6200583566668617
1784081517.728941, Decode 9B pilot, Mock dataloader, run, start, 6200583567031785
1784081517.729148, Decode 9B pilot, Mock dataloader, run, end, 6200583567215290
1784081517.729193, Decode 9B pilot, Decode LLM, run, start, 6200583567260970
1784081517.730237, Decode 9B pilot, Decode LLM, first_token, start, 6200583568300619
1784081517.997705, Decode 9B pilot, Decode LLM, first_token, end, 6200583835843382
1784081533.381588, Decode 9B pilot, Decode LLM, n_generated_tokens, 256, 6200599219677357
1784081533.381977, Decode 9B pilot, Decode LLM, run, end, 6200599220042046
1784081533.382132, Decode 9B pilot, pipeline - train, run, end, 292471717417123544319204855179126082994, 1784081517.728356, 1, 2, 6200599220224446
1784081533.383080, Decode 9B pilot, pipeline - train, run, start, 313021741690376538798108419364766671128, 1784081533.382560, 1, 3, 6200599221175775
1784081533.383731, Decode 9B pilot, Mock dataloader, run, start, 6200599221817600
1784081533.383860, Decode 9B pilot, Mock dataloader, run, end, 6200599221921472
1784081533.384135, Decode 9B pilot, Decode LLM, run, start, 6200599222233520
1784081533.385442, Decode 9B pilot, Decode LLM, first_token, start, 6200599223507490
1784081533.653009, Decode 9B pilot, Decode LLM, first_token, end, 6200599491142947
1784081548.457424, Decode 9B pilot, Decode LLM, n_generated_tokens, 256, 6200614295514832
1784081548.459212, Decode 9B pilot, Decode LLM, run, end, 6200614297294706
1784081548.459783, Decode 9B pilot, pipeline - train, run, end, 313021741690376538798108419364766671128, 1784081533.382560, 1, 3, 6200614297907555
1784081548.460970, Decode 9B pilot, pipeline - train, run, start, 314006347143418190762822487925037426825, 1784081548.460325, 2, 1, 6200614299064117
1784081548.461362, Decode 9B pilot, Mock dataloader, run, start, 6200614299430789
1784081548.461487, Decode 9B pilot, Mock dataloader, run, end, 6200614299548245
1784081548.461876, Decode 9B pilot, Decode LLM, run, start, 6200614299957334
1784081548.463001, Decode 9B pilot, Decode LLM, first_token, start, 6200614301067399
1784081548.731723, Decode 9B pilot, Decode LLM, first_token, end, 6200614569853183
1784081564.071326, Decode 9B pilot, Decode LLM, n_generated_tokens, 256, 6200629909417527
1784081564.071713, Decode 9B pilot, Decode LLM, run, end, 6200629909779048
1784081564.072188, Decode 9B pilot, pipeline - train, run, end, 314006347143418190762822487925037426825, 1784081548.460325, 2, 1, 6200629910309352
1784081564.073328, Decode 9B pilot, pipeline - train, run, start, 98996498177229374483421219237580904165, 1784081564.072688, 2, 2, 6200629911425241
1784081564.073763, Decode 9B pilot, Mock dataloader, run, start, 6200629911831866
1784081564.073881, Decode 9B pilot, Mock dataloader, run, end, 6200629911942778
1784081564.074840, Decode 9B pilot, Decode LLM, run, start, 6200629912954027
1784081564.076742, Decode 9B pilot, Decode LLM, first_token, start, 6200629914809757
1784081564.352380, Decode 9B pilot, Decode LLM, first_token, end, 6200630190512163
1784081579.654244, Decode 9B pilot, Decode LLM, n_generated_tokens, 256, 6200645492332719
1784081579.655725, Decode 9B pilot, Decode LLM, run, end, 6200645493807888
1784081579.656247, Decode 9B pilot, pipeline - train, run, end, 98996498177229374483421219237580904165, 1784081564.072688, 2, 2, 6200645494342065
1784081579.657270, Decode 9B pilot, pipeline - train, run, start, 207491008012999720671844481305858156992, 1784081579.656661, 2, 3, 6200645495363170
1784081579.657661, Decode 9B pilot, Mock dataloader, run, start, 6200645495730851
1784081579.657784, Decode 9B pilot, Mock dataloader, run, end, 6200645495845683
1784081579.658649, Decode 9B pilot, Decode LLM, run, start, 6200645496736004
1784081579.660356, Decode 9B pilot, Decode LLM, first_token, start, 6200645498423910
1784081579.933373, Decode 9B pilot, Decode LLM, first_token, end, 6200645771514077
1784081594.533597, Decode 9B pilot, Decode LLM, n_generated_tokens, 256, 6200660371691325
1784081594.533999, Decode 9B pilot, Decode LLM, run, end, 6200660372062493
1784081594.534251, Decode 9B pilot, pipeline - train, run, end, 207491008012999720671844481305858156992, 1784081579.656661, 2, 3, 6200660372348062
1784081594.535158, Decode 9B pilot, pipeline - train, run, start, 182521295959524956866776327321145036046, 1784081594.534725, 3, 1, 6200660373236031
1784081594.535498, Decode 9B pilot, Mock dataloader, run, start, 6200660373567311
1784081594.535616, Decode 9B pilot, Mock dataloader, run, end, 6200660373677455
1784081594.536135, Decode 9B pilot, Decode LLM, run, start, 6200660374234016
1784081594.537269, Decode 9B pilot, Decode LLM, first_token, start, 6200660375334257
