1783989770.928797, Decode 9B pilot, pipeline, prepare, start, 81640282885958
1783989770.929039, Decode 9B pilot, Mock dataloader, prepare, start, 81640283105333
1783989770.929335, Decode 9B pilot, Mock dataloader, prepare, end, 81640283405083
1783989770.929377, Decode 9B pilot, Decode LLM, prepare, start, 81640283441916
1783989774.362568, Decode 9B pilot, Decode LLM, prepare, end, 81643716620916
1783989774.362649, Decode 9B pilot, pipeline, prepare, end, 81643716692250
1783989774.362977, Decode 9B pilot, pipeline - train, run, start, 205558604132477758452850246959270381424, 1783989774.362946, 1, 1, 81643717020625
1783989774.363060, Decode 9B pilot, Mock dataloader, run, start, 81643717104625
1783989774.363125, Decode 9B pilot, Mock dataloader, run, end, 81643717166416
1783989774.363154, Decode 9B pilot, Decode LLM, run, start, 81643717195916
1783989785.952047, Decode 9B pilot, Decode LLM, run, end, 81655306019708
1783989785.952110, Decode 9B pilot, pipeline - train, run, end, 205558604132477758452850246959270381424, 1783989774.362946, 1, 1, 81655306071333
1783989785.952998, Decode 9B pilot, pipeline - train, run, start, 39007873953983361642172786084782033832, 1783989785.952976, 1, 2, 81655306964208
1783989785.953072, Decode 9B pilot, Mock dataloader, run, start, 81655307031833
1783989785.953146, Decode 9B pilot, Mock dataloader, run, end, 81655307104416
1783989785.953175, Decode 9B pilot, Decode LLM, run, start, 81655307132666
1783989796.343796, Decode 9B pilot, Decode LLM, run, end, 81665697719333
1783989796.343928, Decode 9B pilot, pipeline - train, run, end, 39007873953983361642172786084782033832, 1783989785.952976, 1, 2, 81665697823666
1783989796.344294, Decode 9B pilot, pipeline - train, run, start, 199575172245067918945487916023392627935, 1783989796.344250, 1, 3, 81665698183458
1783989796.344422, Decode 9B pilot, Mock dataloader, run, start, 81665698312333
1783989796.344525, Decode 9B pilot, Mock dataloader, run, end, 81665698410666
1783989796.344562, Decode 9B pilot, Decode LLM, run, start, 81665698449875
1783989806.750859, Decode 9B pilot, Decode LLM, run, end, 81676104684125
1783989806.750922, Decode 9B pilot, pipeline - train, run, end, 199575172245067918945487916023392627935, 1783989796.344250, 1, 3, 81676104736166
1783989806.751450, Decode 9B pilot, pipeline - train, run, start, 112201620369521777068589523453410138438, 1783989806.751428, 2, 1, 81676105263291
1783989806.751517, Decode 9B pilot, Mock dataloader, run, start, 81676105329291
1783989806.751594, Decode 9B pilot, Mock dataloader, run, end, 81676105404666
1783989806.751623, Decode 9B pilot, Decode LLM, run, start, 81676105434541
1783989817.087156, Decode 9B pilot, Decode LLM, run, end, 81686440910333
1783989817.087221, Decode 9B pilot, pipeline - train, run, end, 112201620369521777068589523453410138438, 1783989806.751428, 2, 1, 81686440961166
1783989817.087376, Decode 9B pilot, pipeline - train, run, start, 86392570797878866549585800115816695719, 1783989817.087355, 2, 2, 81686441115833
1783989817.087442, Decode 9B pilot, Mock dataloader, run, start, 81686441180625
1783989817.087519, Decode 9B pilot, Mock dataloader, run, end, 81686441256250
1783989817.087548, Decode 9B pilot, Decode LLM, run, start, 81686441286583
1783989827.427733, Decode 9B pilot, Decode LLM, run, end, 81696781410625
1783989827.427796, Decode 9B pilot, pipeline - train, run, end, 86392570797878866549585800115816695719, 1783989817.087355, 2, 2, 81696781462833
