1783984526.286039, Self-RAG Decomposed, pipeline, prepare, start, 76395666908958
1783984526.286332, Self-RAG Decomposed, Question dataloader, prepare, start, 76395667045833
1783984528.069918, Self-RAG Decomposed, Question dataloader, prepare, end, 76397450639541
1783984528.070005, Self-RAG Decomposed, Document retriever, prepare, start, 76397450710708
1783984571.333280, Self-RAG Decomposed, Document retriever, prepare, end, 76440713828875
1783984571.333397, Self-RAG Decomposed, Retrieval grader formatter, prepare, start, 76440713929875
1783984571.333621, Self-RAG Decomposed, Retrieval grader formatter, prepare, end, 76440714154333
1783984571.333646, Self-RAG Decomposed, Grader LLM, prepare, start, 76440714176500
1783984573.514407, Self-RAG Decomposed, Grader LLM, prepare, end, 76442894942541
1783984573.514571, Self-RAG Decomposed, Answer generator formatter, prepare, start, 76442895097125
1783984573.514670, Self-RAG Decomposed, Answer generator formatter, prepare, end, 76442895194500
1783984573.514694, Self-RAG Decomposed, Generator LLM, prepare, start, 76442895215958
1783984576.072671, Self-RAG Decomposed, Generator LLM, prepare, end, 76445453204541
1783984576.072959, Self-RAG Decomposed, Hallucination grader formatter, prepare, start, 76445453474666
1783984576.073092, Self-RAG Decomposed, Hallucination grader formatter, prepare, end, 76445453607583
1783984576.073121, Self-RAG Decomposed, Hallucination LLM, prepare, start, 76445453632791
1783984578.937776, Self-RAG Decomposed, Hallucination LLM, prepare, end, 76448318471083
1783984578.938126, Self-RAG Decomposed, Query rewrite formatter, prepare, start, 76448318632666
1783984578.938253, Self-RAG Decomposed, Query rewrite formatter, prepare, end, 76448318756375
1783984578.938280, Self-RAG Decomposed, Query rewrite LLM, prepare, start, 76448318780291
1783984578.938360, Self-RAG Decomposed, Query rewrite LLM, prepare, end, 76448318863791
1783984578.938454, Self-RAG Decomposed, pipeline, prepare, end, 76448318959416
1783984578.938945, Self-RAG Decomposed, pipeline - val, run, start, 165889718712252276580939781761901830693, 1783984578.938920, 1, 1, 76448319449541
1783984578.939423, Self-RAG Decomposed, Question dataloader, run, start, 76448319931375
1783984578.943589, Self-RAG Decomposed, Question dataloader, run, end, 76448324091041
1783984578.943625, Self-RAG Decomposed, Document retriever, run, start, 76448324127291
1783984579.131224, Self-RAG Decomposed, Document retriever, run, end, 76448511736875
1783984579.131285, Self-RAG Decomposed, Retrieval grader formatter, run, start, 76448511788833
1783984579.148729, Self-RAG Decomposed, Retrieval grader formatter, run, end, 76448529235250
1783984579.148766, Self-RAG Decomposed, Grader LLM, run, start, 76448529268500
1783984584.437438, Self-RAG Decomposed, Grader LLM, run, end, 76453817963000
1783984584.437616, Self-RAG Decomposed, Grade router, run, start, 76453818100041
1783984584.438015, Self-RAG Decomposed, Grade router, run, end, 76453818497291
1783984584.438076, Self-RAG Decomposed, Answer generator formatter, run, start, 76453818555583
1783984584.438608, Self-RAG Decomposed, Answer generator formatter, run, end, 76453819089666
1783984584.438656, Self-RAG Decomposed, Generator LLM, run, start, 76453819137083
1783984586.252937, Self-RAG Decomposed, Generator LLM, run, end, 76455633451583
1783984586.253051, Self-RAG Decomposed, Hallucination grader formatter, run, start, 76455633530916
1783984586.253750, Self-RAG Decomposed, Hallucination grader formatter, run, end, 76455634224375
1783984586.253803, Self-RAG Decomposed, Hallucination LLM, run, start, 76455634279541
1783984587.960436, Self-RAG Decomposed, Hallucination LLM, run, end, 76457340914958
1783984587.960553, Self-RAG Decomposed, Hallucination router, run, start, 76457341027500
1783984587.960754, Self-RAG Decomposed, Hallucination router, run, end, 76457341221083
1783984587.960797, Self-RAG Decomposed, Answer generator formatter, run, start, 76457341264166
1783984587.961071, Self-RAG Decomposed, Answer generator formatter, run, end, 76457341537916
1783984587.961101, Self-RAG Decomposed, Generator LLM, run, start, 76457341568208
1783984589.741626, Self-RAG Decomposed, Generator LLM, run, end, 76459122099125
1783984589.741696, Self-RAG Decomposed, Hallucination grader formatter, run, start, 76459122158250
