1783984833.912609, Self-RAG Monolith 4B, pipeline, prepare, start, 76703292248041
1783984833.912886, Self-RAG Monolith 4B, Question dataloader, prepare, start, 76703292373625
1783984835.836252, Self-RAG Monolith 4B, Question dataloader, prepare, end, 76705215750083
1783984835.836350, Self-RAG Monolith 4B, Document retriever, prepare, start, 76705215829250
1783984879.136715, Self-RAG Monolith 4B, Document retriever, prepare, end, 76748516046458
1783984879.136849, Self-RAG Monolith 4B, Monolith formatter, prepare, start, 76748516154958
1783984879.137075, Self-RAG Monolith 4B, Monolith formatter, prepare, end, 76748516381916
1783984879.137100, Self-RAG Monolith 4B, Monolith LLM, prepare, start, 76748516403916
1783984881.306295, Self-RAG Monolith 4B, Monolith LLM, prepare, end, 76750685604625
1783984881.306507, Self-RAG Monolith 4B, Query rewrite formatter, prepare, start, 76750685806291
1783984881.306597, Self-RAG Monolith 4B, Query rewrite formatter, prepare, end, 76750685892958
1783984881.306618, Self-RAG Monolith 4B, Query rewrite LLM, prepare, start, 76750685912958
1783984881.306686, Self-RAG Monolith 4B, Query rewrite LLM, prepare, end, 76750685982250
1783984881.306704, Self-RAG Monolith 4B, pipeline, prepare, end, 76750686001583
1783984881.306973, Self-RAG Monolith 4B, pipeline - val, run, start, 238744385452673117852518881196208302737, 1783984881.306948, 1, 1, 76750686273666
1783984881.307049, Self-RAG Monolith 4B, Question dataloader, run, start, 76750686349000
1783984881.307235, Self-RAG Monolith 4B, Question dataloader, run, end, 76750686533833
1783984881.307277, Self-RAG Monolith 4B, Document retriever, run, start, 76750686574500
1783984881.390738, Self-RAG Monolith 4B, Document retriever, run, end, 76750770049708
1783984881.390806, Self-RAG Monolith 4B, Monolith formatter, run, start, 76750770104375
1783984881.405366, Self-RAG Monolith 4B, Monolith formatter, run, end, 76750784668666
1783984881.405405, Self-RAG Monolith 4B, Monolith LLM, run, start, 76750784701333
1783984884.090080, Self-RAG Monolith 4B, Monolith LLM, run, end, 76753469387208
1783984884.090175, Self-RAG Monolith 4B, Monolith router, run, start, 76753469470083
1783984884.090402, Self-RAG Monolith 4B, Monolith router, run, end, 76753469691833
1783984884.090458, Self-RAG Monolith 4B, End stage, run, start, 76753469748666
1783984884.091683, Self-RAG Monolith 4B, End stage, run, end, 76753470973166
1783984884.091726, Self-RAG Monolith 4B, pipeline - val, run, end, 238744385452673117852518881196208302737, 1783984881.306948, 1, 1, 76753471014750
1783984884.091911, Self-RAG Monolith 4B, pipeline - val, run, start, 77124868602366479334587870378760466038, 1783984884.091880, 1, 2, 76753471199875
1783984884.091999, Self-RAG Monolith 4B, Question dataloader, run, start, 76753471288166
