1783984264.999506, Self-RAG Monolith, pipeline, prepare, start, 76134409823250
1783984264.999768, Self-RAG Monolith, Question dataloader, prepare, start, 76134409948791
1783984266.879369, Self-RAG Monolith, Question dataloader, prepare, end, 76136289572958
1783984266.879458, Self-RAG Monolith, Document retriever, prepare, start, 76136289644166
1783984310.238118, Self-RAG Monolith, Document retriever, prepare, end, 76179623550750
1783984310.238224, Self-RAG Monolith, Monolith formatter, prepare, start, 76179623639166
1783984310.238438, Self-RAG Monolith, Monolith formatter, prepare, end, 76179623854333
1783984310.238467, Self-RAG Monolith, Monolith LLM, prepare, start, 76179623879916
1783984313.604011, Self-RAG Monolith, Monolith LLM, prepare, end, 76182988688500
1783984313.605037, Self-RAG Monolith, Query rewrite formatter, prepare, start, 76182989692583
1783984313.605130, Self-RAG Monolith, Query rewrite formatter, prepare, end, 76182989781708
1783984313.605149, Self-RAG Monolith, Query rewrite LLM, prepare, start, 76182989800041
1783984313.605225, Self-RAG Monolith, Query rewrite LLM, prepare, end, 76182989877916
1783984313.605247, Self-RAG Monolith, pipeline, prepare, end, 76182989901083
1783984313.605567, Self-RAG Monolith, pipeline - val, run, start, 306995617148044553231274904248581914281, 1783984313.605543, 1, 1, 76182990222500
1783984313.605650, Self-RAG Monolith, Question dataloader, run, start, 76182990304750
1783984313.606527, Self-RAG Monolith, Question dataloader, run, end, 76182991179625
1783984313.606576, Self-RAG Monolith, Document retriever, run, start, 76182991231416
1783984313.698349, Self-RAG Monolith, Document retriever, run, end, 76183082994500
1783984313.698409, Self-RAG Monolith, Monolith formatter, run, start, 76183083045833
1783984313.713223, Self-RAG Monolith, Monolith formatter, run, end, 76183097859625
1783984313.713291, Self-RAG Monolith, Monolith LLM, run, start, 76183097922125
1783984320.053259, Self-RAG Monolith, Monolith LLM, run, end, 76189436879791
1783984320.053416, Self-RAG Monolith, Monolith router, run, start, 76189437000750
1783984320.053727, Self-RAG Monolith, Monolith router, run, end, 76189437307125
1783984320.053821, Self-RAG Monolith, End stage, run, start, 76189437398666
1783984320.055523, Self-RAG Monolith, End stage, run, end, 76189439100708
1783984320.055571, Self-RAG Monolith, pipeline - val, run, end, 306995617148044553231274904248581914281, 1783984313.605543, 1, 1, 76189439148416
1783984320.055791, Self-RAG Monolith, pipeline - val, run, start, 338635739285555629890023351258381557283, 1783984320.055750, 1, 2, 76189439372958
1783984320.055909, Self-RAG Monolith, Question dataloader, run, start, 76189439485583
1783984320.056262, Self-RAG Monolith, Question dataloader, run, end, 76189439837583
1783984320.056318, Self-RAG Monolith, Document retriever, run, start, 76189439893500
1783984320.162552, Self-RAG Monolith, Document retriever, run, end, 76189546128833
1783984320.162629, Self-RAG Monolith, Monolith formatter, run, start, 76189546191583
1783984320.162933, Self-RAG Monolith, Monolith formatter, run, end, 76189546493416
1783984320.162971, Self-RAG Monolith, Monolith LLM, run, start, 76189546530708
1783984324.730615, Self-RAG Monolith, Monolith LLM, run, end, 76194113653333
1783984324.730684, Self-RAG Monolith, Monolith router, run, start, 76194113711500
1783984324.731610, Self-RAG Monolith, Monolith router, run, end, 76194114635916
1783984324.731662, Self-RAG Monolith, End stage, run, start, 76194114690833
1783984324.732429, Self-RAG Monolith, End stage, run, end, 76194115454958
1783984324.732459, Self-RAG Monolith, pipeline - val, run, end, 338635739285555629890023351258381557283, 1783984320.055750, 1, 2, 76194115484000
1783984324.732581, Self-RAG Monolith, pipeline - val, run, start, 105053393831474215162746507859403358624, 1783984324.732563, 1, 3, 76194115605250
1783984324.732638, Self-RAG Monolith, Question dataloader, run, start, 76194115662125
1783984324.732807, Self-RAG Monolith, Question dataloader, run, end, 76194115831125
1783984324.732841, Self-RAG Monolith, Document retriever, run, start, 76194115864541
1783984324.821393, Self-RAG Monolith, Document retriever, run, end, 76194204421125
1783984324.821455, Self-RAG Monolith, Monolith formatter, run, start, 76194204473166
1783984324.821724, Self-RAG Monolith, Monolith formatter, run, end, 76194204740541
1783984324.821766, Self-RAG Monolith, Monolith LLM, run, start, 76194204783916
1783984329.343223, Self-RAG Monolith, Monolith LLM, run, end, 76198725852708
1783984329.343290, Self-RAG Monolith, Monolith router, run, start, 76198725910541
1783984329.343448, Self-RAG Monolith, Monolith router, run, end, 76198726066875
1783984329.343493, Self-RAG Monolith, End stage, run, start, 76198726111375
1783984329.344323, Self-RAG Monolith, End stage, run, end, 76198726941541
1783984329.344355, Self-RAG Monolith, pipeline - val, run, end, 105053393831474215162746507859403358624, 1783984324.732563, 1, 3, 76198726973041
1783984329.344475, Self-RAG Monolith, pipeline - val, run, start, 256624384803529302351027508693741559287, 1783984329.344457, 1, 4, 76198727092291
1783984329.344535, Self-RAG Monolith, Question dataloader, run, start, 76198727151791
