1783985039.271338, Self-RAG Decomposed-Shared, pipeline, prepare, start, 76908650151291
1783985039.271612, Self-RAG Decomposed-Shared, Question dataloader, prepare, start, 76908650280875
1783985041.087092, Self-RAG Decomposed-Shared, Question dataloader, prepare, end, 76910465766833
1783985041.087170, Self-RAG Decomposed-Shared, Document retriever, prepare, start, 76910465830500
1783985084.302464, Self-RAG Decomposed-Shared, Document retriever, prepare, end, 76953680974333
1783985084.302583, Self-RAG Decomposed-Shared, Retrieval grader formatter, prepare, start, 76953681070916
1783985084.302791, Self-RAG Decomposed-Shared, Retrieval grader formatter, prepare, end, 76953681283666
1783985084.302829, Self-RAG Decomposed-Shared, Shared LLM (grade), prepare, start, 76953681315875
1783985086.186732, Self-RAG Decomposed-Shared, Shared LLM (grade), prepare, end, 76955565224625
1783985086.186911, Self-RAG Decomposed-Shared, Answer generator formatter, prepare, start, 76955565395791
1783985086.187024, Self-RAG Decomposed-Shared, Answer generator formatter, prepare, end, 76955565506166
1783985086.187050, Self-RAG Decomposed-Shared, Shared LLM (generate), prepare, start, 76955565529500
1783985086.187122, Self-RAG Decomposed-Shared, Shared LLM (generate), prepare, end, 76955565602250
1783985086.187143, Self-RAG Decomposed-Shared, Hallucination grader formatter, prepare, start, 76955565622083
1783985086.187209, Self-RAG Decomposed-Shared, Hallucination grader formatter, prepare, end, 76955565689208
1783985086.187228, Self-RAG Decomposed-Shared, Shared LLM (hallucination), prepare, start, 76955565707625
1783985086.187291, Self-RAG Decomposed-Shared, Shared LLM (hallucination), prepare, end, 76955565770958
1783985086.187361, Self-RAG Decomposed-Shared, Query rewrite formatter, prepare, start, 76955565840666
1783985086.187427, Self-RAG Decomposed-Shared, Query rewrite formatter, prepare, end, 76955565906708
1783985086.187442, Self-RAG Decomposed-Shared, Shared LLM (rewrite), prepare, start, 76955565920416
1783985086.187501, Self-RAG Decomposed-Shared, Shared LLM (rewrite), prepare, end, 76955565980958
1783985086.187577, Self-RAG Decomposed-Shared, pipeline, prepare, end, 76955566059291
1783985086.187833, Self-RAG Decomposed-Shared, pipeline - val, run, start, 198445514784631372841238260883309003549, 1783985086.187808, 1, 1, 76955566316375
1783985086.187910, Self-RAG Decomposed-Shared, Question dataloader, run, start, 76955566393166
1783985086.188087, Self-RAG Decomposed-Shared, Question dataloader, run, end, 76955566568625
1783985086.188143, Self-RAG Decomposed-Shared, Document retriever, run, start, 76955566622583
1783985086.271484, Self-RAG Decomposed-Shared, Document retriever, run, end, 76955649976458
1783985086.271546, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 76955650028625
1783985086.285767, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 76955664253750
1783985086.285810, Self-RAG Decomposed-Shared, Shared LLM (grade), run, start, 76955664290041
1783985088.042126, Self-RAG Decomposed-Shared, Shared LLM (grade), run, end, 76957420613041
1783985088.042195, Self-RAG Decomposed-Shared, Grade router, run, start, 76957420671708
