1783985733.643517, Self-RAG Decomposed (multi-hop), pipeline, prepare, start, 77603019560333
1783985733.643809, Self-RAG Decomposed (multi-hop), Question dataloader, prepare, start, 77603019710416
1783985735.649397, Self-RAG Decomposed (multi-hop), Question dataloader, prepare, end, 77605025308458
1783985735.649485, Self-RAG Decomposed (multi-hop), Document retriever, prepare, start, 77605025377541
1783985776.137691, Self-RAG Decomposed (multi-hop), Document retriever, prepare, end, 77645513443208
1783985776.137778, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, prepare, start, 77645513509875
1783985776.137995, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, prepare, end, 77645513731083
1783985776.138033, Self-RAG Decomposed (multi-hop), Grader LLM, prepare, start, 77645513763916
1783985778.347440, Self-RAG Decomposed (multi-hop), Grader LLM, prepare, end, 77647723175208
1783985778.347597, Self-RAG Decomposed (multi-hop), Answer generator formatter, prepare, start, 77647723321541
1783985778.347698, Self-RAG Decomposed (multi-hop), Answer generator formatter, prepare, end, 77647723421708
1783985778.347724, Self-RAG Decomposed (multi-hop), Generator LLM, prepare, start, 77647723444625
1783985780.671419, Self-RAG Decomposed (multi-hop), Generator LLM, prepare, end, 77650047323916
1783985780.671806, Self-RAG Decomposed (multi-hop), Hallucination grader formatter, prepare, start, 77650047520291
1783985780.671945, Self-RAG Decomposed (multi-hop), Hallucination grader formatter, prepare, end, 77650047661541
1783985780.671980, Self-RAG Decomposed (multi-hop), Hallucination LLM, prepare, start, 77650047692250
1783985783.540159, Self-RAG Decomposed (multi-hop), Hallucination LLM, prepare, end, 77652915872625
1783985783.540318, Self-RAG Decomposed (multi-hop), Query rewrite formatter, prepare, start, 77652916020458
1783985783.540410, Self-RAG Decomposed (multi-hop), Query rewrite formatter, prepare, end, 77652916111375
1783985783.540430, Self-RAG Decomposed (multi-hop), Query rewrite LLM, prepare, start, 77652916130250
1783985783.540496, Self-RAG Decomposed (multi-hop), Query rewrite LLM, prepare, end, 77652916197000
1783985783.540579, Self-RAG Decomposed (multi-hop), pipeline, prepare, end, 77652916283250
1783985783.541168, Self-RAG Decomposed (multi-hop), pipeline - val, run, start, 290201680595333815550769629247170912886, 1783985783.541143, 1, 1, 77652916872125
