1783985333.220778, Self-RAG Monolith (multi-hop), pipeline, prepare, start, 77202598415291
1783985333.221058, Self-RAG Monolith (multi-hop), Question dataloader, prepare, start, 77202598556416
1783985335.688402, Self-RAG Monolith (multi-hop), Question dataloader, prepare, end, 77205065929666
1783985335.688536, Self-RAG Monolith (multi-hop), Document retriever, prepare, start, 77205066024791
1783985376.178126, Self-RAG Monolith (multi-hop), Document retriever, prepare, end, 77245555469583
1783985376.178245, Self-RAG Monolith (multi-hop), Monolith formatter, prepare, start, 77245555570958
1783985376.178461, Self-RAG Monolith (multi-hop), Monolith formatter, prepare, end, 77245555787625
1783985376.178491, Self-RAG Monolith (multi-hop), Monolith LLM, prepare, start, 77245555814125
1783985379.368634, Self-RAG Monolith (multi-hop), Monolith LLM, prepare, end, 77248745959333
1783985379.369653, Self-RAG Monolith (multi-hop), Query rewrite formatter, prepare, start, 77248746968041
1783985379.369747, Self-RAG Monolith (multi-hop), Query rewrite formatter, prepare, end, 77248747058416
1783985379.369766, Self-RAG Monolith (multi-hop), Query rewrite LLM, prepare, start, 77248747076750
1783985379.369847, Self-RAG Monolith (multi-hop), Query rewrite LLM, prepare, end, 77248747164333
1783985379.369882, Self-RAG Monolith (multi-hop), pipeline, prepare, end, 77248747196291
1783985379.370179, Self-RAG Monolith (multi-hop), pipeline - val, run, start, 50874393050411949744795503598720215564, 1783985379.370152, 1, 1, 77248747493333
1783985379.370266, Self-RAG Monolith (multi-hop), Question dataloader, run, start, 77248747578291
1783985379.370501, Self-RAG Monolith (multi-hop), Question dataloader, run, end, 77248747813875
1783985379.370560, Self-RAG Monolith (multi-hop), Document retriever, run, start, 77248747872500
1783985379.459592, Self-RAG Monolith (multi-hop), Document retriever, run, end, 77248836915500
1783985379.459650, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 77248836964375
1783985379.473845, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 77248851164375
1783985379.473889, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 77248851201958
1783985385.482660, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 77254860016250
1783985385.482854, Self-RAG Monolith (multi-hop), Monolith router, run, start, 77254860153791
1783985385.483198, Self-RAG Monolith (multi-hop), Monolith router, run, end, 77254860492208
1783985385.483269, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, start, 77254860562458
1783985385.484016, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, end, 77254861308125
1783985385.484071, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, start, 77254861362708
1783985388.689739, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, end, 77258067029916
1783985388.689835, Self-RAG Monolith (multi-hop), Document retriever, run, start, 77258067115041
1783985388.780678, Self-RAG Monolith (multi-hop), Document retriever, run, end, 77258157966958
1783985388.780745, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 77258158024291
1783985388.781039, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 77258158316708
1783985388.781083, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 77258158363125
1783985395.875831, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 77265253094458
1783985395.875911, Self-RAG Monolith (multi-hop), Monolith router, run, start, 77265253160791
1783985395.876432, Self-RAG Monolith (multi-hop), Monolith router, run, end, 77265253681125
1783985395.876484, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, start, 77265253730250
1783985395.876794, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, end, 77265254042083
1783985395.876826, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, start, 77265254072541
1783985400.821982, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, end, 77270199222583
1783985400.822055, Self-RAG Monolith (multi-hop), Document retriever, run, start, 77270199285208
1783985400.909207, Self-RAG Monolith (multi-hop), Document retriever, run, end, 77270286445958
1783985400.909271, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 77270286499833
1783985400.909555, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 77270286783500
1783985400.909589, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 77270286817083
1783985409.024332, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 77278401540500
1783985409.024398, Self-RAG Monolith (multi-hop), Monolith router, run, start, 77278401595375
1783985409.025385, Self-RAG Monolith (multi-hop), Monolith router, run, end, 77278402582208
1783985409.025442, Self-RAG Monolith (multi-hop), End stage, run, start, 77278402636541
1783985409.026244, Self-RAG Monolith (multi-hop), End stage, run, end, 77278403440000
1783985409.026281, Self-RAG Monolith (multi-hop), pipeline - val, run, end, 50874393050411949744795503598720215564, 1783985379.370152, 1, 1, 77278403476791
1783985409.026427, Self-RAG Monolith (multi-hop), pipeline - val, run, start, 258334908420890185687285102367592864148, 1783985409.026402, 1, 2, 77278403624291
1783985409.026498, Self-RAG Monolith (multi-hop), Question dataloader, run, start, 77278403691458
1783985409.026963, Self-RAG Monolith (multi-hop), Question dataloader, run, end, 77278404158250
1783985409.027005, Self-RAG Monolith (multi-hop), Document retriever, run, start, 77278404199916
1783985409.112277, Self-RAG Monolith (multi-hop), Document retriever, run, end, 77278489481416
1783985409.112334, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 77278489530541
1783985409.112588, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 77278489783333
1783985409.112619, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 77278489813541
1783985414.186532, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 77283563721583
1783985414.186602, Self-RAG Monolith (multi-hop), Monolith router, run, start, 77283563779333
1783985414.186745, Self-RAG Monolith (multi-hop), Monolith router, run, end, 77283563921000
1783985414.186779, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, start, 77283563953791
1783985414.187099, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, end, 77283564273500
1783985414.187131, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, start, 77283564305458
1783985417.745882, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, end, 77287123055458
1783985417.745962, Self-RAG Monolith (multi-hop), Document retriever, run, start, 77287123124458
1783985417.831348, Self-RAG Monolith (multi-hop), Document retriever, run, end, 77287208520916
1783985417.831418, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 77287208580000
1783985417.831721, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 77287208882916
1783985417.831758, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 77287208918375
1783985426.264508, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 77295641647666
1783985426.264576, Self-RAG Monolith (multi-hop), Monolith router, run, start, 77295641704541
1783985426.265055, Self-RAG Monolith (multi-hop), Monolith router, run, end, 77295642182958
1783985426.265088, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, start, 77295642214083
1783985426.265476, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, end, 77295642602791
1783985426.265514, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, start, 77295642643791
1783985432.106857, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, end, 77301483976541
1783985432.106944, Self-RAG Monolith (multi-hop), Document retriever, run, start, 77301484049458
1783985432.190778, Self-RAG Monolith (multi-hop), Document retriever, run, end, 77301567892500
1783985432.190843, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 77301567948041
1783985432.191150, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 77301568254125
1783985432.191186, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 77301568288291
1783985440.605073, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 77309982155791
1783985440.605144, Self-RAG Monolith (multi-hop), Monolith router, run, start, 77309982216083
1783985440.606884, Self-RAG Monolith (multi-hop), Monolith router, run, end, 77309983954500
1783985440.606935, Self-RAG Monolith (multi-hop), End stage, run, start, 77309984004291
1783985440.608025, Self-RAG Monolith (multi-hop), End stage, run, end, 77309985094833
1783985440.608056, Self-RAG Monolith (multi-hop), pipeline - val, run, end, 258334908420890185687285102367592864148, 1783985409.026402, 1, 2, 77309985124958
1783985440.608179, Self-RAG Monolith (multi-hop), pipeline - val, run, start, 271689028702846046637214915702774956676, 1783985440.608156, 1, 3, 77309985247541
1783985440.608238, Self-RAG Monolith (multi-hop), Question dataloader, run, start, 77309985306875
1783985440.608563, Self-RAG Monolith (multi-hop), Question dataloader, run, end, 77309985631125
1783985440.608600, Self-RAG Monolith (multi-hop), Document retriever, run, start, 77309985668166
1783985440.695959, Self-RAG Monolith (multi-hop), Document retriever, run, end, 77310073040291
1783985440.696022, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 77310073092041
1783985440.696314, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 77310073384708
1783985440.696346, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 77310073414958
1783985447.144789, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 77316521847875
1783985447.144860, Self-RAG Monolith (multi-hop), Monolith router, run, start, 77316521905583
1783985447.145000, Self-RAG Monolith (multi-hop), Monolith router, run, end, 77316522043791
