1784081766.421304, ResNet50-v1.5 inference, pipeline, prepare, start, 6200832259532490
1784081766.421562, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, prepare, start, 6200832259624922
1784081772.884310, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, prepare, end, 6200838722398345
1784081772.884407, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, prepare, start, 6200838722468457
1784081772.885364, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, prepare, end, 6200838723427162
1784081772.885387, ResNet50-v1.5 inference, ResNet50 inference, prepare, start, 6200838723447210
1784081773.335605, ResNet50-v1.5 inference, ResNet50 inference, prepare, end, 6200839173692843
1784081773.335703, ResNet50-v1.5 inference, pipeline, prepare, end, 6200839173771227
1784081773.336928, ResNet50-v1.5 inference, pipeline - val, run, start, 38529760834817818781372690074616370284, 1784081773.336770, 1, 1, 6200839175033229
1784081773.337218, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839175300349
1784081773.350993, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839189058592
1784081773.351058, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839189134832
1784081773.354180, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839192251156
1784081773.354271, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839192355701
1784081773.643876, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839481963078
1784081773.644222, ResNet50-v1.5 inference, pipeline - val, run, end, 38529760834817818781372690074616370284, 1784081773.336770, 1, 1, 6200839482320423
1784081773.644831, ResNet50-v1.5 inference, pipeline - val, run, start, 161442721271040853454097484062590057587, 1784081773.644675, 1, 2, 6200839482907991
1784081773.645035, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839483100920
1784081773.648067, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839486132268
1784081773.648138, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839486213852
1784081773.649537, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839487601326
1784081773.649580, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839487647102
1784081773.653086, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839491151379
1784081773.653145, ResNet50-v1.5 inference, pipeline - val, run, end, 161442721271040853454097484062590057587, 1784081773.644675, 1, 2, 6200839491224371
1784081773.653510, ResNet50-v1.5 inference, pipeline - val, run, start, 127372006002276861304944342157445606103, 1784081773.653461, 1, 3, 6200839491579252
1784081773.653638, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839491704740
1784081773.655446, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839493508614
1784081773.655502, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839493577110
1784081773.656447, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839494511272
1784081773.656488, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839494555560
1784081773.659454, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839497517980
1784081773.659501, ResNet50-v1.5 inference, pipeline - val, run, end, 127372006002276861304944342157445606103, 1784081773.653461, 1, 3, 6200839497573500
1784081773.659819, ResNet50-v1.5 inference, pipeline - val, run, start, 286085097166773649235562125446581216750, 1784081773.659775, 1, 4, 6200839497888188
1784081773.659950, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839498016045
1784081773.660679, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839498742125
1784081773.660713, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839498780686
1784081773.661378, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839499440366
