1783998801.904792, ResNet50-v1.5 inference, pipeline, prepare, start, 90671325734291
1783998801.905001, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, prepare, start, 90671325829166
1783998809.954228, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, prepare, end, 90679375086166
1783998809.954310, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, prepare, start, 90679375150833
1783998809.954673, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, prepare, end, 90679375513833
1783998809.954695, ResNet50-v1.5 inference, ResNet50 inference, prepare, start, 90679375534500
1783998830.234760, ResNet50-v1.5 inference, ResNet50 inference, prepare, end, 90699655683958
1783998830.234908, ResNet50-v1.5 inference, pipeline, prepare, end, 90699655787916
1783998830.235852, ResNet50-v1.5 inference, pipeline - val, run, start, 104099587243192456479178347725096594637, 1783998830.235794, 1, 1, 90699656736666
1783998830.235996, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90699656872583
1783998830.238221, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90699659098666
1783998830.238268, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90699659145583
1783998830.239623, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90699660506333
1783998830.239705, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90699660586458
1783998831.702689, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701123584416
1783998831.702754, ResNet50-v1.5 inference, pipeline - val, run, end, 104099587243192456479178347725096594637, 1783998830.235794, 1, 1, 90701123635166
1783998831.702927, ResNet50-v1.5 inference, pipeline - val, run, start, 143922464496788971629990566311783853132, 1783998831.702903, 1, 2, 90701123806833
1783998831.702998, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701123875958
1783998831.703856, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701124735458
1783998831.703885, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701124763666
1783998831.704572, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701125449791
1783998831.704614, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701125491958
1783998831.722125, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701143014291
1783998831.722179, ResNet50-v1.5 inference, pipeline - val, run, end, 143922464496788971629990566311783853132, 1783998831.702903, 1, 2, 90701143058000
1783998831.722327, ResNet50-v1.5 inference, pipeline - val, run, start, 210826440878729640840378212331578942894, 1783998831.722304, 1, 3, 90701143205375
1783998831.722401, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701143280291
1783998831.723161, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701144041666
1783998831.723197, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701144075291
1783998831.724113, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701144991000
1783998831.724167, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701145043875
1783998831.736482, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701157369291
1783998831.736539, ResNet50-v1.5 inference, pipeline - val, run, end, 210826440878729640840378212331578942894, 1783998831.722304, 1, 3, 90701157419250
1783998831.736696, ResNet50-v1.5 inference, pipeline - val, run, start, 166745499502180582880790603524997579512, 1783998831.736673, 1, 4, 90701157574708
1783998831.736758, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701157636166
1783998831.737440, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701158318375
1783998831.737472, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701158350208
1783998831.738273, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701159151583
1783998831.738311, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701159187583
1783998831.749443, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701170336958
1783998831.749508, ResNet50-v1.5 inference, pipeline - val, run, end, 166745499502180582880790603524997579512, 1783998831.736673, 1, 4, 90701170389166
1783998831.749670, ResNet50-v1.5 inference, pipeline - val, run, start, 294346561163966824883465332936876020359, 1783998831.749648, 1, 5, 90701170549250
1783998831.749730, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701170608250
1783998831.750402, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701171282041
1783998831.750443, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701171321416
1783998831.751250, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701172136041
1783998831.751311, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701172192750
1783998831.761866, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701182752291
1783998831.761913, ResNet50-v1.5 inference, pipeline - val, run, end, 294346561163966824883465332936876020359, 1783998831.749648, 1, 5, 90701182790791
1783998831.762043, ResNet50-v1.5 inference, pipeline - val, run, start, 235244948252591897574283567648209741327, 1783998831.762024, 1, 6, 90701182921833
1783998831.762099, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701182976333
1783998831.762969, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701183848250
1783998831.762999, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701183876625
1783998831.763758, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701184636458
1783998831.763802, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701184678791
1783998831.773599, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701194487208
1783998831.773652, ResNet50-v1.5 inference, pipeline - val, run, end, 235244948252591897574283567648209741327, 1783998831.762024, 1, 6, 90701194531250
1783998831.773798, ResNet50-v1.5 inference, pipeline - val, run, start, 200856145300419890868153532897106736356, 1783998831.773779, 1, 7, 90701194677208
1783998831.773859, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701194737166
1783998831.774318, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701195197375
