1784008663.102703, EfficientNetv2 S Imagenette inference, pipeline, prepare, start, 6127728940907807
1784008663.102942, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, prepare, start, 6127728941008495
1784008667.830230, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, prepare, end, 6127733668314250
1784008667.830326, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, prepare, start, 6127733668387178
1784008667.831329, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, prepare, end, 6127733669391405
1784008667.831352, EfficientNetv2 S Imagenette inference, EfficientNet inference, prepare, start, 6127733669412605
1784008668.210664, EfficientNetv2 S Imagenette inference, EfficientNet inference, prepare, end, 6127734048747350
1784008668.210759, EfficientNetv2 S Imagenette inference, pipeline, prepare, end, 6127734048826071
1784008668.212017, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 257872074887989382583094853391920989835, 1784008668.211869, 1, 1, 6127734050105354
1784008668.212296, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127734050376555
1784008668.272901, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127734110992674
1784008668.273072, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127734111160995
1784008668.337969, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127734176066582
1784008668.338130, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127734176217463
1784008669.037920, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127734876006998
1784008669.038624, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 257872074887989382583094853391920989835, 1784008668.211869, 1, 1, 6127734876744184
1784008669.039430, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 263013036252894928611017531739686861783, 1784008669.039284, 1, 2, 6127734877505386
1784008669.039716, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127734877790763
1784008669.076206, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127734914296736
1784008669.076329, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127734914406000
1784008669.137371, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127734975462697
1784008669.138002, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127734976086571
1784008669.472787, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127735310872152
1784008669.473323, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 263013036252894928611017531739686861783, 1784008669.039284, 1, 2, 6127735311443274
