1783998704.098433, EfficientNetv2 S Imagenette inference, pipeline, prepare, start, 90573519200166
1783998704.098654, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, prepare, start, 90573519321041
1783998720.936886, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, prepare, end, 90590357686875
1783998720.937333, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, prepare, start, 90590358029791
1783998720.940932, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, prepare, end, 90590361631833
1783998720.940992, EfficientNetv2 S Imagenette inference, EfficientNet inference, prepare, start, 90590361684916
1783998721.387615, EfficientNetv2 S Imagenette inference, EfficientNet inference, prepare, end, 90590808327000
1783998721.387710, EfficientNetv2 S Imagenette inference, pipeline, prepare, end, 90590808409208
1783998721.388306, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 106886922903185597201205175897647949329, 1783998721.388260, 1, 1, 90590809006541
1783998721.388431, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90590809126958
1783998721.484567, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90590905276125
1783998721.484650, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90590905354458
1783998721.566922, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90590987631541
1783998721.566997, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90590987694750
1783998723.062936, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90592483954416
1783998723.063529, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 106886922903185597201205175897647949329, 1783998721.388260, 1, 1, 90592484234333
1783998723.063993, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 197019716666001726406013227838719345468, 1783998723.063930, 1, 2, 90592484699000
1783998723.064161, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90592484859416
1783998723.131740, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90592552449875
1783998723.131800, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90592552501500
1783998723.206247, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90592626957916
1783998723.216509, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90592637216125
1783998724.045520, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90593466276833
1783998724.045692, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 197019716666001726406013227838719345468, 1783998723.063930, 1, 2, 90593466406083
1783998724.046384, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 109024659473908993205371155478445387819, 1783998724.046251, 1, 3, 90593467101000
1783998724.046680, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90593467393166
1783998724.119084, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90593539798083
1783998724.119151, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90593539852583
1783998724.178786, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90593599499583
1783998724.187519, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90593608228291
1783998724.762216, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90594182963666
1783998724.762377, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 109024659473908993205371155478445387819, 1783998724.046251, 1, 3, 90594183100666
1783998724.763040, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 74532241637569811677737016362377009251, 1783998724.762956, 1, 4, 90594183758083
1783998724.763305, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90594184025583
1783998724.813529, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90594234243541
1783998724.813592, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90594234296083
1783998724.873427, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90594294139375
1783998724.874578, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90594295281416
1783998725.454623, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90594875344041
1783998725.454714, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 74532241637569811677737016362377009251, 1783998724.762956, 1, 4, 90594875427208
1783998725.455034, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 134510031564060039745638329211271301686, 1783998725.454995, 1, 5, 90594875746333
1783998725.455162, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90594875867583
1783998725.548004, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90594968723333
1783998725.548071, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90594968775916
1783998725.606442, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90595027155541
1783998725.607588, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90595028292541
1783998726.182026, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90595602743708
