1784081928.875536, BG indexer pilot, pipeline, prepare, start, 6200994713613870
1784081928.875644, BG indexer pilot, Corpus chunk loader (shard 0/1), prepare, start, 6200994713706350
1784081930.152760, BG indexer pilot, Corpus chunk loader (shard 0/1), prepare, end, 6200995990835827
1784081930.152829, BG indexer pilot, Embed passages, prepare, start, 6200995990889828
1784081931.713210, BG indexer pilot, Embed passages, prepare, end, 6200997551290928
1784081931.713301, BG indexer pilot, Chroma indexer, prepare, start, 6200997551362161
1784081931.745517, BG indexer pilot, Chroma indexer, prepare, end, 6200997583587617
1784081931.745568, BG indexer pilot, pipeline, prepare, end, 6200997583632113
1784081931.746400, BG indexer pilot, pipeline - passages, run, start, 281576290478475117255042445257051992519, 1784081931.746340, 1, 1, 6200997584471122
1784081931.746564, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200997584648674
1784081931.746735, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200997584796995
1784081931.746781, BG indexer pilot, Embed passages, run, start, 6200997584852307
1784081932.087433, BG indexer pilot, Embed passages, run, end, 6200997925521504
1784081932.088237, BG indexer pilot, Chroma indexer, run, start, 6200997926362914
1784081932.105861, BG indexer pilot, Chroma indexer, run, end, 6200997943929612
1784081932.106004, BG indexer pilot, pipeline - passages, run, end, 281576290478475117255042445257051992519, 1784081931.746340, 1, 1, 6200997944086652
1784081932.106361, BG indexer pilot, pipeline - passages, run, start, 331361397325316256564779477582441116786, 1784081932.106263, 1, 2, 6200997944442989
1784081932.106579, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200997944653517
1784081932.106719, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200997944781789
1784081932.106855, BG indexer pilot, Embed passages, run, start, 6200997944932045
1784081932.139029, BG indexer pilot, Embed passages, run, end, 6200997977110942
1784081932.139410, BG indexer pilot, Chroma indexer, run, start, 6200997977498366
1784081932.154459, BG indexer pilot, Chroma indexer, run, end, 6200997992540101
1784081932.154553, BG indexer pilot, pipeline - passages, run, end, 331361397325316256564779477582441116786, 1784081932.106263, 1, 2, 6200997992625925
1784081932.155117, BG indexer pilot, pipeline - passages, run, start, 114229860946620002164591971163858336364, 1784081932.155042, 1, 3, 6200997993193958
1784081932.155391, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200997993473574
1784081932.155573, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200997993634662
1784081932.155723, BG indexer pilot, Embed passages, run, start, 6200997993804455
1784081932.189173, BG indexer pilot, Embed passages, run, end, 6200998027260937
1784081932.189454, BG indexer pilot, Chroma indexer, run, start, 6200998027553177
1784081932.204103, BG indexer pilot, Chroma indexer, run, end, 6200998042172463
1784081932.204202, BG indexer pilot, pipeline - passages, run, end, 114229860946620002164591971163858336364, 1784081932.155042, 1, 3, 6200998042272767
1784081932.204590, BG indexer pilot, pipeline - passages, run, start, 75174561216427162088216578034767937691, 1784081932.204519, 1, 4, 6200998042664592
1784081932.204762, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998042840640
1784081932.204914, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998042976112
1784081932.204979, BG indexer pilot, Embed passages, run, start, 6200998043061696
1784081932.226890, BG indexer pilot, Embed passages, run, end, 6200998064964033
1784081932.227008, BG indexer pilot, Chroma indexer, run, start, 6200998065083489
1784081932.245033, BG indexer pilot, Chroma indexer, run, end, 6200998083102348
1784081932.245131, BG indexer pilot, pipeline - passages, run, end, 75174561216427162088216578034767937691, 1784081932.204519, 1, 4, 6200998083205276
1784081932.245537, BG indexer pilot, pipeline - passages, run, start, 137443841826228668040127254132682997890, 1784081932.245456, 1, 5, 6200998083613613
1784081932.245754, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998083840205
1784081932.245929, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998083991022
1784081932.245985, BG indexer pilot, Embed passages, run, start, 6200998084057838
1784081932.264316, BG indexer pilot, Embed passages, run, end, 6200998102405337
1784081932.264542, BG indexer pilot, Chroma indexer, run, start, 6200998102634442
1784081932.280195, BG indexer pilot, Chroma indexer, run, end, 6200998118265537
1784081932.280248, BG indexer pilot, pipeline - passages, run, end, 137443841826228668040127254132682997890, 1784081932.245456, 1, 5, 6200998118318001
1784081932.280493, BG indexer pilot, pipeline - passages, run, start, 197951297550420291993866766107773041956, 1784081932.280448, 1, 6, 6200998118564593
1784081932.280745, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998118828930
1784081932.280931, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998118992562
1784081932.281076, BG indexer pilot, Embed passages, run, start, 6200998119157682
1784081932.297155, BG indexer pilot, Embed passages, run, end, 6200998135237802
1784081932.297394, BG indexer pilot, Chroma indexer, run, start, 6200998135486635
1784081932.316076, BG indexer pilot, Chroma indexer, run, end, 6200998154145415
1784081932.316128, BG indexer pilot, pipeline - passages, run, end, 197951297550420291993866766107773041956, 1784081932.280448, 1, 6, 6200998154198647
1784081932.316367, BG indexer pilot, pipeline - passages, run, start, 3933553546806195611128625920016867242, 1784081932.316324, 1, 7, 6200998154439495
1784081932.316546, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998154629367
1784081932.316728, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998154789496
1784081932.316878, BG indexer pilot, Embed passages, run, start, 6200998154959688
1784081932.351599, BG indexer pilot, Embed passages, run, end, 6200998189687692
1784081932.351853, BG indexer pilot, Chroma indexer, run, start, 6200998189949868
1784081932.369187, BG indexer pilot, Chroma indexer, run, end, 6200998207272806
1784081932.369294, BG indexer pilot, pipeline - passages, run, end, 3933553546806195611128625920016867242, 1784081932.316324, 1, 7, 6200998207372406
1784081932.369684, BG indexer pilot, pipeline - passages, run, start, 221392371790413977801295465426316099760, 1784081932.369635, 1, 8, 6200998207758423
1784081932.369835, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998207909543
1784081932.369978, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998208040087
1784081932.370079, BG indexer pilot, Embed passages, run, start, 6200998208150296
1784081932.404937, BG indexer pilot, Embed passages, run, end, 6200998243064076
1784081932.405417, BG indexer pilot, Chroma indexer, run, start, 6200998243523228
1784081932.432194, BG indexer pilot, Chroma indexer, run, end, 6200998270272053
1784081932.432303, BG indexer pilot, pipeline - passages, run, end, 221392371790413977801295465426316099760, 1784081932.369635, 1, 8, 6200998270390949
1784081932.432686, BG indexer pilot, pipeline - passages, run, start, 328198145880212689405072941244351976391, 1784081932.432635, 1, 9, 6200998270760437
1784081932.432929, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998271010678
1784081932.433074, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998271135750
1784081932.433114, BG indexer pilot, Embed passages, run, start, 6200998271187366
1784081932.465236, BG indexer pilot, Embed passages, run, end, 6200998303324086
1784081932.465484, BG indexer pilot, Chroma indexer, run, start, 6200998303585766
1784081932.486991, BG indexer pilot, Chroma indexer, run, end, 6200998325069127
