1784008730.481030, BG indexer pilot, pipeline, prepare, start, 100599841147541
1784008730.481277, BG indexer pilot, Corpus chunk loader (shard 0/1), prepare, start, 100599841378416
1784008732.894547, BG indexer pilot, Corpus chunk loader (shard 0/1), prepare, end, 100602254653000
1784008732.894693, BG indexer pilot, Embed passages, prepare, start, 100602254773250
1784008756.742859, BG indexer pilot, Embed passages, prepare, end, 100626102794291
1784008756.743747, BG indexer pilot, Chroma indexer, prepare, start, 100626103659708
1784008757.628616, BG indexer pilot, Chroma indexer, prepare, end, 100626988539000
1784008757.628703, BG indexer pilot, pipeline, prepare, end, 100626988615208
1784008757.629094, BG indexer pilot, pipeline - passages, run, start, 84752004403413279955809646460423837990, 1784008757.629063, 1, 1, 100626989005541
1784008757.629201, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 100626989110666
1784012437.954094, BG indexer pilot, pipeline, prepare, start, 104307295459000
1784012437.954189, BG indexer pilot, Corpus chunk loader (shard 0/1), prepare, start, 104307295541458
1784012440.360142, BG indexer pilot, Corpus chunk loader (shard 0/1), prepare, end, 104309701511958
1784012440.360298, BG indexer pilot, Embed passages, prepare, start, 104309701643458
1784012442.213787, BG indexer pilot, Embed passages, prepare, end, 104311555146833
1784012442.213881, BG indexer pilot, Chroma indexer, prepare, start, 104311555219458
1784012442.296551, BG indexer pilot, Chroma indexer, prepare, end, 104311637896791
1784012442.296606, BG indexer pilot, pipeline, prepare, end, 104311637947500
1784012442.296912, BG indexer pilot, pipeline - passages, run, start, 59256420512296575082076888591461894905, 1784012442.296888, 1, 1, 104311638254375
1784012442.296991, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 104311638329791
1784016626.935519, BG indexer pilot, pipeline, prepare, start, 108496305390708
1784016626.935596, BG indexer pilot, Corpus chunk loader (shard 0/1), prepare, start, 108496305455541
1784016628.596442, BG indexer pilot, Corpus chunk loader (shard 0/1), prepare, end, 108497966415833
1784016628.596743, BG indexer pilot, Embed passages, prepare, start, 108497966608666
1784016630.073351, BG indexer pilot, Embed passages, prepare, end, 108499443237500
1784016630.073434, BG indexer pilot, Chroma indexer, prepare, start, 108499443303208
1784016630.114322, BG indexer pilot, Chroma indexer, prepare, end, 108499484202541
1784016630.114383, BG indexer pilot, pipeline, prepare, end, 108499484254041
1784016630.114721, BG indexer pilot, pipeline - passages, run, start, 244331670129735952323737057631265014539, 1784016630.114693, 1, 1, 108499484596541
1784016630.114820, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108499484693666
1784016630.114903, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108499484773375
1784016630.114933, BG indexer pilot, Embed passages, run, start, 108499484803250
1784016630.418326, BG indexer pilot, Embed passages, run, end, 108499788211791
1784016630.418406, BG indexer pilot, Chroma indexer, run, start, 108499788287416
1784016630.430453, BG indexer pilot, Chroma indexer, run, end, 108499800332791
1784016630.430514, BG indexer pilot, pipeline - passages, run, end, 244331670129735952323737057631265014539, 1784016630.114693, 1, 1, 108499800389750
1784016630.430721, BG indexer pilot, pipeline - passages, run, start, 213669139181409346733334615457038475938, 1784016630.430687, 1, 2, 108499800597958
1784016630.430810, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108499800683000
1784016630.430892, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108499800762833
1784016630.430922, BG indexer pilot, Embed passages, run, start, 108499800792916
1784016630.529469, BG indexer pilot, Embed passages, run, end, 108499899359416
1784016630.529653, BG indexer pilot, Chroma indexer, run, start, 108499899529250
1784016630.539535, BG indexer pilot, Chroma indexer, run, end, 108499909409875
1784016630.539581, BG indexer pilot, pipeline - passages, run, end, 213669139181409346733334615457038475938, 1784016630.430687, 1, 2, 108499909456666
1784016630.539786, BG indexer pilot, pipeline - passages, run, start, 121298510334399401671371432718824052911, 1784016630.539758, 1, 3, 108499909660250
1784016630.539871, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108499909747541
1784016630.539954, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108499909827000
1784016630.540005, BG indexer pilot, Embed passages, run, start, 108499909876875
1784016630.633166, BG indexer pilot, Embed passages, run, end, 108500003052916
1784016630.633239, BG indexer pilot, Chroma indexer, run, start, 108500003115791
1784016630.643391, BG indexer pilot, Chroma indexer, run, end, 108500013268000
1784016630.643439, BG indexer pilot, pipeline - passages, run, end, 121298510334399401671371432718824052911, 1784016630.539758, 1, 3, 108500013314000
1784016630.643609, BG indexer pilot, pipeline - passages, run, start, 76398360230677041613201248756298658629, 1784016630.643583, 1, 4, 108500013482041
1784016630.643686, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108500013560208
1784016630.643763, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108500013635458
1784016630.643810, BG indexer pilot, Embed passages, run, start, 108500013682458
1784016630.872296, BG indexer pilot, Embed passages, run, end, 108500242182291
1784016630.872360, BG indexer pilot, Chroma indexer, run, start, 108500242235583
1784016630.881642, BG indexer pilot, Chroma indexer, run, end, 108500251516583
1784016630.881672, BG indexer pilot, pipeline - passages, run, end, 76398360230677041613201248756298658629, 1784016630.643583, 1, 4, 108500251547416
1784016630.881815, BG indexer pilot, pipeline - passages, run, start, 306781227760782893383197072006821662744, 1784016630.881795, 1, 5, 108500251687916
1784016630.881874, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108500251747375
1784016630.881933, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108500251804208
1784016630.881951, BG indexer pilot, Embed passages, run, start, 108500251822541
1784016631.016292, BG indexer pilot, Embed passages, run, end, 108500386183541
1784016631.016370, BG indexer pilot, Chroma indexer, run, start, 108500386246458
1784016631.025053, BG indexer pilot, Chroma indexer, run, end, 108500394932458
1784016631.025098, BG indexer pilot, pipeline - passages, run, end, 306781227760782893383197072006821662744, 1784016630.881795, 1, 5, 108500394973625
1784016631.025274, BG indexer pilot, pipeline - passages, run, start, 81374304072537953475641091609754004446, 1784016631.025247, 1, 6, 108500395147708
1784016631.025346, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108500395221208
1784016631.025419, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108500395292041
1784016631.025456, BG indexer pilot, Embed passages, run, start, 108500395327833
1784016631.162479, BG indexer pilot, Embed passages, run, end, 108500532375333
1784016631.162553, BG indexer pilot, Chroma indexer, run, start, 108500532429666
1784016631.172413, BG indexer pilot, Chroma indexer, run, end, 108500542294625
1784016631.172459, BG indexer pilot, pipeline - passages, run, end, 81374304072537953475641091609754004446, 1784016631.025247, 1, 6, 108500542339666
1784016631.172620, BG indexer pilot, pipeline - passages, run, start, 61347074764481576893157702178910047641, 1784016631.172589, 1, 7, 108500542494458
1784016631.172694, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108500542569041
1784016631.172769, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108500542641791
1784016631.172808, BG indexer pilot, Embed passages, run, start, 108500542680458
1784016631.309872, BG indexer pilot, Embed passages, run, end, 108500679760291
1784016631.309941, BG indexer pilot, Chroma indexer, run, start, 108500679819125
1784016631.318813, BG indexer pilot, Chroma indexer, run, end, 108500688694291
1784016631.318858, BG indexer pilot, pipeline - passages, run, end, 61347074764481576893157702178910047641, 1784016631.172589, 1, 7, 108500688735500
1784016631.319029, BG indexer pilot, pipeline - passages, run, start, 259591334431163006375276682246862939464, 1784016631.319004, 1, 8, 108500688903083
1784016631.319096, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108500688971250
1784016631.319161, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108500689034500
1784016631.319185, BG indexer pilot, Embed passages, run, start, 108500689061458
1784016631.489427, BG indexer pilot, Embed passages, run, end, 108500859314208
1784016631.489498, BG indexer pilot, Chroma indexer, run, start, 108500859377000
1784016631.504356, BG indexer pilot, Chroma indexer, run, end, 108500874234916
