1783993576.854510, RAG serve plain, pipeline, prepare, start, 85446278046458
1783993576.854737, RAG serve plain, Question dataloader, prepare, start, 85446278156291
1783993578.744828, RAG serve plain, Question dataloader, prepare, end, 85448168288875
1783993578.744919, RAG serve plain, Document retriever, prepare, start, 85448168363125
1783993622.204900, RAG serve plain, Document retriever, prepare, end, 85491628899666
1783993622.205154, RAG serve plain, Answer formatter, prepare, start, 85491629131166
1783993622.205356, RAG serve plain, Answer formatter, prepare, end, 85491629331166
1783993622.205380, RAG serve plain, Generator LLM, prepare, start, 85491629354166
1783993624.776625, RAG serve plain, Generator LLM, prepare, end, 85494200661625
1783993624.776802, RAG serve plain, pipeline, prepare, end, 85494200815041
1783993624.777468, RAG serve plain, pipeline - val, run, start, 39326534909286085270035597907533247041, 1783993624.777432, 1, 1, 85494201477958
1783993624.777553, RAG serve plain, Question dataloader, run, start, 85494201563833
1783993624.786025, RAG serve plain, Question dataloader, run, end, 85494210033833
1783993624.786061, RAG serve plain, Document retriever, run, start, 85494210069083
1783993624.881425, RAG serve plain, Document retriever, run, end, 85494305445875
1783993624.881484, RAG serve plain, Answer formatter, run, start, 85494305495750
1783993624.896624, RAG serve plain, Answer formatter, run, end, 85494320636875
1783993624.896656, RAG serve plain, Generator LLM, run, start, 85494320666833
1783993627.159328, RAG serve plain, Generator LLM, run, end, 85496583392791
1783993627.159435, RAG serve plain, End stage, run, start, 85496583474291
1783993627.160350, RAG serve plain, End stage, run, end, 85496584388791
1783993627.160389, RAG serve plain, pipeline - val, run, end, 39326534909286085270035597907533247041, 1783993624.777432, 1, 1, 85496584427708
1783993627.160523, RAG serve plain, pipeline - val, run, start, 15970020712513276355721795587440796017, 1783993627.160500, 1, 2, 85496584565625
1783993627.160598, RAG serve plain, Question dataloader, run, start, 85496584633583
1783993627.160940, RAG serve plain, Question dataloader, run, end, 85496584976541
1783993627.160991, RAG serve plain, Document retriever, run, start, 85496585025833
1783993627.249924, RAG serve plain, Document retriever, run, end, 85496673973541
1783993627.249990, RAG serve plain, Answer formatter, run, start, 85496674030375
1783993627.250631, RAG serve plain, Answer formatter, run, end, 85496674671125
1783993627.250664, RAG serve plain, Generator LLM, run, start, 85496674702375
1783993628.713382, RAG serve plain, Generator LLM, run, end, 85498137452125
1783993628.713455, RAG serve plain, End stage, run, start, 85498137516000
1783993628.714185, RAG serve plain, End stage, run, end, 85498138243125
1783993628.714213, RAG serve plain, pipeline - val, run, end, 15970020712513276355721795587440796017, 1783993627.160500, 1, 2, 85498138269916
1783993628.714359, RAG serve plain, pipeline - val, run, start, 194305234059695419300729493424820087711, 1783993628.714336, 1, 3, 85498138414875
1783993628.714429, RAG serve plain, Question dataloader, run, start, 85498138484875
1783993628.714610, RAG serve plain, Question dataloader, run, end, 85498138665458
1783993628.714634, RAG serve plain, Document retriever, run, start, 85498138689791
1783993628.803627, RAG serve plain, Document retriever, run, end, 85498227695083
1783993628.803686, RAG serve plain, Answer formatter, run, start, 85498227745041
1783993628.803965, RAG serve plain, Answer formatter, run, end, 85498228023500
1783993628.803998, RAG serve plain, Generator LLM, run, start, 85498228055500
1783993630.271920, RAG serve plain, Generator LLM, run, end, 85499696009041
1783993630.271991, RAG serve plain, End stage, run, start, 85499696069083
1783993630.272864, RAG serve plain, End stage, run, end, 85499696940708
1783993630.272899, RAG serve plain, pipeline - val, run, end, 194305234059695419300729493424820087711, 1783993628.714336, 1, 3, 85499696975833
1783993630.273029, RAG serve plain, pipeline - val, run, start, 19182995963137418151954986742243244376, 1783993630.273005, 1, 4, 85499697104458
1783993630.273103, RAG serve plain, Question dataloader, run, start, 85499697177916
1783993630.273269, RAG serve plain, Question dataloader, run, end, 85499697343041
1783993630.273298, RAG serve plain, Document retriever, run, start, 85499697373625
1783993630.358381, RAG serve plain, Document retriever, run, end, 85499782468666
1783993630.358438, RAG serve plain, Answer formatter, run, start, 85499782516541
1783993630.358694, RAG serve plain, Answer formatter, run, end, 85499782771375
1783993630.358725, RAG serve plain, Generator LLM, run, start, 85499782802000
1783993631.551617, RAG serve plain, Generator LLM, run, end, 85500975722166
1783993631.551693, RAG serve plain, End stage, run, start, 85500975788916
1783993631.552360, RAG serve plain, End stage, run, end, 85500976453250
1783993631.552399, RAG serve plain, pipeline - val, run, end, 19182995963137418151954986742243244376, 1783993630.273005, 1, 4, 85500976491416
1783993631.552550, RAG serve plain, pipeline - val, run, start, 218979176082176752353098516018772013242, 1783993631.552522, 1, 5, 85500976640958
1783993631.552626, RAG serve plain, Question dataloader, run, start, 85500976718041
1783993631.552835, RAG serve plain, Question dataloader, run, end, 85500976926000
1783993631.552885, RAG serve plain, Document retriever, run, start, 85500976975875
1783993631.640861, RAG serve plain, Document retriever, run, end, 85501064968291
1783993631.640928, RAG serve plain, Answer formatter, run, start, 85501065022166
1783993631.641219, RAG serve plain, Answer formatter, run, end, 85501065312916
1783993631.641252, RAG serve plain, Generator LLM, run, start, 85501065344250
1783993632.754177, RAG serve plain, Generator LLM, run, end, 85502178300875
1783993632.754260, RAG serve plain, End stage, run, start, 85502178370333
1783993632.755077, RAG serve plain, End stage, run, end, 85502179185708
1783993632.755119, RAG serve plain, pipeline - val, run, end, 218979176082176752353098516018772013242, 1783993631.552522, 1, 5, 85502179226208
1783993632.755281, RAG serve plain, pipeline - val, run, start, 20581560288845514590862281848912563410, 1783993632.755251, 1, 6, 85502179387625
1783993632.755365, RAG serve plain, Question dataloader, run, start, 85502179472000
1783993632.755565, RAG serve plain, Question dataloader, run, end, 85502179670791
1783993632.755598, RAG serve plain, Document retriever, run, start, 85502179703541
1783993632.847431, RAG serve plain, Document retriever, run, end, 85502271550000
1783993632.847493, RAG serve plain, Answer formatter, run, start, 85502271601875
1783993632.847763, RAG serve plain, Answer formatter, run, end, 85502271870791
1783993632.847793, RAG serve plain, Generator LLM, run, start, 85502271899291
1783993634.692200, RAG serve plain, Generator LLM, run, end, 85504116344083
1783993634.692278, RAG serve plain, End stage, run, start, 85504116412125
1783993634.693366, RAG serve plain, End stage, run, end, 85504117498333
1783993634.693408, RAG serve plain, pipeline - val, run, end, 20581560288845514590862281848912563410, 1783993632.755251, 1, 6, 85504117540125
1783993634.693587, RAG serve plain, pipeline - val, run, start, 153952837491232333322204327521688327748, 1783993634.693556, 1, 7, 85504117716500
1783993634.693675, RAG serve plain, Question dataloader, run, start, 85504117805916
1783993634.693880, RAG serve plain, Question dataloader, run, end, 85504118010500
1783993634.693916, RAG serve plain, Document retriever, run, start, 85504118045833
1783993634.790721, RAG serve plain, Document retriever, run, end, 85504214864083
1783993634.790779, RAG serve plain, Answer formatter, run, start, 85504214912333
1783993634.791022, RAG serve plain, Answer formatter, run, end, 85504215153208
1783993634.791052, RAG serve plain, Generator LLM, run, start, 85504215181250
1783993635.575840, RAG serve plain, Generator LLM, run, end, 85504999993583
1783993635.575913, RAG serve plain, End stage, run, start, 85505000058250
1783993635.576828, RAG serve plain, End stage, run, end, 85505000970375
1783993635.576867, RAG serve plain, pipeline - val, run, end, 153952837491232333322204327521688327748, 1783993634.693556, 1, 7, 85505001009416
1783993635.577031, RAG serve plain, pipeline - val, run, start, 315893534782116476541747589328703928146, 1783993635.577002, 1, 8, 85505001172208
1783993635.577099, RAG serve plain, Question dataloader, run, start, 85505001239125
1783993635.577302, RAG serve plain, Question dataloader, run, end, 85505001442375
1783993635.577354, RAG serve plain, Document retriever, run, start, 85505001494708
1783993635.675571, RAG serve plain, Document retriever, run, end, 85505099722833
1783993635.675627, RAG serve plain, Answer formatter, run, start, 85505099770875
1783993635.675902, RAG serve plain, Answer formatter, run, end, 85505100043208
1783993635.675933, RAG serve plain, Generator LLM, run, start, 85505100073416
1783993637.355184, RAG serve plain, Generator LLM, run, end, 85506779360958
1783993637.355256, RAG serve plain, End stage, run, start, 85506779420666
1783993637.356565, RAG serve plain, End stage, run, end, 85506780729541
1783993637.356600, RAG serve plain, pipeline - val, run, end, 315893534782116476541747589328703928146, 1783993635.577002, 1, 8, 85506780761666
1783993637.356749, RAG serve plain, pipeline - val, run, start, 156342061051951708976465134263557156982, 1783993637.356725, 1, 9, 85506780911000
1783993637.356814, RAG serve plain, Question dataloader, run, start, 85506780976708
1783993637.356983, RAG serve plain, Question dataloader, run, end, 85506781144083
1783993637.357013, RAG serve plain, Document retriever, run, start, 85506781175416
1783993637.448383, RAG serve plain, Document retriever, run, end, 85506872557333
