1769611354.809643, baseline_finetune, system, setup, start, device=mps
1769611355.286031, baseline_finetune, system, setup, end
1769611355.287318, baseline_finetune, training_loop, run, start
1769611361.228969, baseline_finetune, training_step, run, start
1769611364.111358, baseline_finetune, training_step, run, end
1769611364.112334, baseline_finetune, training_step, run, start
1769611364.542574, baseline_finetune, training_step, run, end
1769611364.543384, baseline_finetune, training_step, run, start
1769611364.923116, baseline_finetune, training_step, run, end
1769611364.923471, baseline_finetune, training_step, run, start
1769611365.309748, baseline_finetune, training_step, run, end
1769611365.310311, baseline_finetune, training_step, run, start
1769611365.695634, baseline_finetune, training_step, run, end
1769611375.699837, baseline_finetune, training_loop, run, end
1769613266.371221, baseline_finetune, system, setup, start, device=mps
1769613266.904354, baseline_finetune, system, setup, end
1769613266.905563, baseline_finetune, training_loop, run, start
1769613272.922405, baseline_finetune, training_step, run, start
1769613273.732631, baseline_finetune, training_step, run, end
1769613273.733278, baseline_finetune, training_step, run, start
1769613273.816603, baseline_finetune, training_step, run, end
1769613273.817188, baseline_finetune, training_step, run, start
1769613273.895786, baseline_finetune, training_step, run, end
1769613273.896279, baseline_finetune, training_step, run, start
1769613273.976399, baseline_finetune, training_step, run, end
1769613273.976893, baseline_finetune, training_step, run, start
1769613274.059422, baseline_finetune, training_step, run, end
1769613274.059855, baseline_finetune, training_step, run, start
1769613274.140951, baseline_finetune, training_step, run, end
1769613274.141376, baseline_finetune, training_step, run, start
1769613274.223889, baseline_finetune, training_step, run, end
1769613274.224413, baseline_finetune, training_step, run, start
1769613274.306574, baseline_finetune, training_step, run, end
1769613274.307149, baseline_finetune, training_step, run, start
1769613274.388524, baseline_finetune, training_step, run, end
1769613274.388992, baseline_finetune, training_step, run, start
1769613274.473009, baseline_finetune, training_step, run, end
1769613274.473661, baseline_finetune, training_step, run, start
1769613274.556067, baseline_finetune, training_step, run, end
1769613274.556576, baseline_finetune, training_step, run, start
1769613274.636131, baseline_finetune, training_step, run, end
1769613274.636535, baseline_finetune, training_step, run, start
1769613274.718624, baseline_finetune, training_step, run, end
1769613274.719156, baseline_finetune, training_step, run, start
1769613274.799675, baseline_finetune, training_step, run, end
1769613274.800140, baseline_finetune, training_step, run, start
1769613274.880350, baseline_finetune, training_step, run, end
1769613274.880897, baseline_finetune, training_step, run, start
1769613274.962569, baseline_finetune, training_step, run, end
1769613274.963157, baseline_finetune, training_step, run, start
1769613275.045094, baseline_finetune, training_step, run, end
1769613275.045537, baseline_finetune, training_step, run, start
1769613275.126143, baseline_finetune, training_step, run, end
1769613275.126743, baseline_finetune, training_step, run, start
1769613275.207428, baseline_finetune, training_step, run, end
1769613275.207943, baseline_finetune, training_step, run, start
1769613275.290053, baseline_finetune, training_step, run, end
1769613275.290489, baseline_finetune, training_step, run, start
1769613275.370766, baseline_finetune, training_step, run, end
1769613275.371211, baseline_finetune, training_step, run, start
1769613275.451600, baseline_finetune, training_step, run, end
1769613275.452053, baseline_finetune, training_step, run, start
1769613275.531487, baseline_finetune, training_step, run, end
1769613275.531923, baseline_finetune, training_step, run, start
1769613275.611078, baseline_finetune, training_step, run, end
1769613275.611770, baseline_finetune, training_step, run, start
1769613275.690983, baseline_finetune, training_step, run, end
1769613275.691379, baseline_finetune, training_step, run, start
1769613275.772148, baseline_finetune, training_step, run, end
1769613275.772505, baseline_finetune, training_step, run, start
1769613275.853844, baseline_finetune, training_step, run, end
1769613275.854269, baseline_finetune, training_step, run, start
1769613275.934171, baseline_finetune, training_step, run, end
1769613275.934582, baseline_finetune, training_step, run, start
1769613276.015045, baseline_finetune, training_step, run, end
1769613276.015553, baseline_finetune, training_step, run, start
1769613276.096361, baseline_finetune, training_step, run, end
1769613276.096892, baseline_finetune, training_step, run, start
1769613276.178350, baseline_finetune, training_step, run, end
1769613276.178760, baseline_finetune, training_step, run, start
1769613276.258894, baseline_finetune, training_step, run, end
1769613276.259326, baseline_finetune, training_step, run, start
1769613276.339081, baseline_finetune, training_step, run, end
1769613276.339498, baseline_finetune, training_step, run, start
1769613276.419830, baseline_finetune, training_step, run, end
1769613276.420357, baseline_finetune, training_step, run, start
1769613276.500658, baseline_finetune, training_step, run, end
1769613276.501146, baseline_finetune, training_step, run, start
1769613276.580847, baseline_finetune, training_step, run, end
1769613276.581187, baseline_finetune, training_step, run, start
1769613276.662024, baseline_finetune, training_step, run, end
1769613276.662534, baseline_finetune, training_step, run, start
1769613276.743446, baseline_finetune, training_step, run, end
1769613276.743788, baseline_finetune, training_step, run, start
1769613276.823862, baseline_finetune, training_step, run, end
1769613276.824306, baseline_finetune, training_step, run, start
1769613276.903337, baseline_finetune, training_step, run, end
1769613276.903746, baseline_finetune, training_step, run, start
1769613276.983639, baseline_finetune, training_step, run, end
1769613276.984069, baseline_finetune, training_step, run, start
1769613277.064428, baseline_finetune, training_step, run, end
1769613277.064846, baseline_finetune, training_step, run, start
1769613277.144141, baseline_finetune, training_step, run, end
1769613277.144540, baseline_finetune, training_step, run, start
1769613277.223870, baseline_finetune, training_step, run, end
1769613277.224363, baseline_finetune, training_step, run, start
1769613277.304284, baseline_finetune, training_step, run, end
1769613277.304643, baseline_finetune, training_step, run, start
1769613277.384535, baseline_finetune, training_step, run, end
1769613277.384940, baseline_finetune, training_step, run, start
1769613277.464626, baseline_finetune, training_step, run, end
1769613277.465109, baseline_finetune, training_step, run, start
1769613277.544915, baseline_finetune, training_step, run, end
1769613277.545311, baseline_finetune, training_step, run, start
1769613277.624765, baseline_finetune, training_step, run, end
1769613277.625249, baseline_finetune, training_step, run, start
1769613277.705143, baseline_finetune, training_step, run, end
1769613277.705520, baseline_finetune, training_step, run, start
1769613277.784885, baseline_finetune, training_step, run, end
1769613277.785338, baseline_finetune, training_step, run, start
1769613277.865440, baseline_finetune, training_step, run, end
1769613277.865836, baseline_finetune, training_step, run, start
1769613277.945723, baseline_finetune, training_step, run, end
1769613277.946140, baseline_finetune, training_step, run, start
1769613278.054706, baseline_finetune, training_step, run, end
1769613278.055821, baseline_finetune, training_step, run, start
1769613278.145025, baseline_finetune, training_step, run, end
1769613278.145591, baseline_finetune, training_step, run, start
1769613278.217452, baseline_finetune, training_step, run, end
1769613278.218316, baseline_finetune, training_step, run, start
1769613278.298474, baseline_finetune, training_step, run, end
1769613278.298837, baseline_finetune, training_step, run, start
1769613278.380084, baseline_finetune, training_step, run, end
1769613278.380494, baseline_finetune, training_step, run, start
1769613278.461029, baseline_finetune, training_step, run, end
1769613278.461486, baseline_finetune, training_step, run, start
1769613278.542901, baseline_finetune, training_step, run, end
1769613278.543287, baseline_finetune, training_step, run, start
1769613278.624177, baseline_finetune, training_step, run, end
1769613278.624666, baseline_finetune, training_step, run, start
1769613278.705794, baseline_finetune, training_step, run, end
1769613278.706191, baseline_finetune, training_step, run, start
1769613278.785401, baseline_finetune, training_step, run, end
1769613278.785821, baseline_finetune, training_step, run, start
1769613278.865274, baseline_finetune, training_step, run, end
1769613278.865827, baseline_finetune, training_step, run, start
1769613278.945634, baseline_finetune, training_step, run, end
1769613278.945998, baseline_finetune, training_step, run, start
1769613279.025386, baseline_finetune, training_step, run, end
1769613279.025827, baseline_finetune, training_step, run, start
1769613279.106110, baseline_finetune, training_step, run, end
1769613279.106586, baseline_finetune, training_step, run, start
1769613279.186272, baseline_finetune, training_step, run, end
1769613279.186660, baseline_finetune, training_step, run, start
1769613279.265760, baseline_finetune, training_step, run, end
1769613279.266198, baseline_finetune, training_step, run, start
1769613279.346096, baseline_finetune, training_step, run, end
1769613279.346429, baseline_finetune, training_step, run, start
1769613279.427764, baseline_finetune, training_step, run, end
1769613279.428071, baseline_finetune, training_step, run, start
1769613279.508639, baseline_finetune, training_step, run, end
1769613279.509015, baseline_finetune, training_step, run, start
1769613279.591486, baseline_finetune, training_step, run, end
1769613279.591931, baseline_finetune, training_step, run, start
1769613279.673486, baseline_finetune, training_step, run, end
1769613279.673885, baseline_finetune, training_step, run, start
1769613279.755027, baseline_finetune, training_step, run, end
1769613279.755513, baseline_finetune, training_step, run, start
1769613279.836732, baseline_finetune, training_step, run, end
1769613279.837109, baseline_finetune, training_step, run, start
1769613279.917050, baseline_finetune, training_step, run, end
1769613279.917461, baseline_finetune, training_step, run, start
1769613279.997476, baseline_finetune, training_step, run, end
1769613279.997873, baseline_finetune, training_step, run, start
1769613280.079482, baseline_finetune, training_step, run, end
1769613280.080137, baseline_finetune, training_step, run, start
1769613280.163785, baseline_finetune, training_step, run, end
1769613280.164224, baseline_finetune, training_step, run, start
1769613280.244170, baseline_finetune, training_step, run, end
1769613280.244506, baseline_finetune, training_step, run, start
1769613280.324518, baseline_finetune, training_step, run, end
1769613280.324987, baseline_finetune, training_step, run, start
1769613280.404673, baseline_finetune, training_step, run, end
1769613280.405104, baseline_finetune, training_step, run, start
1769613280.485748, baseline_finetune, training_step, run, end
1769613280.486278, baseline_finetune, training_step, run, start
1769613280.567140, baseline_finetune, training_step, run, end
1769613280.567597, baseline_finetune, training_step, run, start
1769613280.648742, baseline_finetune, training_step, run, end
1769613280.649113, baseline_finetune, training_step, run, start
1769613280.731471, baseline_finetune, training_step, run, end
1769613280.731830, baseline_finetune, training_step, run, start
1769613280.812418, baseline_finetune, training_step, run, end
1769613280.812962, baseline_finetune, training_step, run, start
1769613280.895237, baseline_finetune, training_step, run, end
1769613280.895839, baseline_finetune, training_step, run, start
1769613280.978565, baseline_finetune, training_step, run, end
1769613280.979074, baseline_finetune, training_step, run, start
1769613281.061961, baseline_finetune, training_step, run, end
1769613281.062606, baseline_finetune, training_step, run, start
1769613281.143499, baseline_finetune, training_step, run, end
1769613281.144043, baseline_finetune, training_step, run, start
1769613281.227679, baseline_finetune, training_step, run, end
1769613281.228301, baseline_finetune, training_step, run, start
1769613281.310405, baseline_finetune, training_step, run, end
1769613281.311032, baseline_finetune, training_step, run, start
1769613281.394971, baseline_finetune, training_step, run, end
1769613281.395524, baseline_finetune, training_step, run, start
1769613281.477629, baseline_finetune, training_step, run, end
1769613281.478077, baseline_finetune, training_step, run, start
1769613281.559487, baseline_finetune, training_step, run, end
1769613281.559844, baseline_finetune, training_step, run, start
1769613281.643189, baseline_finetune, training_step, run, end
1769613281.643624, baseline_finetune, training_step, run, start
1769613281.725945, baseline_finetune, training_step, run, end
1769613281.726520, baseline_finetune, training_step, run, start
1769613281.808092, baseline_finetune, training_step, run, end
1769613281.808666, baseline_finetune, training_step, run, start
1769613281.890586, baseline_finetune, training_step, run, end
1769613281.891114, baseline_finetune, training_step, run, start
1769613281.975164, baseline_finetune, training_step, run, end
1769613281.975572, baseline_finetune, training_step, run, start
1769613282.060026, baseline_finetune, training_step, run, end
1769613282.060442, baseline_finetune, training_step, run, start
1769613282.141565, baseline_finetune, training_step, run, end
1769613282.142003, baseline_finetune, training_step, run, start
1769613282.225370, baseline_finetune, training_step, run, end
1769613282.225954, baseline_finetune, training_step, run, start
1769613282.308555, baseline_finetune, training_step, run, end
1769613282.309521, baseline_finetune, training_step, run, start
1769613282.392053, baseline_finetune, training_step, run, end
1769613282.392523, baseline_finetune, training_step, run, start
1769613282.475040, baseline_finetune, training_step, run, end
1769613282.475905, baseline_finetune, training_step, run, start
1769613282.558386, baseline_finetune, training_step, run, end
1769613282.558846, baseline_finetune, training_step, run, start
1769613282.640760, baseline_finetune, training_step, run, end
1769613282.641178, baseline_finetune, training_step, run, start
1769613282.723261, baseline_finetune, training_step, run, end
1769613282.723815, baseline_finetune, training_step, run, start
1769613282.807495, baseline_finetune, training_step, run, end
1769613282.807828, baseline_finetune, training_step, run, start
1769613282.889763, baseline_finetune, training_step, run, end
1769613282.890205, baseline_finetune, training_step, run, start
1769613282.973011, baseline_finetune, training_step, run, end
1769613282.973522, baseline_finetune, training_step, run, start
1769613283.057992, baseline_finetune, training_step, run, end
1769613283.058566, baseline_finetune, training_step, run, start
1769613283.140939, baseline_finetune, training_step, run, end
1769613283.141344, baseline_finetune, training_step, run, start
1769613283.223274, baseline_finetune, training_step, run, end
1769613283.223836, baseline_finetune, training_step, run, start
1769613283.305966, baseline_finetune, training_step, run, end
1769613283.306452, baseline_finetune, training_step, run, start
1769613283.389915, baseline_finetune, training_step, run, end
1769613283.390443, baseline_finetune, training_step, run, start
1769613283.471975, baseline_finetune, training_step, run, end
1769613283.472440, baseline_finetune, training_step, run, start
1769613283.556133, baseline_finetune, training_step, run, end
1769613283.556584, baseline_finetune, training_step, run, start
1769613283.637504, baseline_finetune, training_step, run, end
1769613283.637925, baseline_finetune, training_step, run, start
1769613283.720778, baseline_finetune, training_step, run, end
1769613283.721138, baseline_finetune, training_step, run, start
1769613283.802845, baseline_finetune, training_step, run, end
1769613283.803212, baseline_finetune, training_step, run, start
1769613283.885707, baseline_finetune, training_step, run, end
1769613283.886065, baseline_finetune, training_step, run, start
1769613283.968464, baseline_finetune, training_step, run, end
1769613283.969037, baseline_finetune, training_step, run, start
1769613284.052196, baseline_finetune, training_step, run, end
1769613284.052731, baseline_finetune, training_step, run, start
1769613284.134864, baseline_finetune, training_step, run, end
1769613284.135332, baseline_finetune, training_step, run, start
1769613284.216176, baseline_finetune, training_step, run, end
1769613284.216663, baseline_finetune, training_step, run, start
1769613284.300685, baseline_finetune, training_step, run, end
1769613284.301141, baseline_finetune, training_step, run, start
1769613284.384529, baseline_finetune, training_step, run, end
1769613284.384949, baseline_finetune, training_step, run, start
1769613284.466290, baseline_finetune, training_step, run, end
1769613284.466674, baseline_finetune, training_step, run, start
1769613284.551832, baseline_finetune, training_step, run, end
1769613284.552249, baseline_finetune, training_step, run, start
1769613284.634641, baseline_finetune, training_step, run, end
1769613284.635080, baseline_finetune, training_step, run, start
1769613284.718136, baseline_finetune, training_step, run, end
1769613284.718525, baseline_finetune, training_step, run, start
1769613284.800075, baseline_finetune, training_step, run, end
1769613284.800557, baseline_finetune, training_step, run, start
1769613284.884410, baseline_finetune, training_step, run, end
1769613284.884976, baseline_finetune, training_step, run, start
1769613284.966111, baseline_finetune, training_step, run, end
1769613284.966660, baseline_finetune, training_step, run, start
1769613285.047345, baseline_finetune, training_step, run, end
1769613285.047694, baseline_finetune, training_step, run, start
1769613285.129306, baseline_finetune, training_step, run, end
1769613285.129714, baseline_finetune, training_step, run, start
1769613285.209395, baseline_finetune, training_step, run, end
1769613285.209770, baseline_finetune, training_step, run, start
1769613285.290302, baseline_finetune, training_step, run, end
1769613285.290766, baseline_finetune, training_step, run, start
1769613285.370961, baseline_finetune, training_step, run, end
1769613285.371400, baseline_finetune, training_step, run, start
1769613285.451598, baseline_finetune, training_step, run, end
1769613285.451998, baseline_finetune, training_step, run, start
1769613285.533360, baseline_finetune, training_step, run, end
1769613285.533779, baseline_finetune, training_step, run, start
1769613285.614517, baseline_finetune, training_step, run, end
1769613285.614935, baseline_finetune, training_step, run, start
1769613285.694744, baseline_finetune, training_step, run, end
1769613285.695293, baseline_finetune, training_step, run, start
1769613285.776186, baseline_finetune, training_step, run, end
1769613285.776562, baseline_finetune, training_step, run, start
1769613285.857276, baseline_finetune, training_step, run, end
1769613285.857691, baseline_finetune, training_step, run, start
1769613285.938234, baseline_finetune, training_step, run, end
1769613285.938705, baseline_finetune, training_step, run, start
1769613286.018708, baseline_finetune, training_step, run, end
1769613286.019101, baseline_finetune, training_step, run, start
1769613286.099936, baseline_finetune, training_step, run, end
1769613286.100351, baseline_finetune, training_step, run, start
1769613286.180614, baseline_finetune, training_step, run, end
1769613286.181063, baseline_finetune, training_step, run, start
1769613286.260389, baseline_finetune, training_step, run, end
1769613286.260839, baseline_finetune, training_step, run, start
1769613286.341070, baseline_finetune, training_step, run, end
1769613286.341463, baseline_finetune, training_step, run, start
1769613286.420015, baseline_finetune, training_step, run, end
1769613286.420372, baseline_finetune, training_step, run, start
1769613286.500740, baseline_finetune, training_step, run, end
1769613286.501187, baseline_finetune, training_step, run, start
1769613286.581138, baseline_finetune, training_step, run, end
1769613286.581535, baseline_finetune, training_step, run, start
1769613286.661476, baseline_finetune, training_step, run, end
1769613286.661806, baseline_finetune, training_step, run, start
1769613286.741964, baseline_finetune, training_step, run, end
1769613286.742456, baseline_finetune, training_step, run, start
1769613286.822678, baseline_finetune, training_step, run, end
1769613286.823482, baseline_finetune, training_step, run, start
1769613286.902754, baseline_finetune, training_step, run, end
1769613286.903092, baseline_finetune, training_step, run, start
1769613286.984370, baseline_finetune, training_step, run, end
1769613286.984770, baseline_finetune, training_step, run, start
1769613287.064314, baseline_finetune, training_step, run, end
1769613287.064632, baseline_finetune, training_step, run, start
1769613287.145466, baseline_finetune, training_step, run, end
1769613287.145986, baseline_finetune, training_step, run, start
1769613287.224508, baseline_finetune, training_step, run, end
1769613287.224989, baseline_finetune, training_step, run, start
1769613287.304411, baseline_finetune, training_step, run, end
1769613287.304713, baseline_finetune, training_step, run, start
1769613287.385460, baseline_finetune, training_step, run, end
1769613287.385768, baseline_finetune, training_step, run, start
1769613287.465620, baseline_finetune, training_step, run, end
1769613287.466039, baseline_finetune, training_step, run, start
1769613287.545590, baseline_finetune, training_step, run, end
1769613287.546021, baseline_finetune, training_step, run, start
1769613287.626312, baseline_finetune, training_step, run, end
1769613287.626688, baseline_finetune, training_step, run, start
1769613287.706383, baseline_finetune, training_step, run, end
1769613287.706742, baseline_finetune, training_step, run, start
1769613287.785427, baseline_finetune, training_step, run, end
1769613287.785887, baseline_finetune, training_step, run, start
1769613287.865407, baseline_finetune, training_step, run, end
1769613287.865783, baseline_finetune, training_step, run, start
1769613287.946339, baseline_finetune, training_step, run, end
1769613287.946732, baseline_finetune, training_step, run, start
1769613288.026838, baseline_finetune, training_step, run, end
1769613288.027190, baseline_finetune, training_step, run, start
1769613288.108249, baseline_finetune, training_step, run, end
1769613288.108703, baseline_finetune, training_step, run, start
1769613288.187596, baseline_finetune, training_step, run, end
1769613288.187950, baseline_finetune, training_step, run, start
1769613288.267441, baseline_finetune, training_step, run, end
1769613288.267852, baseline_finetune, training_step, run, start
1769613288.347033, baseline_finetune, training_step, run, end
1769613288.347402, baseline_finetune, training_step, run, start
1769613288.428934, baseline_finetune, training_step, run, end
1769613288.429369, baseline_finetune, training_step, run, start
1769613288.510410, baseline_finetune, training_step, run, end
1769613288.510789, baseline_finetune, training_step, run, start
1769613288.590463, baseline_finetune, training_step, run, end
1769613288.590969, baseline_finetune, training_step, run, start
1769613288.671416, baseline_finetune, training_step, run, end
1769613288.671889, baseline_finetune, training_step, run, start
1769613288.751694, baseline_finetune, training_step, run, end
1769613288.752098, baseline_finetune, training_step, run, start
1769613288.832986, baseline_finetune, training_step, run, end
1769613288.833419, baseline_finetune, training_step, run, start
1769613288.912910, baseline_finetune, training_step, run, end
1769613288.913372, baseline_finetune, training_step, run, start
1769613288.992411, baseline_finetune, training_step, run, end
1769613288.992904, baseline_finetune, training_step, run, start
1769613289.073128, baseline_finetune, training_step, run, end
1769613289.073564, baseline_finetune, training_step, run, start
1769613289.152479, baseline_finetune, training_step, run, end
1769613289.152939, baseline_finetune, training_step, run, start
1769613289.233566, baseline_finetune, training_step, run, end
1769613289.234047, baseline_finetune, training_step, run, start
1769613289.313249, baseline_finetune, training_step, run, end
1769613289.313826, baseline_finetune, training_step, run, start
1769613289.392915, baseline_finetune, training_step, run, end
1769613289.393214, baseline_finetune, training_step, run, start
1769613289.473361, baseline_finetune, training_step, run, end
1769613289.473626, baseline_finetune, training_step, run, start
1769613289.554725, baseline_finetune, training_step, run, end
1769613289.555219, baseline_finetune, training_step, run, start
1769613289.634124, baseline_finetune, training_step, run, end
1769613289.634615, baseline_finetune, training_step, run, start
1769613289.716097, baseline_finetune, training_step, run, end
1769613289.716482, baseline_finetune, training_step, run, start
1769613289.796272, baseline_finetune, training_step, run, end
1769613289.796720, baseline_finetune, training_step, run, start
1769613289.876556, baseline_finetune, training_step, run, end
1769613289.877052, baseline_finetune, training_step, run, start
1769613289.956051, baseline_finetune, training_step, run, end
1769613289.956475, baseline_finetune, training_step, run, start
1769613290.036196, baseline_finetune, training_step, run, end
1769613290.036630, baseline_finetune, training_step, run, start
1769613290.117252, baseline_finetune, training_step, run, end
1769613290.117737, baseline_finetune, training_step, run, start
1769613290.198538, baseline_finetune, training_step, run, end
1769613290.199024, baseline_finetune, training_step, run, start
1769613290.278781, baseline_finetune, training_step, run, end
1769613290.279222, baseline_finetune, training_step, run, start
1769613290.359115, baseline_finetune, training_step, run, end
1769613290.359512, baseline_finetune, training_step, run, start
1769613290.440087, baseline_finetune, training_step, run, end
1769613290.440643, baseline_finetune, training_step, run, start
