1787663429.610906, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline, prepare, start, 9782495449485574
1787663429.612281, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline, prepare, end, 9782495450346453
1787663429.612620, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline - train, run, start, 328236035740006786520486610226676735094, 1787663429.612586, 1, 1, 9782495450681669
1787663429.612703, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline - train, run, end, 328236035740006786520486610226676735094, 1787663429.612586, 1, 1, 9782495450764661
1787663429.612735, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline - train, run, start, 145471303679152984870153874961799369019, 1787663429.612725, 2, 1, 9782495450794165
1787663429.612792, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline - train, run, end, 145471303679152984870153874961799369019, 1787663429.612725, 2, 1, 9782495450852229
1787663429.612818, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline - train, run, start, 264664427293429506686042642221411767200, 1787663429.612810, 3, 1, 9782495450877621
1787663429.612874, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline - train, run, end, 264664427293429506686042642221411767200, 1787663429.612810, 3, 1, 9782495450933365
1787663429.612898, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline - train, run, start, 111274966564239461707089187393435199818, 1787663429.612890, 4, 1, 9782495450957669
1787663429.612957, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline - train, run, end, 111274966564239461707089187393435199818, 1787663429.612890, 4, 1, 9782495451016053
1787663429.612982, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline - train, run, start, 205514572725384461819051406599137582538, 1787663429.612974, 5, 1, 9782495451041557
1787663429.613033, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline - train, run, end, 205514572725384461819051406599137582538, 1787663429.612974, 5, 1, 9782495451092437
1787663429.613058, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline - train, run, start, 156420066967958176135175914832203239580, 1787663429.613050, 6, 1, 9782495451117317
1787663429.613109, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline - train, run, end, 156420066967958176135175914832203239580, 1787663429.613050, 6, 1, 9782495451168757
1787663429.613133, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline - train, run, start, 293249415038172182283302343431179922296, 1787663429.613125, 7, 1, 9782495451193061
1787663429.613181, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline - train, run, end, 293249415038172182283302343431179922296, 1787663429.613125, 7, 1, 9782495451240437
1787663429.613205, NoOp Chain Depth 3 Size 0 Mode ref nolog, pipeline - train, run, start, 287971495217921109306777569596271445732, 1787663429.613197, 8, 1, 9782495451264181
