1787663674.563725, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline, prepare, start, 9782740402306269
1787663674.565257, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline, prepare, end, 9782740403323148
1787663674.565848, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 36095265826977097353227506531775599996, 1787663674.565713, 1, 1, 9782740403911947
1787663674.566457, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 36095265826977097353227506531775599996, 1787663674.565713, 1, 1, 9782740404519514
1787663674.566960, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 92072459564223489791601963599246220866, 1787663674.566939, 2, 1, 9782740405021305
1787663674.567162, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 92072459564223489791601963599246220866, 1787663674.566939, 2, 1, 9782740405223193
1787663674.567305, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 335566659571509214506651323504644045068, 1787663674.567249, 3, 1, 9782740405365545
1787663674.567533, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 335566659571509214506651323504644045068, 1787663674.567249, 3, 1, 9782740405593241
1787663674.567761, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 197282261766676565185011936458525794127, 1787663674.567560, 4, 1, 9782740405821000
1787663674.568001, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 197282261766676565185011936458525794127, 1787663674.567560, 4, 1, 9782740406062904
1787663674.568081, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 181810552443330225233140493286461605767, 1787663674.568030, 5, 1, 9782740406141256
1787663674.568318, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 181810552443330225233140493286461605767, 1787663674.568030, 5, 1, 9782740406378584
1787663674.568742, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 215985841665762008104190103631719900948, 1787663674.568605, 6, 1, 9782740406802119
1787663674.569224, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 215985841665762008104190103631719900948, 1787663674.568605, 6, 1, 9782740407284406
1787663674.569327, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 305989502766226134508880743178190674190, 1787663674.569252, 7, 1, 9782740407386870
1787663674.572488, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 305989502766226134508880743178190674190, 1787663674.569252, 7, 1, 9782740410549186
1787663674.572562, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 118423143570495112272052769895512192167, 1787663674.572543, 8, 1, 9782740410621842
1787663674.572835, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 118423143570495112272052769895512192167, 1787663674.572543, 8, 1, 9782740410895521
1787663674.572911, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 308523088648700691975436196915839409028, 1787663674.572861, 9, 1, 9782740410970561
1787663674.573213, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 308523088648700691975436196915839409028, 1787663674.572861, 9, 1, 9782740411272833
1787663674.573251, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 5604438782119197592733274948913811538, 1787663674.573242, 10, 1, 9782740411310657
1787663674.573563, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 5604438782119197592733274948913811538, 1787663674.573242, 10, 1, 9782740411622240
1787663674.573598, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 262277464478826025673559406648267270469, 1787663674.573589, 11, 1, 9782740411657776
1787663674.573904, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 262277464478826025673559406648267270469, 1787663674.573589, 11, 1, 9782740411963744
1787663674.573954, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 296183803746255409009619105829467331055, 1787663674.573945, 12, 1, 9782740412013184
1787663674.574246, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 296183803746255409009619105829467331055, 1787663674.573945, 12, 1, 9782740412305936
1787663674.574296, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 241088982596900354347047049288557009901, 1787663674.574287, 13, 1, 9782740412355231
1787663674.574582, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 241088982596900354347047049288557009901, 1787663674.574287, 13, 1, 9782740412641855
1787663674.574639, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 169041056543919475668470721370945127254, 1787663674.574622, 14, 1, 9782740412698447
1787663674.574828, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 169041056543919475668470721370945127254, 1787663674.574622, 14, 1, 9782740412887471
1787663674.574960, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 148317570546249190425585657201441442652, 1787663674.574942, 15, 1, 9782740413019951
1787663674.575150, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 148317570546249190425585657201441442652, 1787663674.574942, 15, 1, 9782740413210254
1787663674.575281, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 143081285136943452587621634406943231014, 1787663674.575265, 16, 1, 9782740413340462
1787663674.575491, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 143081285136943452587621634406943231014, 1787663674.575265, 16, 1, 9782740413551022
1787663674.575601, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 70439233842537670193854501365883218933, 1787663674.575515, 17, 1, 9782740413660926
1787663674.575808, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 70439233842537670193854501365883218933, 1787663674.575515, 17, 1, 9782740413867917
1787663674.575917, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 165041073468274160982927048717934070345, 1787663674.575832, 18, 1, 9782740413977133
1787663674.576128, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 165041073468274160982927048717934070345, 1787663674.575832, 18, 1, 9782740414187949
1787663674.576161, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 61799524513545338700850044368418928174, 1787663674.576152, 19, 1, 9782740414220349
1787663674.576331, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 61799524513545338700850044368418928174, 1787663674.576152, 19, 1, 9782740414390621
1787663674.576363, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 171935241480220175607031593076328007884, 1787663674.576354, 20, 1, 9782740414422189
1787663674.576496, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 171935241480220175607031593076328007884, 1787663674.576354, 20, 1, 9782740414555916
1787663674.576531, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 48956770065705827796709093850737314897, 1787663674.576523, 21, 1, 9782740414590860
1787663674.576669, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 48956770065705827796709093850737314897, 1787663674.576523, 21, 1, 9782740414728396
1787663674.576702, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 255732032011743293459418924167481206774, 1787663674.576693, 22, 1, 9782740414761356
1787663674.576846, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 255732032011743293459418924167481206774, 1787663674.576693, 22, 1, 9782740414905580
1787663674.576883, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, start, 50655918272082497066214224659987145152, 1787663674.576870, 23, 1, 9782740414942828
1787663674.577035, NoOp Chain Depth 6 Size 0 Mode ref nolog, pipeline - train, run, end, 50655918272082497066214224659987145152, 1787663674.576870, 23, 1, 9782740415095420
