1787078792.291194, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline, prepare, start, 9197858129390083
1787078792.293379, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline, prepare, end, 9197858131448404
1787078792.293818, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, start, 211009472608959317823222159651075237676, 1787078792.293737, 1, 1, 9197858131882421
1787078792.294000, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, start, 9197858132062469
1787078792.294038, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, end, 9197858132098485
1787078792.294133, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, start, 9197858132193893
1787078792.298984, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, end, 9197858137061081
1787078792.299279, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, start, 9197858137344137
1787078792.304457, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, start, 9197858142522957
1787078792.304421, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, end, 9197858142741421
1787078792.309714, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, end, 9197858147792305
1787078792.309985, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, start, 9197858148049057
1787078792.315018, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, end, 9197858153094709
1787078792.315263, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, start, 9197858153326053
1787078792.319903, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, end, 9197858157979384
1787078792.320158, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, start, 9197858158221305
1787078792.324666, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, end, 9197858162743340
1787078792.324922, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, start, 9197858162987260
1787078792.329286, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, end, 9197858167361552
1787078792.329535, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, start, 9197858167598560
1787078792.333679, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, end, 9197858171755955
1787078792.333908, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, start, 9197858171971363
1787078792.338044, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, end, 9197858176120214
1787078792.338276, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, end, 211009472608959317823222159651075237676, 1787078792.293737, 1, 1, 9197858176338326
1787078792.338522, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, start, 116056904836901095266417591829755760560, 1787078792.338458, 2, 1, 9197858176583526
1787078792.338718, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, start, 9197858176779031
1787078792.338777, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, end, 9197858176836967
1787078792.338804, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, start, 9197858176864759
1787078792.342885, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, end, 9197858180959594
1787078792.343112, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, start, 9197858181174794
1787078792.343818, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, end, 9197858181885050
1787078792.343849, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, start, 9197858181910650
1787078792.344754, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, end, 9197858182816747
1787078792.344822, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, start, 9197858182884059
1787078792.345516, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, end, 9197858183577660
1787078792.345547, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, start, 9197858183607884
1787078792.346273, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, end, 9197858184334684
1787078792.346317, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, start, 9197858184377100
1787078792.347077, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, end, 9197858185138253
1787078792.347103, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, start, 9197858185163581
1787078792.347782, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, end, 9197858185842237
1787078792.347805, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, start, 9197858185865549
1787078792.348487, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, end, 9197858186548270
1787078792.349108, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, start, 9197858187170158
1787078792.349833, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, end, 9197858187894063
1787078792.350008, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, end, 116056904836901095266417591829755760560, 1787078792.338458, 2, 1, 9197858188070975
1787078792.350199, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, start, 173813534347490941475116946276277866217, 1787078792.350139, 3, 1, 9197858188261471
1787078792.350243, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, start, 9197858188303439
1787078792.350270, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, end, 9197858188329727
1787078792.350438, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, start, 9197858188499087
1787078792.351228, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, end, 9197858189291120
1787078792.351489, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, start, 9197858189551424
1787078792.352281, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, end, 9197858190343121
1787078792.352311, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, start, 9197858190371617
1787078792.353025, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, end, 9197858191086513
1787078792.353048, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, start, 9197858191108881
1787078792.354038, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, end, 9197858192101362
1787078792.354060, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, start, 9197858192121426
1787078792.354885, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, end, 9197858192946675
1787078792.355022, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, start, 9197858193084003
1787078792.355743, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, end, 9197858193804115
1787078792.355762, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, start, 9197858193822883
1787078792.356479, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, end, 9197858194540324
1787078792.356507, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, start, 9197858194567428
1787078792.357221, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, end, 9197858195282549
1787078792.357558, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, start, 9197858195619253
1787078792.358253, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, end, 9197858196314517
1787078792.358446, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, end, 173813534347490941475116946276277866217, 1787078792.350139, 3, 1, 9197858196509078
1787078792.358633, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, start, 339098284448763859262892792029502511612, 1787078792.358572, 4, 1, 9197858196694566
1787078792.358675, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, start, 9197858196735590
1787078792.358704, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, end, 9197858196764006
1787078792.358724, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, start, 9197858196784374
1787078792.359455, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, end, 9197858197517574
1787078792.359727, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, start, 9197858197789878
1787078792.360415, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, end, 9197858198476343
1787078792.360550, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, start, 9197858198611815
1787078792.361282, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, end, 9197858199342376
1787078792.361418, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, start, 9197858199479384
1787078792.362144, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, end, 9197858200204840
1787078792.362458, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, start, 9197858200519961
1787078792.363176, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, end, 9197858201237161
1787078792.363315, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, start, 9197858201377257
1787078792.364015, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, end, 9197858202076042
1787078792.364036, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, start, 9197858202097082
1787078792.364882, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, end, 9197858202943722
1787078792.365021, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, start, 9197858203083082
1787078792.365736, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, end, 9197858203796667
1787078792.365864, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, start, 9197858203925723
1787078792.366549, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, end, 9197858204610428
1787078792.366689, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, end, 339098284448763859262892792029502511612, 1787078792.358572, 4, 1, 9197858204751500
1787078792.366836, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, start, 62648114998101719002738746583279173219, 1787078792.366815, 5, 1, 9197858204897260
1787078792.366872, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, start, 9197858204932460
1787078792.366901, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, end, 9197858204960636
1787078792.367108, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, start, 9197858205168364
1787078792.367872, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, end, 9197858205933981
1787078792.368016, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, start, 9197858206077645
1787078792.368747, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, end, 9197858206807917
1787078792.368874, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, start, 9197858206935533
1787078792.369577, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, end, 9197858207638222
1787078792.369713, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, start, 9197858207775278
1787078792.370409, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, end, 9197858208470703
1787078792.370549, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, start, 9197858208610623
1787078792.371277, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, end, 9197858209337663
1787078792.371410, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, start, 9197858209472095
1787078792.372107, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, end, 9197858210167632
1787078792.372387, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, start, 9197858210449488
1787078792.373105, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, end, 9197858211165713
1787078792.373242, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, start, 9197858211304145
1787078792.373955, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, end, 9197858212017361
1787078792.374078, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, start, 9197858212139505
1787078792.374804, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, end, 9197858212865026
1787078792.374933, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, end, 62648114998101719002738746583279173219, 1787078792.366815, 5, 1, 9197858212995490
