1787078997.686823, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline, prepare, start, 9198063525009242
1787078997.687683, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline, prepare, end, 9198063525749274
1787078997.687940, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, start, 130754369896131564603044952235771642512, 1787078997.687924, 1, 1, 9198063526009530
1787078997.687985, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, start, 9198063526045834
1787078997.688007, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, end, 9198063526066554
1787078997.688021, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, start, 9198063526081979
1787078997.688041, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, end, 9198063526100539
1787078997.688055, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start, 9198063526115899
1787078997.688073, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end, 9198063526132235
1787078997.688086, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start, 9198063526146267
1787078997.688104, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end, 9198063526163691
1787078997.688118, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start, 9198063526179051
1787078997.688144, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end, 9198063526203675
1787078997.688158, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, start, 9198063526218523
1787078997.688174, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, end, 9198063526234011
1787078997.688187, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, start, 9198063526247627
1787078997.688204, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, end, 9198063526262971
1787078997.688216, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, start, 9198063526276699
1787078997.688234, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, end, 9198063526293451
1787078997.688245, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, start, 9198063526306091
1787078997.688270, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, end, 9198063526329803
1787078997.688283, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, start, 9198063526344027
1787078997.688299, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, end, 9198063526358843
1787078997.688312, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, end, 130754369896131564603044952235771642512, 1787078997.687924, 1, 1, 9198063526372955
1787078997.688344, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, start, 234095982117571321772748993126718055184, 1787078997.688332, 2, 1, 9198063526403307
1787078997.688363, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, start, 9198063526422267
1787078997.688379, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, end, 9198063526438027
1787078997.688391, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, start, 9198063526450539
1787078997.688406, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, end, 9198063526465835
1787078997.688419, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start, 9198063526478475
1787078997.688436, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end, 9198063526495275
1787078997.688448, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start, 9198063526507707
1787078997.688472, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end, 9198063526531435
1787078997.688485, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start, 9198063526544299
1787078997.688500, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end, 9198063526559259
1787078997.688512, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, start, 9198063526571227
1787078997.688527, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, end, 9198063526586123
1787078997.688539, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, start, 9198063526598027
1787078997.688558, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, end, 9198063526617307
1787078997.688570, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, start, 9198063526629659
1787078997.688586, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, end, 9198063526644859
1787078997.688597, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, start, 9198063526656955
1787078997.688612, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, end, 9198063526671819
1787078997.688625, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, start, 9198063526684027
1787078997.688639, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, end, 9198063526698123
1787078997.688651, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, end, 234095982117571321772748993126718055184, 1787078997.688332, 2, 1, 9198063526709851
1787078997.688674, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, start, 87796712289227690319063024938336243106, 1787078997.688666, 3, 1, 9198063526733803
1787078997.688691, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, start, 9198063526750875
1787078997.688706, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, end, 9198063526765595
1787078997.688718, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, start, 9198063526777611
1787078997.688735, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, end, 9198063526793819
1787078997.688747, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start, 9198063526806651
1787078997.688762, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end, 9198063526821483
1787078997.688774, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start, 9198063526833195
1787078997.688789, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end, 9198063526848027
1787078997.688800, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start, 9198063526859627
1787078997.688815, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end, 9198063526874363
