1787079118.384289, NoOp Chain Depth 10 Size 1048576 Mode copy, pipeline, prepare, start, 9198184222473923
1787079118.385127, NoOp Chain Depth 10 Size 1048576 Mode copy, pipeline, prepare, end, 9198184223193316
1787079118.385376, NoOp Chain Depth 10 Size 1048576 Mode copy, pipeline - train, run, start, 227353966376517620929900732946107209244, 1787079118.385360, 1, 1, 9198184223437796
1787079118.385412, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 0, run, start, 9198184223471780
1787079118.385432, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 0, run, end, 9198184223491876
1787079118.385446, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 1, run, start, 9198184223506500
1787079118.385988, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 1, run, end, 9198184224049044
1787079118.386010, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 2, run, start, 9198184224071060
1787079118.386566, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 2, run, end, 9198184224626900
1787079118.386585, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 3, run, start, 9198184224646180
1787079118.387182, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 3, run, end, 9198184225243061
1787079118.387201, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 4, run, start, 9198184225261717
1787079118.387668, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 4, run, end, 9198184225729061
1787079118.387687, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 5, run, start, 9198184225748453
1787079118.388260, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 5, run, end, 9198184226320326
1787079118.388280, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 6, run, start, 9198184226341318
1787079118.388710, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 6, run, end, 9198184226771414
1787079118.388729, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 7, run, start, 9198184226790534
1787079118.389168, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 7, run, end, 9198184227228614
1787079118.389187, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 8, run, start, 9198184227248678
1787079118.389621, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 8, run, end, 9198184227682054
1787079118.389640, NoOp Chain Depth 10 Size 1048576 Mode copy, Copy Stage 9, run, start, 9198184227700870
