1787079217.545598, NoOp Chain Depth 10 Size 1048576 Mode ref, pipeline, prepare, start, 9198283383781617
1787079217.547714, NoOp Chain Depth 10 Size 1048576 Mode ref, pipeline, prepare, end, 9198283385781475
1787079217.548098, NoOp Chain Depth 10 Size 1048576 Mode ref, pipeline - train, run, start, 235139930220160155663607379428486917261, 1787079217.548065, 1, 1, 9198283386161363
1787079217.548287, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 0, run, start, 9198283386349635
1787079217.548325, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 0, run, end, 9198283386385603
1787079217.548418, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 1, run, start, 9198283386478995
1787079217.548449, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 1, run, end, 9198283386508867
1787079217.548536, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 2, run, start, 9198283386596387
1787079217.548562, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 2, run, end, 9198283386621571
1787079217.548625, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 3, run, start, 9198283386684995
1787079217.548651, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 3, run, end, 9198283386710531
1787079217.548704, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 4, run, start, 9198283386763811
1787079217.548728, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 4, run, end, 9198283386787619
1787079217.548793, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 5, run, start, 9198283386853123
1787079217.548817, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 5, run, end, 9198283386876819
1787079217.549160, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 6, run, start, 9198283387220548
1787079217.549188, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 6, run, end, 9198283387247588
1787079217.549231, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 7, run, start, 9198283387290836
1787079217.549254, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 7, run, end, 9198283387313972
1787079217.549295, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 8, run, start, 9198283387354644
1787079217.549317, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 8, run, end, 9198283387376724
1787079217.549356, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 9, run, start, 9198283387415604
1787079217.549378, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 9, run, end, 9198283387437268
1787079217.549418, NoOp Chain Depth 10 Size 1048576 Mode ref, pipeline - train, run, end, 235139930220160155663607379428486917261, 1787079217.548065, 1, 1, 9198283387477380
1787079217.549730, NoOp Chain Depth 10 Size 1048576 Mode ref, pipeline - train, run, start, 57108712887964271634803376524165374707, 1787079217.549708, 2, 1, 9198283387789652
