1787664077.712070, NoOp Chain Depth 16 Size 0 Mode ref, pipeline, prepare, start, 9783143550669211
1787664077.714570, NoOp Chain Depth 16 Size 0 Mode ref, pipeline, prepare, end, 9783143552636521
1787664077.715142, NoOp Chain Depth 16 Size 0 Mode ref, pipeline - train, run, start, 17401173249218932596567776459460113155, 1787664077.715061, 1, 1, 9783143553206008
1787664077.715366, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, start, 9783143553428328
1787664077.715412, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, end, 9783143553472984
1787664077.715429, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, start, 9783143553489576
1787664077.715638, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, end, 9783143553698392
1787664077.715767, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 2, run, start, 9783143553827592
1787664077.715822, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 2, run, end, 9783143553881512
1787664077.715867, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 3, run, start, 9783143553927512
1787664077.715991, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 3, run, end, 9783143554051640
1787664077.716133, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 4, run, start, 9783143554192728
1787664077.716164, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 4, run, end, 9783143554223704
1787664077.716204, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 5, run, start, 9783143554264600
1787664077.716230, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 5, run, end, 9783143554289863
1787664077.716455, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 6, run, start, 9783143554515399
1787664077.716481, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 6, run, end, 9783143554540791
1787664077.716719, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 7, run, start, 9783143554778967
1787664077.716745, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 7, run, end, 9783143554805191
1787664077.716877, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 8, run, start, 9783143554937063
1787664077.716903, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 8, run, end, 9783143554962343
1787664077.717035, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 9, run, start, 9783143555095351
1787664077.717064, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 9, run, end, 9783143555123959
1787664077.717078, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 10, run, start, 9783143555137271
1787664077.717230, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 10, run, end, 9783143555289671
1787664077.717344, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 11, run, start, 9783143555403590
1787664077.717370, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 11, run, end, 9783143555429558
1787664077.717386, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 12, run, start, 9783143555446198
1787664077.717413, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 12, run, end, 9783143555473046
1787664077.717427, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 13, run, start, 9783143555486694
1787664077.717602, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 13, run, end, 9783143555661638
1787664077.717618, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 14, run, start, 9783143555678150
1787664077.717642, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 14, run, end, 9783143555701078
1787664077.717657, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 15, run, start, 9783143555716918
1787664077.717680, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 15, run, end, 9783143555739366
1787664077.717762, NoOp Chain Depth 16 Size 0 Mode ref, pipeline - train, run, end, 17401173249218932596567776459460113155, 1787664077.715061, 1, 1, 9783143555822694
1787664077.717880, NoOp Chain Depth 16 Size 0 Mode ref, pipeline - train, run, start, 282563159060530618473779508582114338991, 1787664077.717825, 2, 1, 9783143555939718
1787664077.717911, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, start, 9783143555970422
1787664077.717936, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, end, 9783143555995398
1787664077.718013, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, start, 9783143556072646
1787664077.718043, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, end, 9783143556102870
1787664077.718205, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 2, run, start, 9783143556265510
1787664077.718233, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 2, run, end, 9783143556292198
