1787664294.145409, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline, prepare, start, 9783359983948440
1787664294.151374, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline, prepare, end, 9783359989441731
1787664294.151852, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 30038041951099838431324304595744286281, 1787664294.151768, 1, 1, 9783359989917603
1787664294.159011, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 30038041951099838431324304595744286281, 1787664294.151768, 1, 1, 9783359997075262
1787664294.159094, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 148555382319703163186913305094325115312, 1787664294.159072, 2, 1, 9783359997155246
1787664294.162699, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 148555382319703163186913305094325115312, 1787664294.159072, 2, 1, 9783360000761947
1787664294.162812, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 1532983497050938455256843380726355685, 1787664294.162791, 3, 1, 9783360000872779
1787664294.168403, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 1532983497050938455256843380726355685, 1787664294.162791, 3, 1, 9783360006466327
1787664294.168454, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 257797270902177871133785593106541220633, 1787664294.168441, 4, 1, 9783360006514855
1787664294.172682, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 257797270902177871133785593106541220633, 1787664294.168441, 4, 1, 9783360010744435
1787664294.172732, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 26380650019877439330696329337555342437, 1787664294.172720, 5, 1, 9783360010792355
1787664294.177113, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 26380650019877439330696329337555342437, 1787664294.172720, 5, 1, 9783360015175696
1787664294.177161, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 152655305899993314809748704884498983247, 1787664294.177150, 6, 1, 9783360015221632
1787664294.178563, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 152655305899993314809748704884498983247, 1787664294.177150, 6, 1, 9783360016623647
1787664294.178604, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 83893563268167875298068879402235291533, 1787664294.178593, 7, 1, 9783360016664351
1787664294.179975, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 83893563268167875298068879402235291533, 1787664294.178593, 7, 1, 9783360018035406
1787664294.180016, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 80624164189996591971622397994479913395, 1787664294.180005, 8, 1, 9783360018075838
1787664294.182142, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 80624164189996591971622397994479913395, 1787664294.180005, 8, 1, 9783360020204364
1787664294.182189, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 278639005293715914891803597586414326554, 1787664294.182177, 9, 1, 9783360020249196
1787664294.184491, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 278639005293715914891803597586414326554, 1787664294.182177, 9, 1, 9783360022553899
1787664294.184543, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 50622346696679758940934678216107108772, 1787664294.184530, 10, 1, 9783360022603355
1787664294.189668, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 50622346696679758940934678216107108772, 1787664294.184530, 10, 1, 9783360027730823
1787664294.189719, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 18744790158710697028191089603555944836, 1787664294.189708, 11, 1, 9783360027779431
1787664294.191495, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 18744790158710697028191089603555944836, 1787664294.189708, 11, 1, 9783360029557157
1787664294.191544, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 318437023236030366777942536904381468536, 1787664294.191529, 12, 1, 9783360029604085
1787664294.192930, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 318437023236030366777942536904381468536, 1787664294.191529, 12, 1, 9783360030990500
1787664294.192976, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 328413713052814440658101528919492906728, 1787664294.192964, 13, 1, 9783360031035764
1787664294.195284, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 328413713052814440658101528919492906728, 1787664294.192964, 13, 1, 9783360033346626
1787664294.195334, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 268242917702174736019751926351338932691, 1787664294.195320, 14, 1, 9783360033394178
1787664294.197214, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 268242917702174736019751926351338932691, 1787664294.195320, 14, 1, 9783360035276337
1787664294.197263, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 147072260761290949371082425320118667105, 1787664294.197249, 15, 1, 9783360035323761
1787664294.200191, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 147072260761290949371082425320118667105, 1787664294.197249, 15, 1, 9783360038252623
1787664294.200236, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 118192581414830713759377429718081665949, 1787664294.200225, 16, 1, 9783360038296735
1787664294.201737, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 118192581414830713759377429718081665949, 1787664294.200225, 16, 1, 9783360039799502
1787664294.201884, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 123591703183445288977274136081287785154, 1787664294.201873, 17, 1, 9783360039944509
1787664294.206584, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 123591703183445288977274136081287785154, 1787664294.201873, 17, 1, 9783360044646106
1787664294.206629, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 102497493157462089374529289065735372647, 1787664294.206618, 18, 1, 9783360044689466
1787664294.211870, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 102497493157462089374529289065735372647, 1787664294.206618, 18, 1, 9783360049932886
1787664294.212017, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 10069807728423148251362763989694276019, 1787664294.211905, 19, 1, 9783360050077974
1787664294.214292, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 10069807728423148251362763989694276019, 1787664294.211905, 19, 1, 9783360052353876
1787664294.214339, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 155540373592749458157541524895111135022, 1787664294.214327, 20, 1, 9783360052398932
1787664294.216560, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 155540373592749458157541524895111135022, 1787664294.214327, 20, 1, 9783360054622035
1787664294.216605, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 88194841257118443665506987634396461723, 1787664294.216593, 21, 1, 9783360054665474
1787664294.218484, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 88194841257118443665506987634396461723, 1787664294.216593, 21, 1, 9783360056546257
1787664294.218530, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 249548272942315007907009128349299424111, 1787664294.218518, 22, 1, 9783360056590465
1787664294.219897, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 249548272942315007907009128349299424111, 1787664294.218518, 22, 1, 9783360057957968
1787664294.219938, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 313157700620366336137014425693176480583, 1787664294.219928, 23, 1, 9783360057998496
1787664294.222251, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 313157700620366336137014425693176480583, 1787664294.219928, 23, 1, 9783360060313486
1787664294.222299, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 96627790714522256825573546076947284211, 1787664294.222288, 24, 1, 9783360060359294
1787664294.224028, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 96627790714522256825573546076947284211, 1787664294.222288, 24, 1, 9783360062089901
1787664294.224073, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 295868826861139765219473164265179859454, 1787664294.224061, 25, 1, 9783360062133437
1787664294.225421, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 295868826861139765219473164265179859454, 1787664294.224061, 25, 1, 9783360063481724
1787664294.225461, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 34560653236904340258588755312785303022, 1787664294.225451, 26, 1, 9783360063520636
1787664294.231106, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 34560653236904340258588755312785303022, 1787664294.225451, 26, 1, 9783360069168920
1787664294.231153, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 128219681337940099122977408884879683829, 1787664294.231142, 27, 1, 9783360069213511
1787664294.233866, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 128219681337940099122977408884879683829, 1787664294.231142, 27, 1, 9783360071928613
1787664294.233911, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, start, 32517007773519360018210866609709020438, 1787664294.233900, 28, 1, 9783360071971157
1787664294.235943, NoOp Chain Depth 64 Size 0 Mode ref nolog, pipeline - train, run, end, 32517007773519360018210866609709020438, 1787664294.233900, 28, 1, 9783360074006932
