1787079871.677521, NoOp Chain Depth 2 Size 0 Mode ref, pipeline, prepare, start, 9198937515714632
1787079871.678194, NoOp Chain Depth 2 Size 0 Mode ref, pipeline, prepare, end, 9198937516261191
1787079871.678665, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 29169863118623910086724551390792536745, 1787079871.678593, 1, 1, 9198937516728503
1787079871.678772, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9198937516833479
1787079871.678807, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9198937516867927
1787079871.678989, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9198937517050310
1787079871.679018, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9198937517078198
1787079871.679131, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, end, 29169863118623910086724551390792536745, 1787079871.678593, 1, 1, 9198937517191622
1787079871.679214, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 40302501024356572772826515510410872695, 1787079871.679197, 2, 1, 9198937517273894
1787079871.679292, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9198937517351910
1787079871.679317, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9198937517376470
1787079871.679413, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9198937517472790
1787079871.679436, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9198937517495222
1787079871.679512, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, end, 40302501024356572772826515510410872695, 1787079871.679197, 2, 1, 9198937517571958
1787079871.679624, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 299408814643379154180808008480056562765, 1787079871.679597, 3, 1, 9198937517684326
1787079871.679872, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9198937517932438
1787079871.679897, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9198937517956102
1787079871.679937, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9198937517996326
1787079871.679960, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9198937518019990
1787079871.679999, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, end, 299408814643379154180808008480056562765, 1787079871.679597, 3, 1, 9198937518058758
