1787729949.311988, NoOp Chain Depth 128 Size 0 Mode ref, pipeline, prepare, start, 9849015150650202
1787729949.320308, NoOp Chain Depth 128 Size 0 Mode ref, pipeline, prepare, end, 9849015158376470
1787729949.320750, NoOp Chain Depth 128 Size 0 Mode ref, pipeline - train, run, start, 173150466635589265922214683901764180884, 1787729949.320715, 1, 1, 9849015158813126
1787729949.320809, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 0, run, start, 9849015158879590
1787729949.320871, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 0, run, end, 9849015158932630
1787729949.320898, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 1, run, start, 9849015158961686
1787729949.320933, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 1, run, end, 9849015158993222
1787729949.320957, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 2, run, start, 9849015159021334
1787729949.320992, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 2, run, end, 9849015159052358
1787729949.321012, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 3, run, start, 9849015159074838
1787729949.321039, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 3, run, end, 9849015159098406
1787729949.321058, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 4, run, start, 9849015159120438
1787729949.321084, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 4, run, end, 9849015159143766
1787729949.321103, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 5, run, start, 9849015159164454
1787729949.321128, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 5, run, end, 9849015159187190
1787729949.321146, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 6, run, start, 9849015159208710
1787729949.321172, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 6, run, end, 9849015159231334
1787729949.321190, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 7, run, start, 9849015159252294
1787729949.321215, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 7, run, end, 9849015159275206
1787729949.321234, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 8, run, start, 9849015159296150
1787729949.321259, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 8, run, end, 9849015159318934
1787729949.321277, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 9, run, start, 9849015159339670
1787729949.321303, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 9, run, end, 9849015159362214
1787729949.321321, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 10, run, start, 9849015159382966
1787729949.321346, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 10, run, end, 9849015159405142
1787729949.321366, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 11, run, start, 9849015159427558
1787729949.321390, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 11, run, end, 9849015159449222
1787729949.321408, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 12, run, start, 9849015159470182
1787729949.321433, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 12, run, end, 9849015159492598
1787729949.321451, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 13, run, start, 9849015159513142
1787729949.321476, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 13, run, end, 9849015159534982
1787729949.321493, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 14, run, start, 9849015159555942
1787729949.321519, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 14, run, end, 9849015159577942
1787729949.321537, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 15, run, start, 9849015159599286
1787729949.321561, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 15, run, end, 9849015159620726
1787729949.321579, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 16, run, start, 9849015159641366
1787729949.321604, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 16, run, end, 9849015159664102
1787729949.321623, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 17, run, start, 9849015159684486
1787729949.321646, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 17, run, end, 9849015159705142
1787729949.321663, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 18, run, start, 9849015159725366
1787729949.321686, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 18, run, end, 9849015159745686
1787729949.321700, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 19, run, start, 9849015159764262
