1787757769.097931, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline, prepare, start, 9876834936472220
1787757769.099777, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline, prepare, end, 9876834937844461
1787757769.100284, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 338988984227740801639043426040337470492, 1787757769.100235, 1, 1, 9876834938349229
1787757769.100719, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 338988984227740801639043426040337470492, 1787757769.100235, 1, 1, 9876834938780845
1787757769.100765, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 42823464671917012239919410568075823616, 1787757769.100753, 2, 1, 9876834938825149
1787757769.101241, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 42823464671917012239919410568075823616, 1787757769.100753, 2, 1, 9876834939301309
1787757769.101279, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 287733268857233369357736035718965384686, 1787757769.101269, 3, 1, 9876834939338029
1787757769.102393, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 287733268857233369357736035718965384686, 1787757769.101269, 3, 1, 9876834940454478
1787757769.102438, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 140244497854049290209800071177262403437, 1787757769.102426, 4, 1, 9876834940497966
1787757769.102668, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 140244497854049290209800071177262403437, 1787757769.102426, 4, 1, 9876834940728190
1787757769.102703, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 111435646570015688049666457533324764552, 1787757769.102693, 5, 1, 9876834940762782
1787757769.102933, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 111435646570015688049666457533324764552, 1787757769.102693, 5, 1, 9876834940992414
1787757769.102969, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 188139513814638263336449430488924163059, 1787757769.102959, 6, 1, 9876834941027934
1787757769.104167, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 188139513814638263336449430488924163059, 1787757769.102959, 6, 1, 9876834942226799
1787757769.104202, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 301502233738028164078637954889839406943, 1787757769.104192, 7, 1, 9876834942261167
1787757769.104421, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 301502233738028164078637954889839406943, 1787757769.104192, 7, 1, 9876834942480063
1787757769.104453, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 126182321899464380595247539925138979802, 1787757769.104445, 8, 1, 9876834942512895
1787757769.104672, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 126182321899464380595247539925138979802, 1787757769.104445, 8, 1, 9876834942732031
1787757769.104705, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 313005656518083983751436696707705942290, 1787757769.104696, 9, 1, 9876834942764719
1787757769.104927, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 313005656518083983751436696707705942290, 1787757769.104696, 9, 1, 9876834942986559
1787757769.104964, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 194365561555653020882133327941051470470, 1787757769.104954, 10, 1, 9876834943022991
1787757769.105189, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 194365561555653020882133327941051470470, 1787757769.104954, 10, 1, 9876834943248848
1787757769.105224, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 251319247541074811995434939850035462162, 1787757769.105214, 11, 1, 9876834943283152
1787757769.105448, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 251319247541074811995434939850035462162, 1787757769.105214, 11, 1, 9876834943506912
1787757769.105487, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 74940776832495396209951676356727418623, 1787757769.105477, 12, 1, 9876834943546160
1787757769.105713, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 74940776832495396209951676356727418623, 1787757769.105477, 12, 1, 9876834943772912
1787757769.105747, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 251335247078196672246714917583981849437, 1787757769.105738, 13, 1, 9876834943806864
1787757769.106008, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 251335247078196672246714917583981849437, 1787757769.105738, 13, 1, 9876834944067024
1787757769.106043, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 170388364046598067824385481135071902813, 1787757769.106034, 14, 1, 9876834944102432
1787757769.106271, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 170388364046598067824385481135071902813, 1787757769.106034, 14, 1, 9876834944331040
1787757769.106306, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 44683912315758933763594245882193966027, 1787757769.106297, 15, 1, 9876834944365712
1787757769.106533, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 44683912315758933763594245882193966027, 1787757769.106297, 15, 1, 9876834944592720
1787757769.106568, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 162426928506256712883949227423502639372, 1787757769.106559, 16, 1, 9876834944627600
1787757769.106787, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 162426928506256712883949227423502639372, 1787757769.106559, 16, 1, 9876834944846224
1787757769.106824, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 10375047695238525819319903214435625181, 1787757769.106811, 17, 1, 9876834944883632
1787757769.107733, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, end, 10375047695238525819319903214435625181, 1787757769.106811, 17, 1, 9876834945792529
1787757769.107768, NoOp Chain Depth 10 Size 1048576 Mode ref nolog, pipeline - train, run, start, 1603462843501099290073095215170820045, 1787757769.107758, 18, 1, 9876834945827025
