1787729382.704412, NoOp Chain Depth 2 Size 0 Mode ref, pipeline, prepare, start, 9848448542993082
1787729382.705643, NoOp Chain Depth 2 Size 0 Mode ref, pipeline, prepare, end, 9848448543710057
1787729382.706174, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 328372256622423507004216300736639845621, 1787729382.706107, 1, 1, 9848448544240265
1787729382.706291, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9848448544352777
1787729382.706336, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9848448544395977
1787729382.706356, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9848448544415849
1787729382.706381, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9848448544440809
1787729382.706410, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, end, 328372256622423507004216300736639845621, 1787729382.706107, 1, 1, 9848448544477481
1787729382.706733, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 124704723243097661860688427202213760223, 1787729382.706684, 2, 1, 9848448544795241
1787729382.706815, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9848448544874441
1787729382.706840, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9848448544899705
1787729382.706859, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9848448544918361
1787729382.706883, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9848448544942585
1787729382.706908, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, end, 124704723243097661860688427202213760223, 1787729382.706684, 2, 1, 9848448544972313
1787729382.707217, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 290787609259546649666361130860704822558, 1787729382.707162, 3, 1, 9848448545278633
1787729382.707312, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9848448545373209
1787729382.707350, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9848448545409465
1787729382.707375, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9848448545436313
1787729382.707406, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9848448545465465
1787729382.707428, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, end, 290787609259546649666361130860704822558, 1787729382.707162, 3, 1, 9848448545489337
1787729382.707546, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 278875065702862086682866739241099022976, 1787729382.707532, 4, 1, 9848448545606745
1787729382.707592, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9848448545651817
1787729382.707616, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9848448545675097
1787729382.707656, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9848448545715129
1787729382.707678, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9848448545737449
1787729382.707719, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, end, 278875065702862086682866739241099022976, 1787729382.707532, 4, 1, 9848448545778537
1787729382.707782, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 240502389451630218911707381616575810183, 1787729382.707750, 5, 1, 9848448545841577
1787729382.707818, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9848448545877592
1787729382.707841, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9848448545900424
1787729382.707881, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9848448545940712
1787729382.707903, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9848448545962360
1787729382.707942, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, end, 240502389451630218911707381616575810183, 1787729382.707750, 5, 1, 9848448546003336
1787729382.708002, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 265701245359764502654690880328538662363, 1787729382.707970, 6, 1, 9848448546061016
1787729382.708025, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9848448546084456
1787729382.708048, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9848448546107064
1787729382.708099, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9848448546158808
1787729382.708121, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9848448546180840
1787729382.708161, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, end, 265701245359764502654690880328538662363, 1787729382.707970, 6, 1, 9848448546220632
1787729382.708217, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 249924185910587183871165336424755286326, 1787729382.708185, 7, 1, 9848448546276984
1787729382.708252, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9848448546311528
1787729382.708275, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9848448546334056
1787729382.708316, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9848448546375064
1787729382.708337, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9848448546396728
1787729382.708377, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, end, 249924185910587183871165336424755286326, 1787729382.708185, 7, 1, 9848448546436712
1787729382.708432, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 67836441652661506918227158219698878979, 1787729382.708401, 8, 1, 9848448546491272
1787729382.708467, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9848448546526120
1787729382.708489, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9848448546549048
1787729382.708530, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9848448546589320
1787729382.708552, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9848448546611080
1787729382.708592, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, end, 67836441652661506918227158219698878979, 1787729382.708401, 8, 1, 9848448546651048
1787729382.708641, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 54305103959269393356079688890377355087, 1787729382.708632, 9, 1, 9848448546700600
1787729382.708681, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9848448546740680
1787729382.708704, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9848448546763464
1787729382.708745, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9848448546804056
1787729382.708767, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9848448546826264
