1787729556.637363, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline, prepare, start, 9848622475973794
1787729556.639237, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline, prepare, end, 9848622477303985
1787729556.639741, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, start, 250586653653872040904903166897039767882, 1787729556.639684, 1, 1, 9848622477806625
1787729556.640721, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, end, 250586653653872040904903166897039767882, 1787729556.639684, 1, 1, 9848622478787024
1787729556.641026, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, start, 50690491440747200564283578448544571723, 1787729556.640976, 2, 1, 9848622479089312
1787729556.641508, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, end, 50690491440747200564283578448544571723, 1787729556.640976, 2, 1, 9848622479568976
1787729556.641895, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, start, 317961473889268065433495048359114128234, 1787729556.641838, 3, 1, 9848622479960448
1787729556.642827, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, end, 317961473889268065433495048359114128234, 1787729556.641838, 3, 1, 9848622480887503
1787729556.642900, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, start, 209908157778838586827682109585912355607, 1787729556.642863, 4, 1, 9848622480959439
1787729556.643341, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, end, 209908157778838586827682109585912355607, 1787729556.642863, 4, 1, 9848622481401199
1787729556.643382, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, start, 196143909833845624323962714830307149227, 1787729556.643372, 5, 1, 9848622481441935
1787729556.644701, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, end, 196143909833845624323962714830307149227, 1787729556.643372, 5, 1, 9848622482765198
1787729556.644902, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, start, 182989231701348402393953837512206969741, 1787729556.644845, 6, 1, 9848622482965006
1787729556.645751, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, end, 182989231701348402393953837512206969741, 1787729556.644845, 6, 1, 9848622483813198
1787729556.645836, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, start, 250427562875108681169985841507125055342, 1787729556.645823, 7, 1, 9848622483896398
1787729556.646462, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, end, 250427562875108681169985841507125055342, 1787729556.645823, 7, 1, 9848622484522078
1787729556.646505, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, start, 58351720933315509228577763190597073895, 1787729556.646494, 8, 1, 9848622484564590
1787729556.647732, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, end, 58351720933315509228577763190597073895, 1787729556.646494, 8, 1, 9848622485796045
1787729556.647817, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, start, 115360035130666231583632105050255686569, 1787729556.647805, 9, 1, 9848622485877853
1787729556.648236, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, end, 115360035130666231583632105050255686569, 1787729556.647805, 9, 1, 9848622486296365
1787729556.648275, NoOp Chain Depth 8 Size 0 Mode ref nolog, pipeline - train, run, start, 116778891691910558964885070350441413708, 1787729556.648264, 10, 1, 9848622486334397
