1787733366.819360, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline, prepare, start, 9852432657938250
1787733366.821436, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline, prepare, end, 9852432659500631
1787733366.821913, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 60063537575552438848608195203246824819, 1787733366.821877, 1, 1, 9852432659975271
1787733366.821974, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start, 9852432660042918
1787733366.822034, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end, 9852432660095526
1787733366.822061, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start, 9852432660125334
1787733366.822133, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, end, 9852432660193350
1787733366.822156, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, start, 9852432660219350
1787733366.822197, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, end, 9852432660257046
1787733366.822218, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, start, 9852432660280182
1787733366.822250, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, end, 9852432660309974
1787733366.822272, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, start, 9852432660333686
1787733366.822303, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end, 9852432660362646
1787733366.822322, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start, 9852432660384166
1787733366.822352, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end, 9852432660411350
1787733366.822370, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start, 9852432660432390
1787733366.822400, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end, 9852432660459590
1787733366.822418, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start, 9852432660480390
1787733366.822448, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end, 9852432660507718
1787733366.822466, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start, 9852432660527701
1787733366.822495, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end, 9852432660554469
1787733366.822514, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, start, 9852432660576277
1787733366.822542, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, end, 9852432660601845
1787733366.822561, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, end, 60063537575552438848608195203246824819, 1787733366.821877, 1, 1, 9852432660622677
1787733366.822609, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 340249421077724620618105935231496302863, 1787733366.822592, 2, 1, 9852432660669013
1787733366.822635, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start, 9852432660695717
1787733366.822659, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end, 9852432660718341
1787733366.822678, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start, 9852432660738517
1787733366.822706, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, end, 9852432660764725
1787733366.822724, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, start, 9852432660784485
1787733366.822751, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, end, 9852432660810037
1787733366.822769, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, start, 9852432660830405
1787733366.822796, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, end, 9852432660855749
1787733366.822814, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, start, 9852432660875365
1787733366.822841, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end, 9852432660900405
1787733366.822860, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start, 9852432660920437
1787733366.822886, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end, 9852432660945381
1787733366.822905, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start, 9852432660965397
1787733366.822931, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end, 9852432660990645
1787733366.822946, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start, 9852432661007333
1787733366.822986, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end, 9852432661045236
1787733366.823005, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start, 9852432661065716
1787733366.823032, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end, 9852432661090916
1787733366.823050, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, start, 9852432661111412
1787733366.823076, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, end, 9852432661135204
1787733366.823094, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, end, 340249421077724620618105935231496302863, 1787733366.822592, 2, 1, 9852432661154724
