1787078512.223729, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline, prepare, start, 9197578061933065
1787078512.225848, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline, prepare, end, 9197578063915755
1787078512.226286, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 131486647453566702282468528254742446278, 1787078512.226221, 1, 1, 9197578064350236
1787078512.226474, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start, 9197578064536508
1787078512.226511, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end, 9197578064571740
1787078512.226654, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start, 9197578064714396
1787078512.226696, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, end, 9197578064756428
1787078512.226809, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, start, 9197578064869452
1787078512.226840, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, end, 9197578064900140
1787078512.226934, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, start, 9197578064993884
1787078512.226969, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, end, 9197578065028668
1787078512.226983, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, start, 9197578065042844
1787078512.227166, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end, 9197578065226349
1787078512.227184, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start, 9197578065243133
1787078512.227208, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end, 9197578065267565
1787078512.227268, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start, 9197578065327213
1787078512.227293, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end, 9197578065352429
1787078512.227463, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start, 9197578065523069
1787078512.227490, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end, 9197578065549597
1787078512.227529, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start, 9197578065588941
1787078512.227553, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end, 9197578065612669
1787078512.227590, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, start, 9197578065649437
1787078512.227613, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, end, 9197578065672093
1787078512.227893, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, end, 131486647453566702282468528254742446278, 1787078512.226221, 1, 1, 9197578065953085
1787078512.227964, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 248271517877971331445500309309858078057, 1787078512.227941, 2, 1, 9197578066023917
1787078512.228002, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start, 9197578066061453
