1787077935.249612, NoOp Chain Depth 16 Size 0 Mode ref, pipeline, prepare, start, 9197001088681476
1787077935.252310, NoOp Chain Depth 16 Size 0 Mode ref, pipeline, prepare, end, 9197001090376375
1787077935.252755, NoOp Chain Depth 16 Size 0 Mode ref, pipeline - train, run, start, 51343516267172701964578670559134762683, 1787077935.252682, 1, 1, 9197001090817864
1787077935.252951, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, start, 9197001091014024
1787077935.252990, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, end, 9197001091050536
1787077935.253085, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, start, 9197001091146808
1787077935.253117, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, end, 9197001091176936
1787077935.253203, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 2, run, start, 9197001091263737
1787077935.253229, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 2, run, end, 9197001091289161
1787077935.253316, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 3, run, start, 9197001091376041
1787077935.253457, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 3, run, end, 9197001091517449
1787077935.253477, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 4, run, start, 9197001091536409
1787077935.253500, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 4, run, end, 9197001091559801
1787077935.253561, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 5, run, start, 9197001091620313
1787077935.253583, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 5, run, end, 9197001091642841
1787077935.253622, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 6, run, start, 9197001091681817
1787077935.253834, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 6, run, end, 9197001091893578
1787077935.253876, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 7, run, start, 9197001091935978
1787077935.253901, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 7, run, end, 9197001091960346
1787077935.253938, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 8, run, start, 9197001091998138
1787077935.253964, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 8, run, end, 9197001092023434
1787077935.254001, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 9, run, start, 9197001092060522
1787077935.254023, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 9, run, end, 9197001092082858
1787077935.254061, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 10, run, start, 9197001092120922
1787077935.254083, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 10, run, end, 9197001092142634
1787077935.254122, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 11, run, start, 9197001092181834
1787077935.254144, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 11, run, end, 9197001092203178
1787077935.254181, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 12, run, start, 9197001092240202
1787077935.254202, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 12, run, end, 9197001092261370
1787077935.254239, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 13, run, start, 9197001092298586
1787077935.254261, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 13, run, end, 9197001092319850
1787077935.254836, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 14, run, start, 9197001092896907
1787077935.254863, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 14, run, end, 9197001092922747
1787077935.254901, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 15, run, start, 9197001092961052
1787077935.254923, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 15, run, end, 9197001092982236
1787077935.254965, NoOp Chain Depth 16 Size 0 Mode ref, pipeline - train, run, end, 51343516267172701964578670559134762683, 1787077935.252682, 1, 1, 9197001093024924
1787077935.255030, NoOp Chain Depth 16 Size 0 Mode ref, pipeline - train, run, start, 122711807397303067307835708425405565694, 1787077935.255010, 2, 1, 9197001093089948
1787077935.255067, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, start, 9197001093126684
1787077935.255090, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, end, 9197001093149388
1787077935.255128, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, start, 9197001093187804
1787077935.255166, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, end, 9197001093225836
1787077935.255203, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 2, run, start, 9197001093262444
