1769611524.408986, EfficientNetv2 S Imagenette training, pipeline, prepare, start
1769611524.409235, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, start
1769611524.409580, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, end
1769611524.409612, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, start
1769611524.936362, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, end
1769611524.936438, EfficientNetv2 S Imagenette training, pipeline, prepare, end
1769611524.936889, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 222995893538815640551453477536018870924, 1769611524.936870, 1, 1
1769611524.936947, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769611531.765291, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769611531.765483, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769611532.661816, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769611532.661889, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 222995893538815640551453477536018870924, 1769611524.936870, 1, 1
1769611532.662009, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 222995893538815640551453477536018870924, 1769611532.661977, 1, 2
1769611532.662055, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769611532.662159, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769611532.662216, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769611532.777378, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769611532.777435, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 222995893538815640551453477536018870924, 1769611532.661977, 1, 2
1769611532.777548, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 222995893538815640551453477536018870924, 1769611532.777530, 1, 3
1769611532.777591, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769611532.777848, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769611532.777893, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769611532.867852, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769611532.867917, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 222995893538815640551453477536018870924, 1769611532.777530, 1, 3
1769611532.868041, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 222995893538815640551453477536018870924, 1769611532.868013, 1, 4
1769611532.868097, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769611532.868350, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769611532.868384, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769611532.959213, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769611532.959267, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 222995893538815640551453477536018870924, 1769611532.868013, 1, 4
1769611532.959995, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 222995893538815640551453477536018870924, 1769611532.959957, 1, 5
1769611532.960072, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769611532.960352, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769611532.960428, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769611533.050161, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769611533.050215, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 222995893538815640551453477536018870924, 1769611532.959957, 1, 5
1769613696.165033, EfficientNetv2 S Imagenette training, pipeline, prepare, start
1769613696.165375, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, start
1769613696.165589, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, end
1769613696.165609, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, start
1769613696.697108, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, end
1769613696.697191, EfficientNetv2 S Imagenette training, pipeline, prepare, end
1769613696.697625, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 154837784431789462842100714813247106959, 1769613696.697605, 1, 1
1769613696.697687, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769613703.185068, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769613703.185325, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769613703.921992, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769613703.922052, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 154837784431789462842100714813247106959, 1769613696.697605, 1, 1
1769613703.922163, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 154837784431789462842100714813247106959, 1769613703.922140, 1, 2
1769613703.922206, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769613703.922491, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769613703.922534, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769613704.030955, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769613704.031013, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 154837784431789462842100714813247106959, 1769613703.922140, 1, 2
1769613704.031099, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 154837784431789462842100714813247106959, 1769613704.031079, 1, 3
1769613704.031133, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769613704.031398, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769613704.031480, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769613704.119924, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769613704.119982, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 154837784431789462842100714813247106959, 1769613704.031079, 1, 3
1769613704.120062, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 154837784431789462842100714813247106959, 1769613704.120044, 1, 4
1769613704.120104, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769613704.120371, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769613704.120427, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769613704.208134, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769613704.208190, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 154837784431789462842100714813247106959, 1769613704.120044, 1, 4
1769613704.208314, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 154837784431789462842100714813247106959, 1769613704.208270, 1, 5
1769613704.208401, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769613704.208715, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769613704.208743, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769613704.297371, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769613704.297450, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 154837784431789462842100714813247106959, 1769613704.208270, 1, 5
1769614554.843427, EfficientNetv2 S Imagenette training, pipeline, prepare, start
1769614554.843903, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, start
1769614554.844156, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, end
1769614554.844192, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, start
1769614555.389983, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, end
1769614555.390061, EfficientNetv2 S Imagenette training, pipeline, prepare, end
1769614555.390553, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614555.390527, 1, 1
1769614555.390615, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614561.846755, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614561.847144, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614562.588656, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614562.588719, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614555.390527, 1, 1
1769614562.588824, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614562.588797, 1, 2
1769614562.588869, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614562.588975, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614562.589050, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614562.704606, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614562.704664, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614562.588797, 1, 2
1769614562.704745, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614562.704730, 1, 3
1769614562.704783, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
