1787831621.118787, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline, prepare, start, 9950686957367691
1787831621.120240, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline, prepare, end, 9950686958304971
1787831621.120866, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 19304131603831136271094619265957815388, 1787831621.120802, 1, 1, 9950686958931147
1787831621.127872, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 19304131603831136271094619265957815388, 1787831621.120802, 1, 1, 9950686965945065
1787831621.128016, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 120550170176819494061257418125644937883, 1787831621.127981, 2, 1, 9950686966081833
1787831621.129709, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 120550170176819494061257418125644937883, 1787831621.127981, 2, 1, 9950686967776681
1787831621.129819, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 30791303419757637169136329045341262877, 1787831621.129787, 3, 1, 9950686967881097
1787831621.131443, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 30791303419757637169136329045341262877, 1787831621.129787, 3, 1, 9950686969509112
1787831621.131554, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 32779571596158567315302406801271075611, 1787831621.131507, 4, 1, 9950686969615784
1787831621.132397, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 32779571596158567315302406801271075611, 1787831621.131507, 4, 1, 9950686970461464
1787831621.132458, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 315507295529818347597572652296719694197, 1787831621.132444, 5, 1, 9950686970518824
1787831621.133249, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 315507295529818347597572652296719694197, 1787831621.132444, 5, 1, 9950686971312776
1787831621.133422, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 272916712079202807873147358008230647899, 1787831621.133384, 6, 1, 9950686971485256
1787831621.134306, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 272916712079202807873147358008230647899, 1787831621.133384, 6, 1, 9950686972376888
