1787833099.686865, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline, prepare, start, 8000844038250
1787833099.688549, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline, prepare, end, 8000845453375
1787833099.689052, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 275856454474892895783198014065478038810, 1787833099.688973, 1, 1, 8000845956458
1787833099.702875, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 275856454474892895783198014065478038810, 1787833099.688973, 1, 1, 8000859782500
1787833099.703124, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 262130954018560381822155818221386622239, 1787833099.703063, 2, 1, 8000860024125
1787833099.716568, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 262130954018560381822155818221386622239, 1787833099.703063, 2, 1, 8000873474166
1787833099.716792, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 334833646928200728430252966501330177431, 1787833099.716702, 3, 1, 8000873696208
1787833099.731466, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 334833646928200728430252966501330177431, 1787833099.716702, 3, 1, 8000888369750
1787833099.731799, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 14270813158483601308954100475564888603, 1787833099.731717, 4, 1, 8000888695625
1787833099.745903, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 14270813158483601308954100475564888603, 1787833099.731717, 4, 1, 8000902810875
1787833099.746210, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 2648082114466694726709993831655905446, 1787833099.746152, 5, 1, 8000903109291
1787833099.761961, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 2648082114466694726709993831655905446, 1787833099.746152, 5, 1, 8000918875916
1787833099.762254, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 198591112287554354524128451352530970278, 1787833099.762189, 6, 1, 8000919154250
1787833099.778397, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 198591112287554354524128451352530970278, 1787833099.762189, 6, 1, 8000935304625
1787833099.778655, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 92525520134593206007245566253095013065, 1787833099.778587, 7, 1, 8000935558708
1787833099.796106, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 92525520134593206007245566253095013065, 1787833099.778587, 7, 1, 8000953015291
1787833099.796355, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 107725862267060631664637627124260277168, 1787833099.796286, 8, 1, 8000953252958
1787833099.812317, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 107725862267060631664637627124260277168, 1787833099.796286, 8, 1, 8000969222583
1787833099.812557, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 335502086570991019528863682872865716107, 1787833099.812509, 9, 1, 8000969454291
1787833099.829017, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 335502086570991019528863682872865716107, 1787833099.812509, 9, 1, 8000985920875
1787833099.829183, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 226648070311565275167519169611382606389, 1787833099.829135, 10, 1, 8000986081625
1787833099.844948, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 226648070311565275167519169611382606389, 1787833099.829135, 10, 1, 8001001854791
1787833099.845097, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 232632066707905730162057765429461477564, 1787833099.845066, 11, 1, 8001001991666
1787833099.859856, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 232632066707905730162057765429461477564, 1787833099.845066, 11, 1, 8001016760541
1787833099.860099, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 31084557614059128817094545442698290684, 1787833099.860050, 12, 1, 8001017000750
1787833099.874166, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 31084557614059128817094545442698290684, 1787833099.860050, 12, 1, 8001031070583
1787833099.874392, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 28667673031089222043556430686831255694, 1787833099.874330, 13, 1, 8001031289250
1787833099.892481, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 28667673031089222043556430686831255694, 1787833099.874330, 13, 1, 8001049386416
1787833099.892718, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 289745687720133496696836441617975406831, 1787833099.892664, 14, 1, 8001049614208
1787833099.907639, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 289745687720133496696836441617975406831, 1787833099.892664, 14, 1, 8001064543041
1787833099.907941, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 211075926703038405780445425760384005177, 1787833099.907875, 15, 1, 8001064837500
1787833099.921483, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 211075926703038405780445425760384005177, 1787833099.907875, 15, 1, 8001078386458
1787833099.921806, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 76082814251525769440973071014877201848, 1787833099.921771, 16, 1, 8001078701916
1787833099.943364, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 76082814251525769440973071014877201848, 1787833099.921771, 16, 1, 8001100267541
1787833099.943567, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 285053995869693505544608391238068377548, 1787833099.943532, 17, 1, 8001100461458
1787833099.956719, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 285053995869693505544608391238068377548, 1787833099.943532, 17, 1, 8001113622791
1787833099.956934, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 24903841585897553338190721789434559892, 1787833099.956887, 18, 1, 8001113836333
1787833099.974292, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 24903841585897553338190721789434559892, 1787833099.956887, 18, 1, 8001131194375
1787833099.974570, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 127194507729534613040808788868237096384, 1787833099.974469, 19, 1, 8001131468083
1787833099.990617, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 127194507729534613040808788868237096384, 1787833099.974469, 19, 1, 8001147520708
1787833099.990816, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 88397575942557253147272209467647561592, 1787833099.990777, 20, 1, 8001147711250
1787833100.006423, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 88397575942557253147272209467647561592, 1787833099.990777, 20, 1, 8001163325666
1787833100.006631, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 290795808560098540613973518517254252252, 1787833100.006595, 21, 1, 8001163523333
1787833100.022751, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 290795808560098540613973518517254252252, 1787833100.006595, 21, 1, 8001179651666
1787833100.022970, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 5275551728104006987953633122197378326, 1787833100.022905, 22, 1, 8001179864625
1787833100.039432, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 5275551728104006987953633122197378326, 1787833100.022905, 22, 1, 8001196333041
1787833100.039650, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 16714615442163700261178062128060627463, 1787833100.039617, 23, 1, 8001196544125
1787833100.057077, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 16714615442163700261178062128060627463, 1787833100.039617, 23, 1, 8001213978375
1787833100.057311, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 247507010942584884297953223991130844389, 1787833100.057255, 24, 1, 8001214205916
1787833100.073133, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 247507010942584884297953223991130844389, 1787833100.057255, 24, 1, 8001230032041
1787833100.073320, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 328210332747743223389701688150638477059, 1787833100.073267, 25, 1, 8001230214208
1787833100.091096, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 328210332747743223389701688150638477059, 1787833100.073267, 25, 1, 8001247996250
1787833100.091331, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 171101345860322863226261797848265150790, 1787833100.091270, 26, 1, 8001248226416
1787833100.107666, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 171101345860322863226261797848265150790, 1787833100.091270, 26, 1, 8001264566791
1787833100.107892, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 220712492011527218322150618054178042023, 1787833100.107815, 27, 1, 8001264788208
1787833100.129479, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 220712492011527218322150618054178042023, 1787833100.107815, 27, 1, 8001286381000
1787833100.129698, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 191256911295214077660143157450398368311, 1787833100.129663, 28, 1, 8001286593291
1787833100.144935, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 191256911295214077660143157450398368311, 1787833100.129663, 28, 1, 8001301837958
1787833100.145153, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 51011664591485168861015235006030864634, 1787833100.145112, 29, 1, 8001302046416
1787833100.158546, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 51011664591485168861015235006030864634, 1787833100.145112, 29, 1, 8001315445166
1787833100.158769, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 177667290131239607067491378897134590540, 1787833100.158725, 30, 1, 8001315661791
1787833100.172522, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 177667290131239607067491378897134590540, 1787833100.158725, 30, 1, 8001329422333
1787833100.172719, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 101984211676313081913432633074006635910, 1787833100.172678, 31, 1, 8001329612708
1787833100.186343, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 101984211676313081913432633074006635910, 1787833100.172678, 31, 1, 8001343243125
1787833100.186603, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 41154173807009971504819138929151327330, 1787833100.186550, 32, 1, 8001343495833
1787833100.200810, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 41154173807009971504819138929151327330, 1787833100.186550, 32, 1, 8001357711333
1787833100.201048, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 45333470690242198797818142701919319197, 1787833100.201013, 33, 1, 8001357947291
1787833100.213525, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 45333470690242198797818142701919319197, 1787833100.201013, 33, 1, 8001370425375
1787833100.213791, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 167407648643761067406334498231176766433, 1787833100.213750, 34, 1, 8001370683583
1787833100.234273, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 167407648643761067406334498231176766433, 1787833100.213750, 34, 1, 8001391201458
1787833100.235405, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 326831700228212432631392542758136677170, 1787833100.235269, 35, 1, 8001392327791
1787833100.248782, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 326831700228212432631392542758136677170, 1787833100.235269, 35, 1, 8001405684291
1787833100.249037, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 314359407524042445886139412133815629206, 1787833100.249002, 36, 1, 8001405929166
1787833100.261590, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 314359407524042445886139412133815629206, 1787833100.249002, 36, 1, 8001418491208
1787833100.261844, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 269680097573930725732862801732662200516, 1787833100.261725, 37, 1, 8001418737250
1787833100.274429, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 269680097573930725732862801732662200516, 1787833100.261725, 37, 1, 8001431328166
1787833100.274649, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 245605456315945055950699173124705964816, 1787833100.274594, 38, 1, 8001431540083
1787833100.287384, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 245605456315945055950699173124705964816, 1787833100.274594, 38, 1, 8001444282541
1787833100.287716, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 330634993188835713254646960400461592211, 1787833100.287595, 39, 1, 8001444609041
1787833100.301939, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 330634993188835713254646960400461592211, 1787833100.287595, 39, 1, 8001458839583
1787833100.302096, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 10439199861496683936354472981007995970, 1787833100.302062, 40, 1, 8001458985625
1787833100.314730, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 10439199861496683936354472981007995970, 1787833100.302062, 40, 1, 8001471629541
1787833100.314930, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 200918541903901327089120047540368117321, 1787833100.314881, 41, 1, 8001471828375
1787833100.327197, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 200918541903901327089120047540368117321, 1787833100.314881, 41, 1, 8001484099333
1787833100.327467, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 299491533021342317938340703051869974256, 1787833100.327338, 42, 1, 8001484357583
1787833100.342112, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 299491533021342317938340703051869974256, 1787833100.327338, 42, 1, 8001499013333
1787833100.342450, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 306318018948417895605392447069468122763, 1787833100.342346, 43, 1, 8001499340250
1787833100.355262, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 306318018948417895605392447069468122763, 1787833100.342346, 43, 1, 8001512163000
1787833100.355558, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 125375760499692429683333388575425256643, 1787833100.355512, 44, 1, 8001512451333
1787833100.368236, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 125375760499692429683333388575425256643, 1787833100.355512, 44, 1, 8001525138125
1787833100.368540, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 66591958866711286953736431501495279705, 1787833100.368486, 45, 1, 8001525429875
1787833100.381602, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 66591958866711286953736431501495279705, 1787833100.368486, 45, 1, 8001538501750
1787833100.381844, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 53678514951610769408493220188474051475, 1787833100.381784, 46, 1, 8001538734250
1787833100.396642, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 53678514951610769408493220188474051475, 1787833100.381784, 46, 1, 8001553549583
1787833100.396927, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 107300913976321420377113665481935086924, 1787833100.396884, 47, 1, 8001553819208
1787833100.413107, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 107300913976321420377113665481935086924, 1787833100.396884, 47, 1, 8001570007166
1787833100.413303, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 197018178047114058808006530553239724276, 1787833100.413244, 48, 1, 8001570191333
1787833100.426326, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 197018178047114058808006530553239724276, 1787833100.413244, 48, 1, 8001583225958
1787833100.426570, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 3451459255501148066606625512537439359, 1787833100.426522, 49, 1, 8001583459750
1787833100.438926, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 3451459255501148066606625512537439359, 1787833100.426522, 49, 1, 8001595826833
1787833100.439128, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 41582560542253079801331703403282411723, 1787833100.439095, 50, 1, 8001596014125
1787833100.452151, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 41582560542253079801331703403282411723, 1787833100.439095, 50, 1, 8001609046458
1787833100.452358, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 8618074427032445240011538503530567251, 1787833100.452334, 51, 1, 8001609248083
1787833100.465264, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 8618074427032445240011538503530567251, 1787833100.452334, 51, 1, 8001622163041
1787833100.465451, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 15942866485794105680507389168580104094, 1787833100.465397, 52, 1, 8001622340291
1787833100.478598, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 15942866485794105680507389168580104094, 1787833100.465397, 52, 1, 8001635495958
1787833100.478811, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 96731602346222577706808482536796361456, 1787833100.478765, 53, 1, 8001635699083
1787833100.493949, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 96731602346222577706808482536796361456, 1787833100.478765, 53, 1, 8001650854791
1787833100.494189, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 308854543018767155680628910415226543580, 1787833100.494144, 54, 1, 8001651078375
1787833100.506623, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 308854543018767155680628910415226543580, 1787833100.494144, 54, 1, 8001663519000
1787833100.506800, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 311653100048774430037411529449384647749, 1787833100.506750, 55, 1, 8001663688583
1787833100.517979, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 311653100048774430037411529449384647749, 1787833100.506750, 55, 1, 8001674872250
1787833100.518276, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 105685310212360709878083036782662485551, 1787833100.518239, 56, 1, 8001675164250
1787833100.531328, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 105685310212360709878083036782662485551, 1787833100.518239, 56, 1, 8001688226708
1787833100.531571, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 243514859689593222936606693940107246419, 1787833100.531518, 57, 1, 8001688458041
1787833100.543579, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 243514859689593222936606693940107246419, 1787833100.531518, 57, 1, 8001700471000
1787833100.543787, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 168170727314270995403056180877165450, 1787833100.543759, 58, 1, 8001700677000
1787833100.555582, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 168170727314270995403056180877165450, 1787833100.543759, 58, 1, 8001712476083
1787833100.555826, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 149343044145982068803993274913346503944, 1787833100.555778, 59, 1, 8001712713916
1787833100.567797, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 149343044145982068803993274913346503944, 1787833100.555778, 59, 1, 8001724689833
1787833100.568096, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 129977732205898185551423972437169546576, 1787833100.568057, 60, 1, 8001724983333
1787833100.580632, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 129977732205898185551423972437169546576, 1787833100.568057, 60, 1, 8001737523208
1787833100.580806, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 321367667911624163702886775339064536517, 1787833100.580768, 61, 1, 8001737693250
1787833100.595522, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 321367667911624163702886775339064536517, 1787833100.580768, 61, 1, 8001752423333
1787833100.595810, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 321996182412860364937283814038751637541, 1787833100.595736, 62, 1, 8001752700166
