1787666196.402713, NoOp Chain Depth 128 Size 0 Mode ref, pipeline, prepare, start, 214373341452083
1787666196.413506, NoOp Chain Depth 128 Size 0 Mode ref, pipeline, prepare, end, 214373351993916
1787666196.413899, NoOp Chain Depth 128 Size 0 Mode ref, pipeline - train, run, start, 123486282910374746914635204666025966796, 1787666196.413797, 1, 1, 214373352383625
1787666196.414040, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 0, run, start, 214373352521500
1787666196.414143, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 0, run, end, 214373352619458
1787666196.414273, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 1, run, start, 214373352749958
1787666196.414340, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 1, run, end, 214373352814500
1787666196.414378, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 2, run, start, 214373352851916
1787666196.414418, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 2, run, end, 214373352893041
1787666196.414489, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 3, run, start, 214373352964083
1787666196.414640, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 3, run, end, 214373353116583
1787666196.414680, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 4, run, start, 214373353155000
1787666196.414722, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 4, run, end, 214373353196666
1787666196.414754, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 5, run, start, 214373353228208
1787666196.414792, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 5, run, end, 214373353266166
1787666196.414818, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 6, run, start, 214373353292083
1787666196.414916, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 6, run, end, 214373353390791
1787666196.414944, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 7, run, start, 214373353417666
1787666196.415088, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 7, run, end, 214373353562875
1787666196.415221, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 8, run, start, 214373353701916
1787666196.415324, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 8, run, end, 214373353804166
1787666196.415434, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 9, run, start, 214373353911666
