1787665479.221923, NoOp Chain Depth 32 Size 0 Mode ref, pipeline, prepare, start, 213656138471375
1787665479.223672, NoOp Chain Depth 32 Size 0 Mode ref, pipeline, prepare, end, 213656140013708
1787665479.224067, NoOp Chain Depth 32 Size 0 Mode ref, pipeline - train, run, start, 132910567024058884115164795320053936652, 1787665479.224041, 1, 1, 213656140409666
1787665479.224133, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 0, run, start, 213656140473291
1787665479.224184, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 0, run, end, 213656140522208
1787665479.224207, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 1, run, start, 213656140546250
1787665479.224278, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 1, run, end, 213656140616958
1787665479.224298, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 2, run, start, 213656140634666
1787665479.224349, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 2, run, end, 213656140686125
1787665479.224367, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 3, run, start, 213656140704833
1787665479.224410, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 3, run, end, 213656140746333
1787665479.224430, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 4, run, start, 213656140770791
1787665479.224486, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 4, run, end, 213656140824666
1787665479.224504, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 5, run, start, 213656140840416
1787665479.224540, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 5, run, end, 213656140875833
1787665479.224554, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 6, run, start, 213656140891541
1787665479.224600, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 6, run, end, 213656140937208
1787665479.224616, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 7, run, start, 213656140951750
1787665479.224677, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 7, run, end, 213656141013875
1787665479.224697, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 8, run, start, 213656141034333
1787665479.224739, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 8, run, end, 213656141076125
1787665479.224756, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 9, run, start, 213656141093291
1787665479.224795, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 9, run, end, 213656141131416
1787665479.224810, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 10, run, start, 213656141146708
1787665479.224847, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 10, run, end, 213656141183500
1787665479.224861, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 11, run, start, 213656141197333
1787665479.224896, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 11, run, end, 213656141232125
1787665479.224911, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 12, run, start, 213656141247791
1787665479.224950, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 12, run, end, 213656141286083
1787665479.224964, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 13, run, start, 213656141300500
1787665479.225000, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 13, run, end, 213656141335625
1787665479.225013, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 14, run, start, 213656141349750
1787665479.225048, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 14, run, end, 213656141384583
1787665479.225065, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 15, run, start, 213656141402000
1787665479.225106, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 15, run, end, 213656141442583
1787665479.225119, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 16, run, start, 213656141455750
1787665479.225152, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 16, run, end, 213656141488166
1787665479.225166, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 17, run, start, 213656141501875
1787665479.225202, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 17, run, end, 213656141538208
1787665479.225219, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 18, run, start, 213656141557083
1787665479.225264, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 18, run, end, 213656141600833
1787665479.225280, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 19, run, start, 213656141616708
1787665479.225334, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 19, run, end, 213656141671250
1787665479.225348, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 20, run, start, 213656141684833
1787665479.225381, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 20, run, end, 213656141716625
1787665479.225394, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 21, run, start, 213656141729916
1787665479.225426, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 21, run, end, 213656141763000
1787665479.225440, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 22, run, start, 213656141776583
1787665479.225477, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 22, run, end, 213656141813500
1787665479.225492, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 23, run, start, 213656141828666
1787665479.225527, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 23, run, end, 213656141863458
1787665479.225541, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 24, run, start, 213656141876958
1787665479.225572, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 24, run, end, 213656141907708
1787665479.225585, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 25, run, start, 213656141920958
1787665479.225617, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 25, run, end, 213656141952916
