1787663932.755851, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline, prepare, start, 212109654099416
1787663932.756660, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline, prepare, end, 212109654591750
1787663932.757334, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 136166666023267907910043593276590253572, 1787663932.757211, 1, 1, 212109655265125
1787663932.757503, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 136166666023267907910043593276590253572, 1787663932.757211, 1, 1, 212109655430791
1787663932.757556, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 251729037875478071812376098539230820746, 1787663932.757541, 2, 1, 212109655480541
1787663932.757672, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 251729037875478071812376098539230820746, 1787663932.757541, 2, 1, 212109655600583
1787663932.757733, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 70287422063306756154646519293471344624, 1787663932.757718, 3, 1, 212109655660333
1787663932.757864, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 70287422063306756154646519293471344624, 1787663932.757718, 3, 1, 212109655791666
1787663932.757926, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 9733369386482248884126219286084219931, 1787663932.757910, 4, 1, 212109655851541
1787663932.758053, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 9733369386482248884126219286084219931, 1787663932.757910, 4, 1, 212109655978458
1787663932.758104, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 255736451551765732017885277565151816666, 1787663932.758087, 5, 1, 212109656031250
1787663932.758218, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 255736451551765732017885277565151816666, 1787663932.758087, 5, 1, 212109656142708
1787663932.758259, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 315069292937117632349077698294854456980, 1787663932.758246, 6, 1, 212109656184333
1787663932.758365, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 315069292937117632349077698294854456980, 1787663932.758246, 6, 1, 212109656290583
1787663932.758412, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 49147369246153706380883561850570063969, 1787663932.758399, 7, 1, 212109656337000
1787663932.758523, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 49147369246153706380883561850570063969, 1787663932.758399, 7, 1, 212109656447750
1787663932.758566, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 136937368962382191908813515496255274437, 1787663932.758553, 8, 1, 212109656490458
1787663932.758671, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 136937368962382191908813515496255274437, 1787663932.758553, 8, 1, 212109656597333
1787663932.758717, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 221121603183831543062643908866860665372, 1787663932.758703, 9, 1, 212109656641375
1787663932.758834, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 221121603183831543062643908866860665372, 1787663932.758703, 9, 1, 212109656758000
1787663932.758880, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 205344575669897389785890337616220192593, 1787663932.758866, 10, 1, 212109656804208
1787663932.758983, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 205344575669897389785890337616220192593, 1787663932.758866, 10, 1, 212109656906958
1787663932.759025, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 281244681087414320770335513030765327892, 1787663932.759009, 11, 1, 212109656948708
1787663932.759129, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 281244681087414320770335513030765327892, 1787663932.759009, 11, 1, 212109657054250
1787663932.759175, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 89172686737273685712097625511030356868, 1787663932.759159, 12, 1, 212109657099500
1787663932.759284, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 89172686737273685712097625511030356868, 1787663932.759159, 12, 1, 212109657208333
1787663932.759325, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 76748052303245365899685966853097550297, 1787663932.759309, 13, 1, 212109657251208
1787663932.759433, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 76748052303245365899685966853097550297, 1787663932.759309, 13, 1, 212109657357708
1787663932.759474, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 121453198439443470941075494572416861422, 1787663932.759461, 14, 1, 212109657398666
1787663932.759574, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 121453198439443470941075494572416861422, 1787663932.759461, 14, 1, 212109657498375
1787663932.759614, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 256065498905116957058069085144300880114, 1787663932.759600, 15, 1, 212109657538083
1787663932.759713, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 256065498905116957058069085144300880114, 1787663932.759600, 15, 1, 212109657636833
1787663932.759750, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 114357304074261277299170785605916976828, 1787663932.759737, 16, 1, 212109657675500
1787663932.759847, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, end, 114357304074261277299170785605916976828, 1787663932.759737, 16, 1, 212109657770541
1787663932.759886, NoOp Chain Depth 5 Size 0 Mode ref nolog, pipeline - train, run, start, 50092905532253384790229141754764738146, 1787663932.759874, 17, 1, 212109657809750
