1787733383.405335, NoOp Chain Depth 10 Size 0 Mode copy, pipeline, prepare, start, 226450270562708
1787733383.406194, NoOp Chain Depth 10 Size 0 Mode copy, pipeline, prepare, end, 226450271183291
1787733383.406445, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, start, 226724978955425646786605043214667521094, 1787733383.406423, 1, 1, 226450271433291
1787733383.406494, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, start, 226450271481750
1787733383.406542, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, end, 226450271527791
1787733383.406566, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, start, 226450271555333
1787733383.406633, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, end, 226450271618791
1787733383.406655, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, start, 226450271640541
1787733383.406703, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, end, 226450271688541
1787733383.406725, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, start, 226450271713750
1787733383.406787, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, end, 226450271773208
1787733383.406807, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, start, 226450271791416
1787733383.406849, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, end, 226450271834166
1787733383.406866, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, start, 226450271850625
1787733383.406909, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, end, 226450271893541
1787733383.406923, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, start, 226450271907166
1787733383.406966, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, end, 226450271949875
1787733383.406985, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, start, 226450271971625
1787733383.407033, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, end, 226450272017500
1787733383.407053, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, start, 226450272038500
1787733383.407100, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, end, 226450272084083
1787733383.407115, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, start, 226450272099583
1787733383.407155, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, end, 226450272139500
1787733383.407169, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, end, 226724978955425646786605043214667521094, 1787733383.406423, 1, 1, 226450272155041
1787733383.407234, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, start, 166628718228988197267536602940272704018, 1787733383.407219, 2, 1, 226450272219625
1787733383.407267, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, start, 226450272251041
1787733383.407292, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, end, 226450272275416
1787733383.407305, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, start, 226450272290291
1787733383.407343, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, end, 226450272326958
1787733383.407356, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, start, 226450272339916
1787733383.407390, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, end, 226450272374000
1787733383.407403, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, start, 226450272387291
1787733383.407436, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, end, 226450272419791
1787733383.407450, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, start, 226450272435333
1787733383.407491, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, end, 226450272475500
1787733383.407504, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, start, 226450272488541
1787733383.407536, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, end, 226450272520000
1787733383.407555, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, start, 226450272539375
1787733383.407577, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, end, 226450272560666
1787733383.407593, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, start, 226450272578291
1787733383.407641, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, end, 226450272625833
1787733383.407658, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, start, 226450272644333
1787733383.407702, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, end, 226450272686541
1787733383.407716, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, start, 226450272701083
1787733383.407751, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, end, 226450272735791
1787733383.407766, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, end, 166628718228988197267536602940272704018, 1787733383.407219, 2, 1, 226450272752000
1787733383.407828, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, start, 175203860138074299728059979354092656253, 1787733383.407812, 3, 1, 226450272813333
1787733383.407858, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, start, 226450272842916
1787733383.407886, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, end, 226450272870208
1787733383.407901, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, start, 226450272885375
1787733383.407939, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, end, 226450272923208
1787733383.407956, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, start, 226450272941958
1787733383.407997, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, end, 226450272981875
1787733383.408012, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, start, 226450272996083
1787733383.408043, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, end, 226450273027125
1787733383.408057, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, start, 226450273041750
1787733383.408093, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, end, 226450273078041
1787733383.408111, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, start, 226450273096875
1787733383.408154, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, end, 226450273138583
1787733383.408170, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, start, 226450273155416
1787733383.408209, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, end, 226450273193166
1787733383.408224, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, start, 226450273208333
1787733383.408260, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, end, 226450273244458
1787733383.408273, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, start, 226450273257541
1787733383.408308, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, end, 226450273291875
1787733383.408322, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, start, 226450273306000
1787733383.408354, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, end, 226450273338458
1787733383.408366, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, end, 175203860138074299728059979354092656253, 1787733383.407812, 3, 1, 226450273350708
1787733383.408417, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, start, 164539193704896123746250921997385723730, 1787733383.408403, 4, 1, 226450273401083
1787733383.408444, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, start, 226450273427791
1787733383.408466, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, end, 226450273449416
1787733383.408480, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, start, 226450273464458
1787733383.408516, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, end, 226450273500125
1787733383.408528, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, start, 226450273512416
1787733383.408560, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, end, 226450273543375
1787733383.408575, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, start, 226450273561833
1787733383.408619, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, end, 226450273604333
1787733383.408634, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, start, 226450273618666
1787733383.408669, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, end, 226450273653250
1787733383.408683, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, start, 226450273669291
1787733383.408724, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, end, 226450273709416
1787733383.408738, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, start, 226450273722458
1787733383.408770, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, end, 226450273753750
1787733383.408784, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, start, 226450273769791
1787733383.408823, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, end, 226450273807166
1787733383.408840, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, start, 226450273824541
1787733383.408876, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, end, 226450273859750
1787733383.408889, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, start, 226450273873333
1787733383.408930, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, end, 226450273915625
1787733383.408945, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, end, 164539193704896123746250921997385723730, 1787733383.408403, 4, 1, 226450273929541
1787733383.408998, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, start, 69226795241431476517102138070696337292, 1787733383.408985, 5, 1, 226450273982333
1787733383.409025, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, start, 226450274009500
1787733383.409049, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, end, 226450274033375
1787733383.409065, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, start, 226450274050333
1787733383.409108, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, end, 226450274092208
1787733383.409127, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, start, 226450274111458
1787733383.409163, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, end, 226450274147583
1787733383.409178, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, start, 226450274162500
1787733383.409210, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, end, 226450274193916
1787733383.409228, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, start, 226450274212291
1787733383.409248, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, end, 226450274232083
1787733383.409262, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, start, 226450274246375
1787733383.409296, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, end, 226450274279833
1787733383.409310, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, start, 226450274296208
1787733383.409355, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, end, 226450274339958
1787733383.409370, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, start, 226450274354625
1787733383.409403, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, end, 226450274386750
1787733383.409417, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, start, 226450274402708
1787733383.409453, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, end, 226450274437708
1787733383.409466, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, start, 226450274450458
1787733383.409497, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, end, 226450274480583
1787733383.409509, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, end, 69226795241431476517102138070696337292, 1787733383.408985, 5, 1, 226450274492958
