1787036343.701611, NoOp Chain Depth 10 Size 1024 Mode ref, pipeline, prepare, start, 337270166257333
1787036343.709267, NoOp Chain Depth 10 Size 1024 Mode ref, pipeline, prepare, end, 337270173496291
1787036343.710365, NoOp Chain Depth 10 Size 1024 Mode ref, pipeline - train, run, start, 310444648602198878716301062022026874991, 1787036343.710207, 1, 1, 337270174573791
1787036343.710676, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 0, run, start, 337270174883958
1787036343.710888, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 0, run, end, 337270175089708
1787036343.711054, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 1, run, start, 337270175253541
1787036343.711290, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 1, run, end, 337270175491000
1787036343.711458, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 2, run, start, 337270175657666
1787036343.711658, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 2, run, end, 337270175857250
1787036343.711827, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 3, run, start, 337270176024583
1787036343.712002, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 3, run, end, 337270176199916
1787036343.712162, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 4, run, start, 337270176360208
1787036343.712349, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 4, run, end, 337270176547000
1787036343.712509, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 5, run, start, 337270176706791
1787036343.712712, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 5, run, end, 337270176909541
1787036343.712863, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 6, run, start, 337270177060458
1787036343.713051, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 6, run, end, 337270177249083
1787036343.713193, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 7, run, start, 337270177391125
1787036343.713369, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 7, run, end, 337270177565000
1787036343.713484, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 8, run, start, 337270177679500
1787036343.713628, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 8, run, end, 337270177822041
1787036343.713793, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 9, run, start, 337270177989416
1787036343.713894, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 9, run, end, 337270178089250
1787036343.714064, NoOp Chain Depth 10 Size 1024 Mode ref, pipeline - train, run, end, 310444648602198878716301062022026874991, 1787036343.710207, 1, 1, 337270178262291
1787036343.714347, NoOp Chain Depth 10 Size 1024 Mode ref, pipeline - train, run, start, 98356764368259024918659731012105756937, 1787036343.714265, 2, 1, 337270178544583
1787036343.714500, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 0, run, start, 337270178696750
1787036343.714614, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 0, run, end, 337270178810291
1787036343.714757, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 1, run, start, 337270178955750
1787036343.714939, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 1, run, end, 337270179134791
1787036343.715080, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 2, run, start, 337270179277541
1787036343.715233, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 2, run, end, 337270179428958
1787036343.715385, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 3, run, start, 337270179589125
1787036343.715612, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 3, run, end, 337270179810541
1787036343.715813, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 4, run, start, 337270180017625
1787036343.716029, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 4, run, end, 337270180227083
1787036343.716168, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 5, run, start, 337270180364791
1787036343.716341, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 5, run, end, 337270180538833
1787036343.716522, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 6, run, start, 337270180718833
1787036343.716638, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 6, run, end, 337270180835666
1787036343.716822, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 7, run, start, 337270181018500
1787036343.716922, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 7, run, end, 337270181116750
1787036343.716974, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 8, run, start, 337270181168291
1787036343.717043, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 8, run, end, 337270181237208
1787036343.717095, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 9, run, start, 337270181288625
1787036343.717157, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 9, run, end, 337270181351583
1787036343.717207, NoOp Chain Depth 10 Size 1024 Mode ref, pipeline - train, run, end, 98356764368259024918659731012105756937, 1787036343.714265, 2, 1, 337270181400958
1787036343.717705, NoOp Chain Depth 10 Size 1024 Mode ref, pipeline - train, run, start, 211079785931097612829849794691138815880, 1787036343.717607, 3, 1, 337270181904125
1787036343.717827, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 0, run, start, 337270182026291
1787036343.718064, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 0, run, end, 337270182263375
1787036343.718141, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 1, run, start, 337270182337125
1787036343.718539, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 1, run, end, 337270182737000
1787036343.718681, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 2, run, start, 337270182879125
1787036343.718846, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 2, run, end, 337270183042083
1787036343.718905, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 3, run, start, 337270183099208
1787036343.719070, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 3, run, end, 337270183265416
1787036343.719128, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 4, run, start, 337270183323208
1787036343.719199, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 4, run, end, 337270183393208
1787036343.719251, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 5, run, start, 337270183446291
1787036343.719332, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 5, run, end, 337270183526000
1787036343.719385, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 6, run, start, 337270183579916
1787036343.719447, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 6, run, end, 337270183641000
1787036343.719492, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 7, run, start, 337270183686166
1787036343.719926, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 7, run, end, 337270184125041
1787036343.720143, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 8, run, start, 337270184340833
1787036343.720232, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 8, run, end, 337270184427291
1787036343.720291, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 9, run, start, 337270184486291
1787036343.720361, NoOp Chain Depth 10 Size 1024 Mode ref, Ref Stage 9, run, end, 337270184556125
1787036343.720416, NoOp Chain Depth 10 Size 1024 Mode ref, pipeline - train, run, end, 211079785931097612829849794691138815880, 1787036343.717607, 3, 1, 337270184611208
