1787036820.282009, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline, prepare, start, 337746741101125
1787036820.284746, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline, prepare, end, 337746743387833
1787036820.285825, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, start, 51107775913007345123041675274310364601, 1787036820.285735, 1, 1, 337746744463791
1787036820.286091, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, start, 337746744709416
1787036820.286234, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, end, 337746744843250
1787036820.286303, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, start, 337746744913916
1787036820.291108, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, end, 337746749714541
1787036820.291160, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, start, 337746749767208
1787036820.294571, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, end, 337746753176791
1787036820.294622, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, start, 337746753228333
1787036820.297219, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, end, 337746755824833
1787036820.297263, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, start, 337746755869250
1787036820.299879, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, end, 337746758483250
1787036820.299916, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, start, 337746758520125
1787036820.302327, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, end, 337746760931208
1787036820.302379, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, start, 337746760991375
1787036820.304875, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, end, 337746763482208
1787036820.304921, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, start, 337746763525250
1787036820.307280, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, end, 337746765882541
1787036820.307315, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, start, 337746765919125
1787036820.309606, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, end, 337746768209041
1787036820.309646, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, start, 337746768248541
1787036820.311919, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, end, 337746770521333
1787036820.311948, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, end, 51107775913007345123041675274310364601, 1787036820.285735, 1, 1, 337746770556791
1787036820.312051, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, start, 164779109657740460659717683029389993139, 1787036820.312026, 2, 1, 337746770655166
1787036820.312104, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, start, 337746770707250
1787036820.312145, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, end, 337746770747166
1787036820.312173, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, start, 337746770776666
1787036820.314126, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, end, 337746772728208
1787036820.314156, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, start, 337746772758083
1787036820.317056, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, end, 337746775657958
1787036820.317086, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, start, 337746775688791
1787036820.320176, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, end, 337746778777875
1787036820.320289, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, start, 337746778918166
1787036820.323413, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, end, 337746782018708
1787036820.323477, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, start, 337746782088708
1787036820.326491, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, end, 337746785093708
1787036820.326557, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, start, 337746785168708
1787036820.329284, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, end, 337746787886333
1787036820.329366, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, start, 337746787977166
1787036820.332223, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, end, 337746790824875
1787036820.332282, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, start, 337746790893041
1787036820.334988, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, end, 337746793589625
1787036820.335156, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, start, 337746793767041
1787036820.338738, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, end, 337746797340041
1787036820.338773, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, end, 164779109657740460659717683029389993139, 1787036820.312026, 2, 1, 337746797374875
1787036820.338838, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, start, 278734658303144903636522646394784367029, 1787036820.338817, 3, 1, 337746797441208
1787036820.338890, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, start, 337746797491916
1787036820.338922, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, end, 337746797523333
1787036820.338950, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, start, 337746797551625
1787036820.341087, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, end, 337746799691500
1787036820.341120, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, start, 337746799723750
1787036820.342256, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, end, 337746800857125
1787036820.342305, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, start, 337746800921375
1787036820.343841, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, end, 337746802442250
1787036820.343875, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, start, 337746802480583
1787036820.345474, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, end, 337746804074666
1787036820.345521, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, start, 337746804125708
1787036820.347054, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, end, 337746805655291
1787036820.347088, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, start, 337746805692375
1787036820.348629, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, end, 337746807229666
1787036820.348662, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, start, 337746807266208
1787036820.350140, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, end, 337746808740958
1787036820.350180, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, start, 337746808784958
1787036820.351702, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, end, 337746810302750
1787036820.351919, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, start, 337746810524083
1787036820.353794, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, end, 337746812394708
1787036820.353814, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, end, 278734658303144903636522646394784367029, 1787036820.338817, 3, 1, 337746812418291
1787036820.353908, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, start, 172114341588361917407408070178593565195, 1787036820.353886, 4, 1, 337746812511583
1787036820.353944, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, start, 337746812544875
1787036820.353971, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, end, 337746812572416
1787036820.354005, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, start, 337746812605083
1787036820.356226, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, end, 337746814827041
1787036820.356252, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, start, 337746814858000
1787036820.357976, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, end, 337746816577458
1787036820.358018, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, start, 337746816622958
1787036820.359708, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, end, 337746818308583
1787036820.359756, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, start, 337746818360958
1787036820.361430, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, end, 337746820030916
1787036820.361474, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, start, 337746820079458
1787036820.363201, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, end, 337746821801166
1787036820.363224, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, start, 337746821829416
1787036820.364977, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, end, 337746823577916
1787036820.365011, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, start, 337746823615875
1787036820.366690, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, end, 337746825290625
1787036820.366719, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, start, 337746825324416
1787036820.368373, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, end, 337746826973750
1787036820.368568, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, start, 337746827173666
1787036820.370737, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, end, 337746829338541
1787036820.370763, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, end, 172114341588361917407408070178593565195, 1787036820.353886, 4, 1, 337746829365708
1787036820.370820, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, start, 172418479999967779132544352110380065403, 1787036820.370802, 5, 1, 337746829420916
1787036820.370859, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, start, 337746829460000
1787036820.370882, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, end, 337746829482333
1787036820.370903, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, start, 337746829504500
1787036820.372461, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, end, 337746831062250
1787036820.372492, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, start, 337746831096458
1787036820.374264, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, end, 337746832864000
1787036820.374286, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, start, 337746832891291
1787036820.376056, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, end, 337746834656416
1787036820.376107, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, start, 337746834711250
