1787036593.362721, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline, prepare, start, 337519826191958
1787036593.368540, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline, prepare, end, 337519831554083
1787036593.370177, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, start, 269805409131374128034191246042692817785, 1787036593.369999, 1, 1, 337519833178416
1787036593.370575, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, start, 337519833561583
1787036593.370737, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, end, 337519833714291
1787036593.370903, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, start, 337519833881166
1787036593.376976, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, end, 337519839954500
1787036593.377127, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, start, 337519840103291
1787036593.383113, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, end, 337519846087416
1787036593.383218, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, start, 337519846192208
1787036593.387480, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, end, 337519850454458
1787036593.387596, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, start, 337519850575958
1787036593.390326, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, end, 337519853300875
1787036593.390437, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, start, 337519853409916
1787036593.392862, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, end, 337519855835333
1787036593.392975, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, start, 337519855953666
1787036593.395455, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, end, 337519858427375
1787036593.395503, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, start, 337519858474416
1787036593.397963, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, end, 337519860934500
1787036593.398135, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, start, 337519861109208
1787036593.400541, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, end, 337519863513625
1787036593.400627, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, start, 337519863601958
1787036593.403132, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, end, 337519866104541
1787036593.403172, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, end, 269805409131374128034191246042692817785, 1787036593.369999, 1, 1, 337519866143916
1787036593.403384, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, start, 209981427623345599164056810641080289005, 1787036593.403321, 2, 1, 337519866360208
1787036593.403501, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, start, 337519866474083
1787036593.403588, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, end, 337519866561375
1787036593.403634, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, start, 337519866604916
1787036593.405999, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, end, 337519868970750
1787036593.406036, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, start, 337519869006250
1787036593.408676, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, end, 337519871648000
1787036593.408720, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, start, 337519871691291
1787036593.411607, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, end, 337519874579333
1787036593.411681, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, start, 337519874654000
