1787037444.415905, NoOp Chain Depth 10 Size 1048576 Mode ref, pipeline, prepare, start, 338370871209458
1787037444.417844, NoOp Chain Depth 10 Size 1048576 Mode ref, pipeline, prepare, end, 338370872911708
1787037444.418438, NoOp Chain Depth 10 Size 1048576 Mode ref, pipeline - train, run, start, 8689846768366396643897756131016062908, 1787037444.418364, 1, 1, 338370873501166
1787037444.418573, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 0, run, start, 338370873634708
1787037444.418690, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 0, run, end, 338370873746041
1787037444.418750, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 1, run, start, 338370873806833
1787037444.418844, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 1, run, end, 338370873897125
1787037444.418895, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 2, run, start, 338370873949083
1787037444.418982, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 2, run, end, 338370874034166
1787037444.419022, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 3, run, start, 338370874075416
1787037444.419104, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 3, run, end, 338370874156750
1787037444.419145, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 4, run, start, 338370874198291
1787037444.419222, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 4, run, end, 338370874274458
1787037444.419262, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 5, run, start, 338370874315291
1787037444.419338, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 5, run, end, 338370874390375
1787037444.419378, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 6, run, start, 338370874430625
1787037444.419451, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 6, run, end, 338370874502833
1787037444.419496, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 7, run, start, 338370874548166
1787037444.419542, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 7, run, end, 338370874594125
1787037444.419586, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 8, run, start, 338370874637625
1787037444.419632, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 8, run, end, 338370874683208
1787037444.419675, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 9, run, start, 338370874726500
1787037444.419719, NoOp Chain Depth 10 Size 1048576 Mode ref, Ref Stage 9, run, end, 338370874770166
