1787039995.167088, NoOp Chain Depth 64 Size 0 Mode ref, pipeline, prepare, start, 340921602469500
1787039995.178950, NoOp Chain Depth 64 Size 0 Mode ref, pipeline, prepare, end, 340921613950708
1787039995.179781, NoOp Chain Depth 64 Size 0 Mode ref, pipeline - train, run, start, 265964456194432127757593946634582032436, 1787039995.179659, 1, 1, 340921614764041
1787039995.179946, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 0, run, start, 340921614928125
1787039995.180158, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 0, run, end, 340921615136958
1787039995.180299, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 1, run, start, 340921615276708
1787039995.180474, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 1, run, end, 340921615447500
1787039995.180638, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 2, run, start, 340921615613416
1787039995.180743, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 2, run, end, 340921615716250
1787039995.180894, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 3, run, start, 340921615867750
1787039995.180965, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 3, run, end, 340921615937083
1787039995.181013, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 4, run, start, 340921615984916
1787039995.181130, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 4, run, end, 340921616102833
1787039995.181261, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 5, run, start, 340921616233750
1787039995.181447, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 5, run, end, 340921616423250
1787039995.181604, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 6, run, start, 340921616577083
1787039995.181704, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 6, run, end, 340921616678333
1787039995.181759, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 7, run, start, 340921616731791
1787039995.181821, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 7, run, end, 340921616793250
1787039995.181869, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 8, run, start, 340921616840541
1787039995.181987, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 8, run, end, 340921616959666
1787039995.182037, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 9, run, start, 340921617009791
1787039995.182148, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 9, run, end, 340921617120458
1787039995.182197, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 10, run, start, 340921617169708
1787039995.182304, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 10, run, end, 340921617276208
1787039995.182353, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 11, run, start, 340921617325750
1787039995.182408, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 11, run, end, 340921617380208
1787039995.182451, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 12, run, start, 340921617422625
1787039995.182505, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 12, run, end, 340921617476666
1787039995.182547, NoOp Chain Depth 64 Size 0 Mode ref, Ref Stage 13, run, start, 340921617518791
