1787670665.362307, NoOp Chain Depth 128 Size 0 Mode ref, pipeline, prepare, start, 218842284273416
1787670665.367590, NoOp Chain Depth 128 Size 0 Mode ref, pipeline, prepare, end, 218842289221083
1787670665.367902, NoOp Chain Depth 128 Size 0 Mode ref, pipeline - train, run, start, 195943660153345108069157655773709966148, 1787670665.367872, 1, 1, 218842289522791
1787670665.367970, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 0, run, start, 218842289588125
1787670665.368017, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 0, run, end, 218842289633500
1787670665.368039, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 1, run, start, 218842289658250
1787670665.368095, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 1, run, end, 218842289715333
1787670665.368122, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 2, run, start, 218842289742000
1787670665.368184, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 2, run, end, 218842289800916
1787670665.368205, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 3, run, start, 218842289821208
1787670665.368251, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 3, run, end, 218842289867041
1787670665.368270, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 4, run, start, 218842289886416
1787670665.368320, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 4, run, end, 218842289935375
1787670665.368335, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 5, run, start, 218842289951208
1787670665.368373, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 5, run, end, 218842289988083
1787670665.368388, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 6, run, start, 218842290003375
1787670665.368438, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 6, run, end, 218842290055375
1787670665.368457, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 7, run, start, 218842290072875
1787670665.368514, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 7, run, end, 218842290129916
1787670665.368532, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 8, run, start, 218842290148000
1787670665.368572, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 8, run, end, 218842290187416
1787670665.368586, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 9, run, start, 218842290202000
1787670665.368622, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 9, run, end, 218842290237416
1787670665.368637, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 10, run, start, 218842290252500
1787670665.368673, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 10, run, end, 218842290288875
1787670665.368688, NoOp Chain Depth 128 Size 0 Mode ref, Ref Stage 11, run, start, 218842290303541
