1787669967.527646, NoOp Chain Depth 32 Size 0 Mode ref, pipeline, prepare, start, 218144450430375
1787669967.530930, NoOp Chain Depth 32 Size 0 Mode ref, pipeline, prepare, end, 218144453483625
1787669967.531407, NoOp Chain Depth 32 Size 0 Mode ref, pipeline - train, run, start, 282730750361272158104424032613838090071, 1787669967.531345, 1, 1, 218144453959083
1787669967.531546, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 0, run, start, 218144454095458
1787669967.531618, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 0, run, end, 218144454164666
1787669967.531730, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 1, run, start, 218144454285000
1787669967.531843, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 1, run, end, 218144454394791
1787669967.531932, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 2, run, start, 218144454479333
1787669967.532052, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 2, run, end, 218144454601625
1787669967.532148, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 3, run, start, 218144454698375
1787669967.532263, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 3, run, end, 218144454814250
1787669967.532358, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 4, run, start, 218144454905416
1787669967.532491, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 4, run, end, 218144455042416
1787669967.532577, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 5, run, start, 218144455129250
1787669967.532675, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 5, run, end, 218144455221750
1787669967.532764, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 6, run, start, 218144455313958
1787669967.532884, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 6, run, end, 218144455434458
1787669967.532968, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 7, run, start, 218144455518791
1787669967.533105, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 7, run, end, 218144455652791
1787669967.533173, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 8, run, start, 218144455722000
1787669967.533254, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 8, run, end, 218144455800875
1787669967.533312, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 9, run, start, 218144455858250
1787669967.533391, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 9, run, end, 218144455938500
1787669967.533451, NoOp Chain Depth 32 Size 0 Mode ref, Ref Stage 10, run, start, 218144455997416
