1787733485.930651, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline, prepare, start, 226552798014166
1787733485.931706, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline, prepare, end, 226552798795000
1787733485.931964, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 309340390851312056824627486922890591750, 1787733485.931937, 1, 1, 226552799052500
1787733485.932024, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start, 226552799109875
1787733485.932070, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end, 226552799153791
1787733485.932094, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start, 226552799180791
1787733485.932176, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, end, 226552799260583
1787733485.932202, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, start, 226552799290000
1787733485.932286, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, end, 226552799371208
1787733485.932308, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, start, 226552799392166
1787733485.932358, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, end, 226552799441916
1787733485.932377, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, start, 226552799460166
1787733485.932435, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end, 226552799521666
1787733485.932459, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start, 226552799544166
1787733485.932513, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end, 226552799596291
1787733485.932532, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start, 226552799615500
1787733485.932575, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end, 226552799657875
1787733485.932591, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start, 226552799674750
1787733485.932633, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end, 226552799716541
1787733485.932650, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start, 226552799734250
1787733485.932703, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end, 226552799786125
