1787036170.552613, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline, prepare, start, 337097018163041
1787036170.556964, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline, prepare, end, 337097022041708
1787036170.558765, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 316411525040369231631068516345161223189, 1787036170.558596, 1, 1, 337097023838916
1787036170.559258, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start, 337097024313208
1787036170.559454, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end, 337097024500458
1787036170.559617, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start, 337097024662791
1787036170.559900, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, end, 337097024950625
1787036170.560135, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, start, 337097025181791
1787036170.560351, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, end, 337097025404833
1787036170.560529, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, start, 337097025575666
1787036170.560741, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, end, 337097025787958
1787036170.560891, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, start, 337097025936541
1787036170.561108, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end, 337097026154083
1787036170.561254, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start, 337097026299416
1787036170.561451, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end, 337097026497041
1787036170.561595, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start, 337097026640208
1787036170.561789, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end, 337097026834708
1787036170.561926, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start, 337097026970916
1787036170.562103, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end, 337097027148250
1787036170.562234, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start, 337097027278333
1787036170.562426, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end, 337097027470916
1787036170.562494, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, start, 337097027537791
1787036170.562583, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, end, 337097027626250
1787036170.562646, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, end, 316411525040369231631068516345161223189, 1787036170.558596, 1, 1, 337097027690375
1787036170.563058, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 156037794872194209024793305271480483499, 1787036170.562823, 2, 1, 337097028101791
1787036170.563203, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start, 337097028247666
1787036170.563317, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end, 337097028361000
1787036170.563478, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start, 337097028521333
