1787758109.696089, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline, prepare, start, 251176123291708
1787758109.697705, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline, prepare, end, 251176124538541
1787758109.698257, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 206483366227599972413733501334689344766, 1787758109.698182, 1, 1, 251176125091125
1787758109.701045, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 206483366227599972413733501334689344766, 1787758109.698182, 1, 1, 251176127878916
1787758109.701219, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 65707971766850317904465280930763342367, 1787758109.701157, 2, 1, 251176128047791
1787758109.703423, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 65707971766850317904465280930763342367, 1787758109.701157, 2, 1, 251176130253750
1787758109.703620, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 163127217956102718903198724850384069329, 1787758109.703567, 3, 1, 251176130451500
1787758109.705315, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 163127217956102718903198724850384069329, 1787758109.703567, 3, 1, 251176132147000
1787758109.705482, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 240258627464872965694335019204405776513, 1787758109.705425, 4, 1, 251176132310791
1787758109.707267, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 240258627464872965694335019204405776513, 1787758109.705425, 4, 1, 251176134097875
1787758109.707426, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 150997516782988268121572666533125986971, 1787758109.707378, 5, 1, 251176134254333
1787758109.709140, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 150997516782988268121572666533125986971, 1787758109.707378, 5, 1, 251176135977375
1787758109.709383, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 78725596868251876278929734668042081872, 1787758109.709335, 6, 1, 251176136215916
1787758109.711315, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 78725596868251876278929734668042081872, 1787758109.709335, 6, 1, 251176138148333
1787758109.711538, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 137749786341478981282763029611608844689, 1787758109.711488, 7, 1, 251176138368625
1787758109.713322, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 137749786341478981282763029611608844689, 1787758109.711488, 7, 1, 251176140151375
1787758109.713471, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 21055042595278152325711639573081571028, 1787758109.713436, 8, 1, 251176140300250
1787758109.714942, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 21055042595278152325711639573081571028, 1787758109.713436, 8, 1, 251176141772541
1787758109.715283, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 143935837073458580821545594814384868129, 1787758109.715225, 9, 1, 251176142112541
1787758109.716885, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 143935837073458580821545594814384868129, 1787758109.715225, 9, 1, 251176143719291
1787758109.717172, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 129026761874156351383786798824005041655, 1787758109.717118, 10, 1, 251176144004916
1787758109.718576, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 129026761874156351383786798824005041655, 1787758109.717118, 10, 1, 251176145407750
1787758109.718679, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 185247703247551629989475265311475197509, 1787758109.718650, 11, 1, 251176145511333
1787758109.719945, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 185247703247551629989475265311475197509, 1787758109.718650, 11, 1, 251176146774958
1787758109.720047, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 259163015698095123185826188367888987594, 1787758109.720024, 12, 1, 251176146875125
1787758109.721374, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 259163015698095123185826188367888987594, 1787758109.720024, 12, 1, 251176148207625
1787758109.721469, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 164303606541387196365603523457878774917, 1787758109.721446, 13, 1, 251176148297125
1787758109.722765, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 164303606541387196365603523457878774917, 1787758109.721446, 13, 1, 251176149592833
1787758109.722846, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 310948475199094942408615823599352893348, 1787758109.722821, 14, 1, 251176149680208
1787758109.724172, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 310948475199094942408615823599352893348, 1787758109.722821, 14, 1, 251176151002833
1787758109.724255, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, start, 30563750163908203616003628638894785469, 1787758109.724234, 15, 1, 251176151082916
1787758109.725688, NoOp Chain Depth 10 Size 1048576 Mode copy nolog, pipeline - train, run, end, 30563750163908203616003628638894785469, 1787758109.724234, 15, 1, 251176152526041
