1787032738.143606, NoOp Chain Depth 16 Size 0 Mode ref, pipeline, prepare, start, 333664640518875
1787032738.147231, NoOp Chain Depth 16 Size 0 Mode ref, pipeline, prepare, end, 333664643391916
1787032738.147927, NoOp Chain Depth 16 Size 0 Mode ref, pipeline - train, run, start, 326333937428720319389581386059866603485, 1787032738.147837, 1, 1, 333664644038125
1787032738.148118, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, start, 333664644230083
1787032738.148244, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, end, 333664644352500
1787032738.148336, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, start, 333664644444875
1787032738.148465, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, end, 333664644570750
1787032738.148535, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 2, run, start, 333664644639416
1787032738.148655, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 2, run, end, 333664644761125
1787032738.148788, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 3, run, start, 333664644895000
1787032738.148870, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 3, run, end, 333664644974625
1787032738.148963, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 4, run, start, 333664645072916
1787032738.149101, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 4, run, end, 333664645206916
1787032738.149194, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 5, run, start, 333664645300333
1787032738.149330, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 5, run, end, 333664645435958
1787032738.149386, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 6, run, start, 333664645492416
1787032738.149502, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 6, run, end, 333664645607500
1787032738.149577, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 7, run, start, 333664645681125
1787032738.149698, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 7, run, end, 333664645803250
1787032738.149766, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 8, run, start, 333664645871375
1787032738.149873, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 8, run, end, 333664645982708
1787032738.149949, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 9, run, start, 333664646054125
1787032738.150046, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 9, run, end, 333664646150875
1787032738.150143, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 10, run, start, 333664646248375
1787032738.150195, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 10, run, end, 333664646299625
1787032738.150235, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 11, run, start, 333664646338833
1787032738.150285, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 11, run, end, 333664646388333
1787032738.150458, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 12, run, start, 333664646565375
1787032738.150545, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 12, run, end, 333664646650583
1787032738.150644, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 13, run, start, 333664646749375
1787032738.150694, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 13, run, end, 333664646797625
1787032738.150729, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 14, run, start, 333664646833083
1787032738.150772, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 14, run, end, 333664646875916
1787032738.150804, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 15, run, start, 333664646907625
1787032738.150847, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 15, run, end, 333664646950708
1787032738.150882, NoOp Chain Depth 16 Size 0 Mode ref, pipeline - train, run, end, 326333937428720319389581386059866603485, 1787032738.147837, 1, 1, 333664646985708
1787032738.151216, NoOp Chain Depth 16 Size 0 Mode ref, pipeline - train, run, start, 40140954887336258453072878515664371076, 1787032738.151151, 2, 1, 333664647337916
1787032738.151585, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, start, 333664647695875
1787032738.151695, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, end, 333664647803708
1787032738.151775, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, start, 333664647880625
1787032738.151886, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, end, 333664647992458
1787032738.151949, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 2, run, start, 333664648055875
1787032738.152076, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 2, run, end, 333664648181208
1787032738.152111, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 3, run, start, 333664648219500
1787032738.152167, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 3, run, end, 333664648271000
1787032738.152212, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 4, run, start, 333664648318833
1787032738.152301, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 4, run, end, 333664648406083
1787032738.152362, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 5, run, start, 333664648467000
1787032738.152557, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 5, run, end, 333664648663708
1787032738.152634, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 6, run, start, 333664648739625
1787032738.152738, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 6, run, end, 333664648843541
1787032738.152774, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 7, run, start, 333664648878375
1787032738.152819, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 7, run, end, 333664648922958
1787032738.152853, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 8, run, start, 333664648955958
1787032738.152900, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 8, run, end, 333664649013500
1787032738.152944, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 9, run, start, 333664649047583
1787032738.152991, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 9, run, end, 333664649094333
1787032738.153024, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 10, run, start, 333664649127666
1787032738.153276, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 10, run, end, 333664649380541
1787032738.153313, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 11, run, start, 333664649416791
1787032738.153406, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 11, run, end, 333664649511041
1787032738.153444, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 12, run, start, 333664649549416
1787032738.153535, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 12, run, end, 333664649638875
1787032738.153568, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 13, run, start, 333664649671875
1787032738.153625, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 13, run, end, 333664649730333
1787032738.153666, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 14, run, start, 333664649770875
1787032738.153717, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 14, run, end, 333664649820083
1787032738.153746, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 15, run, start, 333664649849666
1787032738.153794, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 15, run, end, 333664649897500
